Date,Open,High,Low,Close,change(att1)-1,change(att1)-2,change(att1)-3,moving_average(att1)-1,moving_average(att1)-2,moving_average(att1)-3,moving_average(att1)-4,att1-1,att1-2,att1-3,UD,id,pred,pl
04/12/2009,5753.0,5859.0,5724.0,5818.0,-12.0,5.0,151.0,5776.333333333333,5728.333333333333,5696.333333333333,5642.0,5770.0,5782.0,5777.0,1.0,2507.0,0.5430522078530436,65.0
07/12/2009,5812.0,5813.0,5743.0,5785.0,48.0,-12.0,5.0,5790.0,5776.333333333333,5728.333333333333,5696.333333333333,5818.0,5770.0,5782.0,0.0,2508.0,0.5430524690823633,-27.0
08/12/2009,5764.0,5810.0,5659.0,5689.0,-33.0,48.0,-12.0,5791.0,5790.0,5776.333333333333,5728.333333333333,5785.0,5818.0,5770.0,0.0,2509.0,0.5430712244406547,-75.0
09/12/2009,5673.0,5712.0,5605.0,5648.0,-96.0,-33.0,48.0,5764.0,5791.0,5790.0,5776.333333333333,5689.0,5785.0,5818.0,0.0,2510.0,0.5430633004792136,-25.0
10/12/2009,5647.0,5742.0,5637.0,5709.0,-41.0,-96.0,-33.0,5707.333333333333,5764.0,5791.0,5790.0,5648.0,5689.0,5785.0,1.0,2511.0,0.5430545733574477,62.0
11/12/2009,5714.0,5793.0,5714.0,5756.0,61.0,-41.0,-96.0,5682.0,5707.333333333333,5764.0,5791.0,5709.0,5648.0,5689.0,1.0,2512.0,0.5430534625597098,42.0
14/12/2009,5803.0,5827.0,5779.0,5802.0,47.0,61.0,-41.0,5704.333333333333,5682.0,5707.333333333333,5764.0,5756.0,5709.0,5648.0,0.0,2513.0,0.5430665724145737,-1.0
15/12/2009,5816.0,5828.0,5752.0,5811.0,46.0,47.0,61.0,5755.666666666667,5704.333333333333,5682.0,5707.333333333333,5802.0,5756.0,5709.0,0.0,2514.0,0.5430563906610556,-5.0
16/12/2009,5813.0,5903.0,5812.0,5903.0,9.0,46.0,47.0,5789.666666666667,5755.666666666667,5704.333333333333,5682.0,5811.0,5802.0,5756.0,1.0,2515.0,0.5430614523503808,90.0
17/12/2009,5884.0,5891.0,5834.0,5844.0,92.0,9.0,46.0,5838.666666666667,5789.666666666667,5755.666666666667,5704.333333333333,5903.0,5811.0,5802.0,0.0,2516.0,0.5430485616736178,-40.0
18/12/2009,5847.0,5901.0,5830.0,5831.0,-59.0,92.0,9.0,5852.666666666667,5838.666666666667,5789.666666666667,5755.666666666667,5844.0,5903.0,5811.0,0.0,2517.0,0.5430763648170218,-16.0
21/12/2009,5842.0,5936.0,5842.0,5931.0,-13.0,-59.0,92.0,5859.333333333333,5852.666666666667,5838.666666666667,5789.666666666667,5831.0,5844.0,5903.0,1.0,2518.0,0.5430492010484506,89.0
22/12/2009,5939.0,5982.0,5930.0,5946.0,100.0,-13.0,-59.0,5868.666666666667,5859.333333333333,5852.666666666667,5838.666666666667,5931.0,5831.0,5844.0,1.0,2519.0,0.5430501150108389,7.0
