Date,Open,High,Low,Close,change(att1)-1,change(att1)-2,change(att1)-3,moving_average(att1)-1,moving_average(att1)-2,moving_average(att1)-3,moving_average(att1)-4,att1-1,att1-2,att1-3,confidence(D),id,UD,pred,confidence(U)
11/01/2000,6926.0,6944.0,6821.0,6891.0,145.0,306.0,-27.0,6727.333333333333,6586.0,6521.333333333333,6613.333333333333,6926.0,6781.0,6475.0,0.5242970835002859,7.0,D,D,0.4757029164997142
12/01/2000,6879.0,6914.0,6783.0,6913.0,-35.0,145.0,306.0,6866.0,6727.333333333333,6586.0,6521.333333333333,6891.0,6926.0,6781.0,0.5126428664726866,8.0,U,D,0.4873571335273133
13/01/2000,6913.0,7106.0,6899.0,6956.0,22.0,-35.0,145.0,6910.0,6866.0,6727.333333333333,6586.0,6913.0,6891.0,6926.0,0.44652452562622275,9.0,U,U,0.5534754743737773
14/01/2000,6960.0,7207.0,6960.0,7173.0,43.0,22.0,-35.0,6920.0,6910.0,6866.0,6727.333333333333,6956.0,6913.0,6891.0,0.44370846192259944,10.0,U,U,0.5562915380774006
17/01/2000,7177.0,7297.0,7113.0,7259.0,217.0,43.0,22.0,7014.0,6920.0,6910.0,6866.0,7173.0,6956.0,6913.0,0.4476584342912922,11.0,U,U,0.552341565708708
18/01/2000,7262.0,7306.0,7054.0,7072.0,86.0,217.0,43.0,7129.333333333333,7014.0,6920.0,6910.0,7259.0,7173.0,6956.0,0.48820479277398754,12.0,D,U,0.5117952072260125
19/01/2000,7065.0,7110.0,6987.0,7091.0,-187.0,86.0,217.0,7168.0,7129.333333333333,7014.0,6920.0,7072.0,7259.0,7173.0,0.4651107438722516,13.0,U,U,0.5348892561277484
20/01/2000,7096.0,7231.0,7077.0,7113.0,19.0,-187.0,86.0,7140.666666666667,7168.0,7129.333333333333,7014.0,7091.0,7072.0,7259.0,0.43984492887587434,14.0,U,U,0.5601550711241258
21/01/2000,7104.0,7104.0,6940.0,6993.0,22.0,19.0,-187.0,7092.0,7140.666666666667,7168.0,7129.333333333333,7113.0,7091.0,7072.0,0.44002692747110206,15.0,D,U,0.5599730725288979
24/01/2000,6988.0,7093.0,6922.0,6932.0,-120.0,22.0,19.0,7065.666666666667,7092.0,7140.666666666667,7168.0,6993.0,7113.0,7091.0,0.44378207658166663,16.0,D,U,0.5562179234183334
25/01/2000,6928.0,6928.0,6810.0,6810.0,-61.0,-120.0,22.0,7012.666666666667,7065.666666666667,7092.0,7140.666666666667,6932.0,6993.0,7113.0,0.4398491504548569,17.0,D,U,0.5601508495451429
26/01/2000,6838.0,6981.0,6838.0,6969.0,-122.0,-61.0,-120.0,6911.666666666667,7012.666666666667,7065.666666666667,7092.0,6810.0,6932.0,6993.0,0.43910454845883756,18.0,U,U,0.5608954515411624
27/01/2000,6983.0,7170.0,6945.0,7126.0,159.0,-122.0,-61.0,6903.666666666667,6911.666666666667,7012.666666666667,7065.666666666667,6969.0,6810.0,6932.0,0.43947675446009893,19.0,U,U,0.5605232455399011
