Date,Open,High,Low,Close,change(att1)-1,change(att1)-2,change(att1)-3,moving_average(att1)-1,moving_average(att1)-2,moving_average(att1)-3,moving_average(att1)-4,att1-1,att1-2,att1-3,confidence(D),id,UD,pred,confidence(U)
12/01/2000,6518.9,6532.8,6470.3,6532.8,-88.80000000000018,102.89999999999964,57.600000000000364,6543.8,6519.900000000001,6495.966666666666,6548.666666666667,6518.9,6607.7,6504.8,0.5171005544873792,7.0,U,D,0.4828994455126209
13/01/2000,6532.8,6596.5,6509.4,6531.5,13.900000000000546,-88.80000000000018,102.89999999999964,6553.133333333332,6543.8,6519.900000000001,6495.966666666666,6532.8,6518.9,6607.7,0.5111489775679936,8.0,D,D,0.4888510224320063
14/01/2000,6531.5,6666.8,6531.5,6658.2,-1.300000000000182,13.900000000000546,-88.80000000000018,6527.733333333334,6553.133333333332,6543.8,6519.900000000001,6531.5,6532.8,6518.9,0.5018016906159918,9.0,U,D,0.49819830938400816
17/01/2000,6658.2,6694.3,6638.3,6669.5,126.69999999999982,-1.300000000000182,13.900000000000546,6574.166666666667,6527.733333333334,6553.133333333332,6543.8,6658.2,6531.5,6532.8,0.5228068390394252,10.0,U,D,0.47719316096057485
18/01/2000,6669.5,6695.9,6491.5,6504.6,11.300000000000182,126.69999999999982,-1.300000000000182,6619.733333333334,6574.166666666667,6527.733333333334,6553.133333333332,6669.5,6658.2,6531.5,0.5242084177282647,11.0,D,D,0.47579158227173535
19/01/2000,6504.6,6505.9,6434.4,6445.4,-164.89999999999964,11.300000000000182,126.69999999999982,6610.766666666667,6619.733333333334,6574.166666666667,6527.733333333334,6504.6,6669.5,6658.2,0.49839793223846485,12.0,D,U,0.5016020677615352
20/01/2000,6445.4,6492.7,6328.3,6348.7,-59.20000000000073,-164.89999999999964,11.300000000000182,6539.833333333333,6610.766666666667,6619.733333333334,6574.166666666667,6445.4,6504.6,6669.5,0.46864406423463484,13.0,D,U,0.5313559357653651
21/01/2000,6348.7,6374.7,6287.1,6346.3,-96.69999999999982,-59.20000000000073,-164.89999999999964,6432.900000000001,6539.833333333333,6610.766666666667,6619.733333333334,6348.7,6445.4,6504.6,0.4455329915737562,14.0,D,U,0.554467008426244
24/01/2000,6346.3,6480.4,6346.3,6379.8,-2.399999999999636,-96.69999999999982,-59.20000000000073,6380.133333333332,6432.900000000001,6539.833333333333,6610.766666666667,6346.3,6348.7,6445.4,0.49148907054333646,15.0,U,U,0.5085109294566635
25/01/2000,6379.8,6379.8,6262.9,6274.1,33.5,-2.399999999999636,-96.69999999999982,6358.266666666666,6380.133333333332,6432.900000000001,6539.833333333333,6379.8,6346.3,6348.7,0.5067632121905024,16.0,D,D,0.4932367878094977
