Date,Open,High,Low,Close,UD,change(att1)-1,change(att1)-2,change(att1)-3,moving_average(att1)-1,moving_average(att1)-2,moving_average(att1)-3,moving_average(att1)-4,att1-1,att1-2,att1-3,confidence(D),id,pred,confidence(U)
11/01/2000,11568.47,11748.11,11398.3,11511.08,D,49.64000000000124,269.2999999999993,130.61000000000058,11449.340000000002,11299.49,11124.613333333335,11159.363333333335,11572.2,11522.56,11253.26,0.49368232874070384,7.0,U,0.5063176712592962
12/01/2000,11506.73,11751.83,11385.74,11551.1,U,-61.1200000000008,49.64000000000124,269.2999999999993,11535.28,11449.340000000002,11299.49,11124.613333333335,11511.08,11572.2,11522.56,0.42617376854666317,8.0,U,0.5738262314533368
13/01/2000,11558.24,11761.14,11421.42,11582.43,U,40.02000000000044,-61.1200000000008,49.64000000000124,11544.793333333333,11535.28,11449.340000000002,11299.49,11551.1,11511.08,11572.2,0.4506743570750132,9.0,U,0.5493256429249868
14/01/2000,11619.35,11908.5,11506.42,11722.98,U,31.329999999999927,40.02000000000044,-61.1200000000008,11548.203333333333,11544.793333333333,11535.28,11449.340000000002,11582.43,11551.1,11511.08,0.46716943235334896,10.0,U,0.532830567646651
18/01/2000,11719.19,11834.67,11397.22,11560.72,D,140.54999999999927,31.329999999999927,40.02000000000044,11618.836666666664,11548.203333333333,11544.793333333333,11535.28,11722.98,11582.43,11551.1,0.4701043408302987,11.0,U,0.5298956591697013
19/01/2000,11535.24,11710.57,11320.28,11489.36,D,-162.26000000000022,140.54999999999927,31.329999999999927,11622.043333333333,11618.836666666664,11548.203333333333,11544.793333333333,11560.72,11722.98,11582.43,0.4199828799305159,12.0,U,0.580017120069484
20/01/2000,11490.29,11654.72,11194.32,11351.3,D,-71.35999999999876,-162.26000000000022,140.54999999999927,11591.019999999999,11622.043333333333,11618.836666666664,11548.203333333333,11489.36,11560.72,11722.98,0.39211277897051267,13.0,U,0.6078872210294873
21/01/2000,11356.26,11513.87,11113.65,11251.71,D,-138.0600000000013,-71.35999999999876,-162.26000000000022,11467.126666666669,11591.019999999999,11622.043333333333,11618.836666666664,11351.3,11489.36,11560.72,0.4253568815303167,14.0,U,0.5746431184696834
24/01/2000,11251.94,11501.15,10849.01,11008.17,D,-99.59000000000015,-138.0600000000013,-71.35999999999876,11364.123333333331,11467.126666666669,11591.019999999999,11622.043333333333,11251.71,11351.3,11489.36,0.41987913836986085,15.0,U,0.5801208616301392
25/01/2000,11010.96,11228.75,10779.83,11029.89,U,-243.53999999999905,-99.59000000000015,-138.0600000000013,11203.726666666667,11364.123333333331,11467.126666666669,11591.019999999999,11008.17,11251.71,11351.3,0.41031162896258594,16.0,U,0.589688371037414
26/01/2000,11025.85,11280.87,10870.73,11032.99,U,21.719999999999345,-243.53999999999905,-99.59000000000015,11096.589999999998,11203.726666666667,11364.123333333331,11467.126666666669,11029.89,11008.17,11251.71,0.45455452313739264,17.0,U,0.5454454768626074
27/01/2000,11035.55,11274.36,10818.3,11028.02,D,3.100000000000364,21.719999999999345,-243.53999999999905,11023.683333333332,11096.589999999998,11203.726666666667,11364.123333333331,11032.99,11029.89,11008.17,0.507511973478758,18.0,D,0.492488026521242
28/01/2000,11024.92,11115.2,10649.21,10738.87,D,-4.969999999999345,3.100000000000364,21.719999999999345,11030.299999999997,11023.683333333332,11096.589999999998,11203.726666666667,11028.02,11032.99,11029.89,0.47998957610561943,19.0,U,0.5200104238943806
31/01/2000,10735.77,11059.67,10610.43,10940.53,U,-289.14999999999964,-4.969999999999345,3.100000000000364,10933.293333333335,11030.299999999997,11023.683333333332,11096.589999999998,10738.87,11028.02,11032.99,0.4302811503520089,20.0,U,0.569718849647991
