Date,Open,High,Low,Close,change(att1)-1,change(att1)-2,change(att1)-3,moving_average(att1)-1,moving_average(att1)-2,moving_average(att1)-3,moving_average(att1)-4,att1-1,att1-2,att1-3,confidence(D),id,pred,UP/DN,confidence(U)
12/01/2000,3164.6,3164.6,3095.5,3104.6,61.5,58.59999999999991,14.400000000000091,3104.066666666667,3059.2333333333336,3041.8333333333335,3068.366666666667,3164.6,3103.1,3044.5,1.6640298731910378E-18,7.0,U,D,1.0
13/01/2000,3104.6,3105.9,3089.0,3095.8,-60.0,61.5,58.59999999999991,3124.1,3104.066666666667,3059.2333333333336,3041.8333333333335,3104.6,3164.6,3103.1,8.082176494073844E-17,8.0,U,D,1.0
14/01/2000,3095.8,3131.6,3095.8,3131.6,-8.799999999999727,-60.0,61.5,3121.6666666666665,3124.1,3104.066666666667,3059.2333333333336,3095.8,3104.6,3164.6,6.584554569356258E-17,9.0,U,U,1.0
17/01/2000,3131.6,3147.5,3131.0,3139.9,35.79999999999973,-8.799999999999727,-60.0,3110.6666666666665,3121.6666666666665,3124.1,3104.066666666667,3131.6,3095.8,3104.6,3.991771657905594E-15,10.0,U,U,0.999999999999996
18/01/2000,3139.9,3157.1,3127.2,3151.2,8.300000000000182,35.79999999999973,-8.799999999999727,3122.433333333333,3110.6666666666665,3121.6666666666665,3124.1,3139.9,3131.6,3095.8,4.305233229018194E-16,11.0,U,U,0.9999999999999996
19/01/2000,3151.2,3151.2,3104.1,3105.4,11.299999999999727,8.300000000000182,35.79999999999973,3140.9,3122.433333333333,3110.6666666666665,3121.6666666666665,3151.2,3139.9,3131.6,5.953518020065451E-17,12.0,U,D,1.0
20/01/2000,3105.4,3139.5,3079.5,3137.1,-45.79999999999973,11.299999999999727,8.300000000000182,3132.1666666666665,3140.9,3122.433333333333,3110.6666666666665,3105.4,3151.2,3139.9,4.595628910443134E-15,13.0,U,U,0.9999999999999953
21/01/2000,3137.1,3137.1,3097.6,3103.4,31.699999999999818,-45.79999999999973,11.299999999999727,3131.2333333333336,3132.1666666666665,3140.9,3122.433333333333,3137.1,3105.4,3151.2,2.4673955054712673E-16,14.0,U,D,0.9999999999999998
24/01/2000,3103.4,3115.4,3096.4,3096.6,-33.69999999999982,31.699999999999818,-45.79999999999973,3115.2999999999997,3131.2333333333336,3132.1666666666665,3140.9,3103.4,3137.1,3105.4,3.6338621851777525E-14,15.0,U,D,0.9999999999999636
25/01/2000,3096.6,3096.6,3048.1,3078.6,-6.800000000000182,-33.69999999999982,31.699999999999818,3112.366666666667,3115.2999999999997,3131.2333333333336,3132.1666666666665,3096.6,3103.4,3137.1,2.743900828931988E-16,16.0,U,D,0.9999999999999998
26/01/2000,3096.6,3096.6,3048.1,3078.6,-18.0,-6.800000000000182,-33.69999999999982,3092.866666666667,3112.366666666667,3115.2999999999997,3131.2333333333336,3078.6,3096.6,3103.4,9.193712479320291E-15,17.0,U,D,0.9999999999999909
27/01/2000,3078.6,3089.4,3072.0,3083.4,0.0,-18.0,-6.800000000000182,3084.6,3092.866666666667,3112.366666666667,3115.2999999999997,3078.6,3078.6,3096.6,6.925154228936462E-16,18.0,U,U,0.9999999999999993
28/01/2000,3083.4,3107.1,3082.0,3092.1,4.800000000000182,0.0,-18.0,3080.2000000000003,3084.6,3092.866666666667,3112.366666666667,3083.4,3078.6,3078.6,6.188719514633871E-16,19.0,U,U,0.9999999999999993
31/01/2000,3092.1,3096.0,3069.4,3096.0,8.699999999999818,4.800000000000182,0.0,3084.7000000000003,3080.2000000000003,3084.6,3092.866666666667,3092.1,3083.4,3078.6,1.514746839367624E-16,20.0,U,U,0.9999999999999998
01/02/2000,3096.0,3108.7,3077.8,3084.5,3.900000000000091,8.699999999999818,4.800000000000182,3090.5,3084.7000000000003,3080.2000000000003,3084.6,3096.0,3092.1,3083.4,1.436435436641343E-16,21.0,U,D,0.9999999999999998
02/02/2000,3084.5,3124.2,3084.5,3116.3,-11.5,3.900000000000091,8.699999999999818,3090.866666666667,3090.5,3084.7000000000003,3080.2000000000003,3084.5,3096.0,3092.1,2.7664246836120437E-16,22.0,U,U,0.9999999999999998
03/02/2000,3116.3,3135.5,3103.0,3135.1,31.800000000000182,-11.5,3.900000000000091,3098.933333333333,3090.866666666667,3090.5,3084.7000000000003,3116.3,3084.5,3096.0,6.737936619114219E-17,23.0,U,U,1.0
04/02/2000,3135.1,3141.7,3115.1,3115.1,18.799999999999727,31.800000000000182,-11.5,3111.9666666666667,3098.933333333333,3090.866666666667,3090.5,3135.1,3116.3,3084.5,1.9321891633410705E-16,24.0,U,D,0.9999999999999998
07/02/2000,3115.1,3138.3,3113.4,3130.4,-20.0,18.799999999999727,31.800000000000182,3122.1666666666665,3111.9666666666667,3098.933333333333,3090.866666666667,3115.1,3135.1,3116.3,1.7134646148672726E-16,25.0,U,U,0.9999999999999998
08/02/2000,3130.4,3141.5,3120.5,3124.0,15.300000000000182,-20.0,18.799999999999727,3126.866666666667,3122.1666666666665,3111.9666666666667,3098.933333333333,3130.4,3115.1,3135.1,1.5908800680418588E-16,26.0,U,D,0.9999999999999998
09/02/2000,3124.0,3159.6,3124.0,3134.0,-6.400000000000091,15.300000000000182,-20.0,3123.1666666666665,3126.866666666667,3122.1666666666665,3111.9666666666667,3124.0,3130.4,3115.1,2.5890573526065305E-15,27.0,U,U,0.9999999999999973
10/02/2000,3134.0,3175.3,3120.5,3172.5,10.0,-6.400000000000091,15.300000000000182,3129.4666666666667,3123.1666666666665,3126.866666666667,3122.1666666666665,3134.0,3124.0,3130.4,2.4702153119614026E-16,28.0,U,U,0.9999999999999998
11/02/2000,3172.5,3174.7,3145.3,3167.1,38.5,10.0,-6.400000000000091,3143.5,3129.4666666666667,3123.1666666666665,3126.866666666667,3172.5,3134.0,3124.0,2.0863432579724466E-16,29.0,U,D,0.9999999999999998
14/02/2000,3167.1,3167.1,3128.6,3135.3,-5.400000000000091,38.5,10.0,3157.866666666667,3143.5,3129.4666666666667,3123.1666666666665,3167.1,3172.5,3134.0,5.773170902340781E-16,30.0,U,D,0.9999999999999993
15/02/2000,3135.3,3168.5,3135.3,3158.1,-31.799999999999727,-5.400000000000091,38.5,3158.3000000000006,3157.866666666667,3143.5,3129.4666666666667,3135.3,3167.1,3172.5,1.0385871276804753E-15,31.0,U,U,0.9999999999999989
16/02/2000,3158.1,3194.2,3145.9,3148.3,22.799999999999727,-31.799999999999727,-5.400000000000091,3153.5,3158.3000000000006,3157.866666666667,3143.5,3158.1,3135.3,3167.1,1.5368929199467474E-15,32.0,U,D,0.9999999999999984
17/02/2000,3145.5,3154.3,3124.3,3144.9,-9.799999999999727,22.799999999999727,-31.799999999999727,3147.2333333333336,3153.5,3158.3000000000006,3157.866666666667,3148.3,3158.1,3135.3,1.2950003913240576E-14,33.0,U,D,0.9999999999999871
18/02/2000,3144.9,3157.2,3114.3,3120.1,-3.400000000000091,-9.799999999999727,22.799999999999727,3150.433333333333,3147.2333333333336,3153.5,3158.3000000000006,3144.9,3148.3,3158.1,6.846011270289753E-16,34.0,U,D,0.9999999999999993
21/02/2000,3120.1,3122.0,3083.5,3117.1,-24.800000000000182,-3.400000000000091,-9.799999999999727,3137.766666666667,3150.433333333333,3147.2333333333336,3153.5,3120.1,3144.9,3148.3,9.438771570551862E-15,35.0,U,D,0.9999999999999905
22/02/2000,3117.1,3123.2,3097.4,3101.2,-3.0,-24.800000000000182,-3.400000000000091,3127.366666666667,3137.766666666667,3150.433333333333,3147.2333333333336,3117.1,3120.1,3144.9,2.523328437396321E-15,36.0,U,D,0.9999999999999976
23/02/2000,3101.2,3126.3,3096.1,3112.5,-15.900000000000091,-3.0,-24.800000000000182,3112.7999999999997,3127.366666666667,3137.766666666667,3150.433333333333,3101.2,3117.1,3120.1,8.197403452081348E-15,37.0,U,U,0.9999999999999918
24/02/2000,3112.5,3133.7,3101.3,3106.9,11.300000000000182,-15.900000000000091,-3.0,3110.2666666666664,3112.7999999999997,3127.366666666667,3137.766666666667,3112.5,3101.2,3117.1,6.008309905945365E-16,38.0,U,D,0.9999999999999993
25/02/2000,3106.9,3129.7,3088.6,3123.7,-5.599999999999909,11.300000000000182,-15.900000000000091,3106.866666666667,3110.2666666666664,3112.7999999999997,3127.366666666667,3106.9,3112.5,3101.2,1.5264483168448119E-15,39.0,U,U,0.9999999999999984
28/02/2000,3123.7,3126.3,3108.1,3118.0,16.799999999999727,-5.599999999999909,11.300000000000182,3114.3666666666663,3106.866666666667,3110.2666666666664,3112.7999999999997,3123.7,3106.9,3112.5,1.4169320504305658E-16,40.0,U,D,0.9999999999999998
29/02/2000,3118.0,3151.0,3118.0,3135.7,-5.699999999999818,16.799999999999727,-5.599999999999909,3116.2000000000003,3114.3666666666663,3106.866666666667,3110.2666666666664,3118.0,3123.7,3106.9,8.14439939429701E-16,41.0,U,U,0.9999999999999991
01/03/2000,3135.7,3195.7,3127.4,3192.6,17.699999999999818,-5.699999999999818,16.799999999999727,3125.7999999999997,3116.2000000000003,3114.3666666666663,3106.866666666667,3135.7,3118.0,3123.7,1.2285084253259138E-16,42.0,U,U,0.9999999999999998
02/03/2000,3192.6,3228.3,3192.6,3220.0,56.90000000000009,17.699999999999818,-5.699999999999818,3148.7666666666664,3125.7999999999997,3116.2000000000003,3114.3666666666663,3192.6,3135.7,3118.0,6.87812562681313E-17,43.0,U,U,1.0
