Date,Open,High,Low,Close,change(att1)-1,change(att1)-2,change(att1)-3,moving_average(att1)-1,moving_average(att1)-2,moving_average(att1)-3,moving_average(att1)-4,att1-1,att1-2,att1-3,confidence(D),id,pred,UP/DN,confidence(U)
11/01/2000,6926.0,6944.0,6821.0,6891.0,145.0,306.0,-27.0,6727.333333333333,6586.0,6521.333333333333,6613.333333333333,6926.0,6781.0,6475.0,0.13954008962947057,7.0,U,D,0.8604599103705294
12/01/2000,6879.0,6914.0,6783.0,6913.0,-35.0,145.0,306.0,6866.0,6727.333333333333,6586.0,6521.333333333333,6891.0,6926.0,6781.0,0.19712621922159623,8.0,U,U,0.8028737807784038
13/01/2000,6913.0,7106.0,6899.0,6956.0,22.0,-35.0,145.0,6910.0,6866.0,6727.333333333333,6586.0,6913.0,6891.0,6926.0,0.14886454795099222,9.0,U,U,0.8511354520490078
14/01/2000,6960.0,7207.0,6960.0,7173.0,43.0,22.0,-35.0,6920.0,6910.0,6866.0,6727.333333333333,6956.0,6913.0,6891.0,0.10112795580134383,10.0,U,U,0.8988720441986562
17/01/2000,7177.0,7297.0,7113.0,7259.0,217.0,43.0,22.0,7014.0,6920.0,6910.0,6866.0,7173.0,6956.0,6913.0,0.13094621424283007,11.0,U,U,0.86905378575717
18/01/2000,7262.0,7306.0,7054.0,7072.0,86.0,217.0,43.0,7129.333333333333,7014.0,6920.0,6910.0,7259.0,7173.0,6956.0,0.10408340083205114,12.0,U,D,0.8959165991679487
19/01/2000,7065.0,7110.0,6987.0,7091.0,-187.0,86.0,217.0,7168.0,7129.333333333333,7014.0,6920.0,7072.0,7259.0,7173.0,0.10011476831197234,13.0,U,U,0.8998852316880277
20/01/2000,7096.0,7231.0,7077.0,7113.0,19.0,-187.0,86.0,7140.666666666667,7168.0,7129.333333333333,7014.0,7091.0,7072.0,7259.0,0.10157015358625504,14.0,U,U,0.8984298464137449
21/01/2000,7104.0,7104.0,6940.0,6993.0,22.0,19.0,-187.0,7092.0,7140.666666666667,7168.0,7129.333333333333,7113.0,7091.0,7072.0,0.05663315391456851,15.0,U,D,0.9433668460854314
24/01/2000,6988.0,7093.0,6922.0,6932.0,-120.0,22.0,19.0,7065.666666666667,7092.0,7140.666666666667,7168.0,6993.0,7113.0,7091.0,0.07363607913824882,16.0,U,D,0.9263639208617512
25/01/2000,6928.0,6928.0,6810.0,6810.0,-61.0,-120.0,22.0,7012.666666666667,7065.666666666667,7092.0,7140.666666666667,6932.0,6993.0,7113.0,0.08515704140046106,17.0,U,D,0.9148429585995389
26/01/2000,6838.0,6981.0,6838.0,6969.0,-122.0,-61.0,-120.0,6911.666666666667,7012.666666666667,7065.666666666667,7092.0,6810.0,6932.0,6993.0,0.06231082592708146,18.0,U,U,0.9376891740729185
27/01/2000,6983.0,7170.0,6945.0,7126.0,159.0,-122.0,-61.0,6903.666666666667,6911.666666666667,7012.666666666667,7065.666666666667,6969.0,6810.0,6932.0,0.1065919699475528,19.0,U,U,0.8934080300524472
28/01/2000,7128.0,7215.0,7040.0,7067.0,157.0,159.0,-122.0,6968.333333333333,6903.666666666667,6911.666666666667,7012.666666666667,7126.0,6969.0,6810.0,0.08961955423168003,20.0,U,D,0.91038044576832
