Date,Open,High,Low,Close,change(att1)-1,change(att1)-2,change(att1)-3,moving_average(att1)-1,moving_average(att1)-2,moving_average(att1)-3,moving_average(att1)-4,att1-1,att1-2,att1-3,id,att1,prediction(att1)
11/01/2000,11568.47,11748.11,11398.3,11511.08,49.64000000000124,269.2999999999993,130.61000000000058,11449.340000000002,11299.49,11124.613333333335,11159.363333333335,11572.2,11522.56,11253.26,7.0,11511.08,11597.824885596934
12/01/2000,11506.73,11751.83,11385.74,11551.1,-61.1200000000008,49.64000000000124,269.2999999999993,11535.28,11449.340000000002,11299.49,11124.613333333335,11511.08,11572.2,11522.56,8.0,11551.1,11546.440459393825
13/01/2000,11558.24,11761.14,11421.42,11582.43,40.02000000000044,-61.1200000000008,49.64000000000124,11544.793333333333,11535.28,11449.340000000002,11299.49,11551.1,11511.08,11572.2,9.0,11582.43,11573.384996838466
14/01/2000,11619.35,11908.5,11506.42,11722.98,31.329999999999927,40.02000000000044,-61.1200000000008,11548.203333333333,11544.793333333333,11535.28,11449.340000000002,11582.43,11551.1,11511.08,10.0,11722.98,11605.466803516256
18/01/2000,11719.19,11834.67,11397.22,11560.72,140.54999999999927,31.329999999999927,40.02000000000044,11618.836666666664,11548.203333333333,11544.793333333333,11535.28,11722.98,11582.43,11551.1,11.0,11560.72,11737.33384816254
19/01/2000,11535.24,11710.57,11320.28,11489.36,-162.26000000000022,140.54999999999927,31.329999999999927,11622.043333333333,11618.836666666664,11548.203333333333,11544.793333333333,11560.72,11722.98,11582.43,12.0,11489.36,11605.008334361954
20/01/2000,11490.29,11654.72,11194.32,11351.3,-71.35999999999876,-162.26000000000022,140.54999999999927,11591.019999999999,11622.043333333333,11618.836666666664,11548.203333333333,11489.36,11560.72,11722.98,13.0,11351.3,11532.118367721672
21/01/2000,11356.26,11513.87,11113.65,11251.71,-138.0600000000013,-71.35999999999876,-162.26000000000022,11467.126666666669,11591.019999999999,11622.043333333333,11618.836666666664,11351.3,11489.36,11560.72,14.0,11251.71,11403.713964904771
24/01/2000,11251.94,11501.15,10849.01,11008.17,-99.59000000000015,-138.0600000000013,-71.35999999999876,11364.123333333331,11467.126666666669,11591.019999999999,11622.043333333333,11251.71,11351.3,11489.36,15.0,11008.17,11309.599104888037
25/01/2000,11010.96,11228.75,10779.83,11029.89,-243.53999999999905,-99.59000000000015,-138.0600000000013,11203.726666666667,11364.123333333331,11467.126666666669,11591.019999999999,11008.17,11251.71,11351.3,16.0,11029.89,11091.15382379344
26/01/2000,11025.85,11280.87,10870.73,11032.99,21.719999999999345,-243.53999999999905,-99.59000000000015,11096.589999999998,11203.726666666667,11364.123333333331,11467.126666666669,11029.89,11008.17,11251.71,17.0,11032.99,11090.925150436557
27/01/2000,11035.55,11274.36,10818.3,11028.02,3.100000000000364,21.719999999999345,-243.53999999999905,11023.683333333332,11096.589999999998,11203.726666666667,11364.123333333331,11032.99,11029.89,11008.17,18.0,11028.02,11087.198520806767
28/01/2000,11024.92,11115.2,10649.21,10738.87,-4.969999999999345,3.100000000000364,21.719999999999345,11030.299999999997,11023.683333333332,11096.589999999998,11203.726666666667,11028.02,11032.99,11029.89,19.0,10738.87,11088.152336943464
31/01/2000,10735.77,11059.67,10610.43,10940.53,-289.14999999999964,-4.969999999999345,3.100000000000364,10933.293333333335,11030.299999999997,11023.683333333332,11096.589999999998,10738.87,11028.02,11032.99,20.0,10940.53,10829.667810562398
01/02/2000,10937.74,11187.18,10798.44,11041.05,201.65999999999985,-289.14999999999964,-4.969999999999345,10902.473333333333,10933.293333333335,11030.299999999997,11023.683333333332,10940.53,10738.87,11028.02,21.0,11041.05,10989.057190941227
02/02/2000,11037.64,11228.44,10876.0,11003.2,100.51999999999862,201.65999999999985,-289.14999999999964,10906.816666666668,10902.473333333333,10933.293333333335,11030.299999999997,11041.05,10940.53,10738.87,22.0,11003.2,11074.459598103209
03/02/2000,11010.48,11207.97,10799.68,11013.44,-37.849999999998545,100.51999999999862,201.65999999999985,10994.926666666666,10906.816666666668,10902.473333333333,10933.293333333335,11003.2,11041.05,10940.53,23.0,11013.44,11067.024434529538
04/02/2000,11014.37,11200.83,10847.54,10963.8,10.239999999999782,-37.849999999998545,100.51999999999862,11019.230000000001,10994.926666666666,10906.816666666668,10902.473333333333,11013.44,11003.2,11041.05,24.0,10963.8,11068.746896939234
07/02/2000,10965.97,11097.52,10732.67,10905.79,-49.64000000000124,10.239999999999782,-37.849999999998545,10993.480000000001,11019.230000000001,10994.926666666666,10906.816666666668,10963.8,11013.44,11003.2,25.0,10905.79,11016.101533156923
08/02/2000,10904.26,11139.4,10826.67,10957.6,-58.0099999999984,-49.64000000000124,10.239999999999782,10961.01,10993.480000000001,11019.230000000001,10994.926666666666,10905.79,10963.8,11013.44,26.0,10957.6,10968.721463927946
09/02/2000,10948.82,11016.54,10647.97,10699.16,51.80999999999949,-58.0099999999984,-49.64000000000124,10942.396666666667,10961.01,10993.480000000001,11019.230000000001,10957.6,10905.79,10963.8,27.0,10699.16,11010.003946985524
10/02/2000,10697.92,10853.67,10491.3,10643.63,-258.4400000000005,51.80999999999949,-58.0099999999984,10854.183333333332,10942.396666666667,10961.01,10993.480000000001,10699.16,10957.6,10905.79,28.0,10643.63,10782.623940278221
11/02/2000,10638.64,10763.38,10301.12,10425.21,-55.530000000000655,-258.4400000000005,51.80999999999949,10766.796666666667,10854.183333333332,10942.396666666667,10961.01,10643.63,10699.16,10957.6,29.0,10425.21,10729.209813908168
14/02/2000,10431.65,10674.96,10327.56,10519.84,-218.42000000000007,-55.530000000000655,-258.4400000000005,10589.333333333334,10766.796666666667,10854.183333333332,10942.396666666667,10425.21,10643.63,10699.16,30.0,10519.84,10514.202809952432
15/02/2000,10520.15,10821.09,10377.44,10718.09,94.63000000000102,-218.42000000000007,-55.530000000000655,10529.56,10589.333333333334,10766.796666666667,10854.183333333332,10519.84,10425.21,10643.63,31.0,10718.09,10597.768799713778
16/02/2000,10711.82,10831.64,10468.65,10561.41,198.25,94.63000000000102,-218.42000000000007,10554.38,10529.56,10589.333333333334,10766.796666666667,10718.09,10519.84,10425.21,32.0,10561.41,10763.284003032122
17/02/2000,10565.76,10768.66,10348.66,10514.57,-156.6800000000003,198.25,94.63000000000102,10599.78,10554.38,10529.56,10589.333333333334,10561.41,10718.09,10519.84,33.0,10514.57,10641.852357966154
18/02/2000,10514.57,10562.34,10129.24,10219.52,-46.840000000000146,-156.6800000000003,198.25,10598.023333333333,10599.78,10554.38,10529.56,10514.57,10561.41,10718.09,34.0,10219.52,10605.918324779585
22/02/2000,10219.83,10446.62,10011.66,10304.84,-295.0499999999993,-46.840000000000146,-156.6800000000003,10431.833333333334,10598.023333333333,10599.78,10554.38,10219.52,10514.57,10561.41,35.0,10304.84,10313.391782771232
23/02/2000,10294.82,10443.21,10077.74,10225.73,85.31999999999971,-295.0499999999993,-46.840000000000146,10346.31,10431.833333333334,10598.023333333333,10599.78,10304.84,10219.52,10514.57,36.0,10225.73,10391.06770291358
24/02/2000,10242.48,10321.9,9877.94,10092.63,-79.11000000000058,85.31999999999971,-295.0499999999993,10250.03,10346.31,10431.833333333334,10598.023333333333,10225.73,10304.84,10219.52,37.0,10092.63,10301.700693103194
25/02/2000,10090.77,10196.02,9767.8,9862.12,-133.10000000000036,-79.11000000000058,85.31999999999971,10207.733333333332,10250.03,10346.31,10431.833333333334,10092.63,10225.73,10304.84,38.0,9862.12,10203.494101946297
28/02/2000,9854.66,10228.52,9760.36,10038.65,-230.5099999999984,-133.10000000000036,-79.11000000000058,10060.160000000002,10207.733333333332,10250.03,10346.31,9862.12,10092.63,10225.73,39.0,10038.65,9976.84263732785
29/02/2000,10039.58,10332.14,9926.65,10128.31,176.52999999999884,-230.5099999999984,-133.10000000000036,9997.800000000001,10060.160000000002,10207.733333333332,10250.03,10038.65,9862.12,10092.63,40.0,10128.31,10121.366416619174
