Date,Open,High,Low,Close,change(att1)-1,change(att1)-2,change(att1)-3,moving_average(att1)-1,moving_average(att1)-2,moving_average(att1)-3,moving_average(att1)-4,att1-1,att1-2,att1-3,id,att1,prediction(att1)
13/01/2000,18667.18,18845.03,18667.18,18833.29,-173.5,657.5099999999984,25.139999999999418,18573.916666666668,18404.2,18301.41,18571.22666666667,18677.42,18850.92,18193.41,7.0,18833.29,18519.623319654256
14/01/2000,18882.99,19058.02,18733.83,18956.55,155.87000000000262,-173.5,657.5099999999984,18787.21,18573.916666666668,18404.2,18301.41,18833.29,18677.42,18850.92,8.0,18956.55,18597.431160174114
17/01/2000,19025.62,19442.58,19025.62,19437.23,123.2599999999984,155.87000000000262,-173.5,18822.42,18787.21,18573.916666666668,18404.2,18956.55,18833.29,18677.42,9.0,19437.23,18830.92992674508
18/01/2000,19412.47,19412.47,19145.17,19196.57,480.6800000000003,123.2599999999984,155.87000000000262,19075.69,18822.42,18787.21,18573.916666666668,19437.23,18956.55,18833.29,10.0,19196.57,19288.83031457952
19/01/2000,19181.87,19181.87,18897.75,18897.75,-240.65999999999985,480.6800000000003,123.2599999999984,19196.783333333333,19075.69,18822.42,18787.21,19196.57,19437.23,18956.55,11.0,18897.75,19027.31873312709
20/01/2000,18930.26,19167.03,18921.11,19008.01,-298.8199999999997,-240.65999999999985,480.6800000000003,19177.183333333334,19196.783333333333,19075.69,18822.42,18897.75,19196.57,19437.23,12.0,19008.01,18652.16867022014
21/01/2000,18994.89,18994.89,18713.17,18878.09,110.2599999999984,-298.8199999999997,-240.65999999999985,19034.11,19177.183333333334,19196.783333333333,19075.69,19008.01,18897.75,19196.57,13.0,18878.09,18831.207313656734
24/01/2000,18878.46,19124.57,18877.13,19056.71,-129.91999999999825,110.2599999999984,-298.8199999999997,18927.949999999997,19034.11,19177.183333333334,19196.783333333333,18878.09,19008.01,18897.75,14.0,19056.71,18722.374131552933
25/01/2000,19004.39,19131.19,18815.37,18895.53,178.61999999999898,-129.91999999999825,110.2599999999984,18980.936666666665,18927.949999999997,19034.11,19177.183333333334,19056.71,18878.09,19008.01,15.0,18895.53,18832.277894463277
26/01/2000,18982.84,19145.9,18982.84,19111.19,-161.1800000000003,178.61999999999898,-129.91999999999825,18943.443333333333,18980.936666666665,18927.949999999997,19034.11,18895.53,19056.71,18878.09,16.0,19111.19,18722.39141462279
27/01/2000,19125.62,19238.08,18971.68,19209.72,215.65999999999985,-161.1800000000003,178.61999999999898,19021.14333333333,18943.443333333333,18980.936666666665,18927.949999999997,19111.19,18895.53,19056.71,17.0,19209.72,18900.059379012062
28/01/2000,19261.01,19595.83,19237.49,19434.78,98.53000000000247,215.65999999999985,-161.1800000000003,19072.146666666667,19021.14333333333,18943.443333333333,18980.936666666665,19209.72,19111.19,18895.53,18.0,19434.78,19051.00425931978
31/01/2000,19375.11,19539.7,19224.47,19539.7,225.05999999999767,98.53000000000247,215.65999999999985,19251.896666666667,19072.146666666667,19021.14333333333,18943.443333333333,19434.78,19209.72,19111.19,19.0,19539.7,19237.176184493175
01/02/2000,19536.68,19553.68,19266.96,19423.38,104.92000000000189,225.05999999999767,98.53000000000247,19394.733333333334,19251.896666666667,19072.146666666667,19021.14333333333,19539.7,19434.78,19209.72,20.0,19423.38,19351.6483387814
02/02/2000,19522.33,19860.26,19522.33,19578.91,-116.31999999999971,104.92000000000189,225.05999999999767,19465.953333333335,19394.733333333334,19251.896666666667,19072.146666666667,19423.38,19539.7,19434.78,21.0,19578.91,19210.888009611208
