Date,Open,High,Low,Close,change(att1)-1,change(att1)-2,change(att1)-3,moving_average(att1)-1,moving_average(att1)-2,moving_average(att1)-3,moving_average(att1)-4,att1-1,att1-2,att1-3,confidence(D),id,UD,pred,confidence(U)
12/01/2010,4044.19,4049.48,3980.2,4000.05,-2.049999999999727,20.33999999999969,7.130000000000109,4037.6766666666667,4029.2033333333334,4018.4600000000005,4014.85,4043.09,4045.14,4024.8,0.4989377121653429,7.0,D,U,0.5010622878346571
13/01/2010,3979.94,4007.86,3979.15,4000.86,-43.039999999999964,-2.049999999999727,20.33999999999969,4029.4266666666663,4037.6766666666667,4029.2033333333334,4018.4600000000005,4000.05,4043.09,4045.14,0.488063178911004,8.0,U,U,0.5119368210889961
14/01/2010,4029.2,4029.71,3993.5,4015.77,0.8099999999999454,-43.039999999999964,-2.049999999999727,4014.6666666666665,4029.4266666666663,4037.6766666666667,4029.2033333333334,4000.86,4000.05,4043.09,0.49369775383498155,9.0,D,U,0.5063022461650185
15/01/2010,4030.94,4044.08,3949.9,3954.38,14.909999999999854,0.8099999999999454,-43.039999999999964,4005.56,4014.6666666666665,4029.4266666666663,4037.6766666666667,4015.77,4000.86,4000.05,0.49172739512087754,10.0,D,U,0.5082726048791224
18/01/2010,3971.17,3982.79,3954.28,3977.46,-61.38999999999987,14.909999999999854,0.8099999999999454,3990.3366666666666,4005.56,4014.6666666666665,4029.4266666666663,3954.38,4015.77,4000.86,0.4792186555881087,11.0,U,U,0.5207813444118913
19/01/2010,3968.73,4019.88,3930.91,4009.67,23.079999999999927,-61.38999999999987,14.909999999999854,3982.536666666667,3990.3366666666666,4005.56,4014.6666666666665,3977.46,3954.38,4015.77,0.5026391992702165,12.0,U,D,0.4973608007297836
20/01/2010,3996.36,4013.48,3915.96,3928.95,32.210000000000036,23.079999999999927,-61.38999999999987,3980.5033333333336,3982.536666666667,3990.3366666666666,4005.56,4009.67,3977.46,3954.38,0.4942919141107177,13.0,D,U,0.5057080858892823
21/01/2010,3955.78,3966.2,3862.16,3862.16,-80.72000000000025,32.210000000000036,23.079999999999927,3972.0266666666666,3980.5033333333336,3982.536666666667,3990.3366666666666,3928.95,4009.67,3977.46,0.4792683557668401,14.0,D,U,0.5207316442331598
22/01/2010,3840.06,3859.65,3786.29,3820.78,-66.78999999999996,-80.72000000000025,32.210000000000036,3933.593333333333,3972.0266666666666,3980.5033333333336,3982.536666666667,3862.16,3928.95,4009.67,0.47831455655402355,15.0,D,U,0.5216854434459764
25/01/2010,3793.63,3833.44,3780.5,3781.85,-41.379999999999654,-66.78999999999996,-80.72000000000025,3870.6299999999997,3933.593333333333,3972.0266666666666,3980.5033333333336,3820.78,3862.16,3928.95,0.46323951330389435,16.0,D,U,0.5367604866961057
26/01/2010,3748.03,3807.48,3741.36,3807.04,-38.93000000000029,-41.379999999999654,-66.78999999999996,3821.596666666667,3870.6299999999997,3933.593333333333,3972.0266666666666,3781.85,3820.78,3862.16,0.46767183598963286,17.0,U,U,0.5323281640103671
27/01/2010,3769.66,3793.63,3737.29,3759.8,25.190000000000055,-38.93000000000029,-41.379999999999654,3803.2233333333334,3821.596666666667,3870.6299999999997,3933.593333333333,3807.04,3781.85,3820.78,0.49136882796467235,18.0,D,U,0.5086311720353276
28/01/2010,3812.19,3812.19,3688.79,3688.79,-47.23999999999978,25.190000000000055,-38.93000000000029,3782.896666666666,3803.2233333333334,3821.596666666667,3870.6299999999997,3759.8,3807.04,3781.85,0.4749272987133041,19.0,D,U,0.525072701286696
29/01/2010,3712.02,3768.39,3696.0,3739.46,-71.01000000000022,-47.23999999999978,25.190000000000055,3751.876666666667,3782.896666666666,3803.2233333333334,3821.596666666667,3688.79,3759.8,3807.04,0.47693731115589044,20.0,U,U,0.5230626888441096
01/02/2010,3713.17,3774.36,3702.01,3762.01,50.67000000000007,-71.01000000000022,-47.23999999999978,3729.35,3751.876666666667,3782.896666666666,3803.2233333333334,3739.46,3688.79,3759.8,0.49578794003604426,21.0,U,U,0.5042120599639558
02/02/2010,3766.83,3819.07,3737.72,3812.13,22.550000000000182,50.67000000000007,-71.01000000000022,3730.0866666666666,3729.35,3751.876666666667,3782.896666666666,3762.01,3739.46,3688.79,0.4898955800832928,22.0,U,U,0.5101044199167072
03/02/2010,3819.77,3831.38,3784.32,3793.47,50.11999999999989,22.550000000000182,50.67000000000007,3771.2000000000003,3730.0866666666666,3729.35,3751.876666666667,3812.13,3762.01,3739.46,0.5229137841161503,23.0,D,D,0.4770862158838496
04/02/2010,3792.42,3806.21,3685.57,3689.25,-18.66000000000031,50.11999999999989,22.550000000000182,3789.2033333333334,3771.2000000000003,3730.0866666666666,3729.35,3793.47,3812.13,3762.01,0.4982165615947946,24.0,D,U,0.5017834384052055
