Date,Open,High,Low,Close,change(att1)-1,change(att1)-2,change(att1)-3,moving_average(att1)-1,moving_average(att1)-2,moving_average(att1)-3,moving_average(att1)-4,att1-1,att1-2,att1-3,confidence(D),id,UD,pred,confidence(U)
12/01/2010,5538.1,5549.6,5459.9,5498.7,3.9000000000005457,7.5,-3.300000000000182,5533.0,5530.3,5526.400000000001,5517.599999999999,5538.1,5534.2,5526.7,0.4795311700958015,7.0,D,U,0.5204688299041985
13/01/2010,5498.7,5509.7,5450.9,5473.5,-39.400000000000546,3.9000000000005457,7.5,5523.666666666667,5533.0,5530.3,5526.400000000001,5498.7,5538.1,5534.2,0.46467525667274373,8.0,D,U,0.5353247433272563
14/01/2010,5473.5,5521.9,5473.5,5498.2,-25.199999999999818,-39.400000000000546,3.9000000000005457,5503.433333333333,5523.666666666667,5533.0,5530.3,5473.5,5498.7,5538.1,0.4528364896890161,9.0,U,U,0.5471635103109839
15/01/2010,5498.2,5527.0,5450.4,5455.4,24.699999999999818,-25.199999999999818,-39.400000000000546,5490.133333333334,5503.433333333333,5523.666666666667,5533.0,5498.2,5473.5,5498.7,0.46635530919857365,10.0,D,U,0.5336446908014263
18/01/2010,5455.4,5504.0,5454.3,5494.4,-42.80000000000018,24.699999999999818,-25.199999999999818,5475.7,5490.133333333334,5503.433333333333,5523.666666666667,5455.4,5498.2,5473.5,0.4629120696863211,11.0,U,U,0.537087930313679
19/01/2010,5494.4,5531.9,5431.3,5513.1,39.0,-42.80000000000018,24.699999999999818,5482.666666666667,5475.7,5490.133333333334,5503.433333333333,5494.4,5455.4,5498.2,0.47902445425890355,12.0,U,U,0.5209755457410965
20/01/2010,5513.1,5513.1,5404.0,5420.8,18.700000000000728,39.0,-42.80000000000018,5487.633333333334,5482.666666666667,5475.7,5490.133333333334,5513.1,5494.4,5455.4,0.48678334167370096,13.0,D,U,0.5132166583262989
21/01/2010,5420.8,5468.4,5331.6,5335.1,-92.30000000000018,18.700000000000728,39.0,5476.099999999999,5487.633333333334,5482.666666666667,5475.7,5420.8,5513.1,5494.4,0.45648866920579145,14.0,D,U,0.5435113307942085
22/01/2010,5335.1,5345.6,5253.0,5303.0,-85.69999999999982,-92.30000000000018,18.700000000000728,5423.000000000001,5476.099999999999,5487.633333333334,5482.666666666667,5335.1,5420.8,5513.1,0.41431337265983503,15.0,D,U,0.5856866273401651
25/01/2010,5303.0,5330.6,5252.9,5260.3,-32.100000000000364,-85.69999999999982,-92.30000000000018,5352.966666666667,5423.000000000001,5476.099999999999,5487.633333333334,5303.0,5335.1,5420.8,0.41074280417350717,16.0,D,U,0.5892571958264929
