Date,Open,High,Low,Close,att1,change(att1)-1,change(att1)-2,change(att1)-3,moving_average(att1)-1,moving_average(att1)-2,moving_average(att1)-3,moving_average(att1)-4,att1-1,att1-2,att1-3,confidence(D),id,UD,pred,confidence(U)
12/01/2010,6039.0,6056.0,5925.0,5943.0,5943.0,3.0,19.0,-15.0,6032.666666666667,6030.333333333333,6028.333333333333,6038.0,6041.0,6038.0,6019.0,0.7626503318160954,7.0,D,D,0.23734966818390463
13/01/2010,5937.0,5974.0,5925.0,5963.0,5963.0,-98.0,3.0,19.0,6007.333333333333,6032.666666666667,6030.333333333333,6028.333333333333,5943.0,6041.0,6038.0,0.3969422552687001,8.0,U,U,0.6030577447312999
14/01/2010,5999.0,6010.0,5952.0,5989.0,5989.0,20.0,-98.0,3.0,5982.333333333333,6007.333333333333,6032.666666666667,6030.333333333333,5963.0,5943.0,6041.0,0.3796742795891258,9.0,D,U,0.6203257204108742
15/01/2010,5997.0,6025.0,5867.0,5876.0,5876.0,26.0,20.0,-98.0,5965.0,5982.333333333333,6007.333333333333,6032.666666666667,5989.0,5963.0,5943.0,0.8006989687150204,10.0,D,D,0.19930103128497959
18/01/2010,5898.0,5923.0,5878.0,5919.0,5919.0,-113.0,26.0,20.0,5942.666666666667,5965.0,5982.333333333333,6007.333333333333,5876.0,5989.0,5963.0,0.3470620545505187,11.0,U,U,0.6529379454494814
19/01/2010,5905.0,5989.0,5850.0,5976.0,5976.0,43.0,-113.0,26.0,5928.0,5942.666666666667,5965.0,5982.333333333333,5919.0,5876.0,5989.0,0.2944442036039212,12.0,U,U,0.7055557963960788
20/01/2010,5964.0,5973.0,5832.0,5852.0,5852.0,57.0,43.0,-113.0,5923.666666666667,5928.0,5942.666666666667,5965.0,5976.0,5919.0,5876.0,0.8232844292417412,13.0,D,D,0.17671557075825892
21/01/2010,5878.0,5909.0,5742.0,5747.0,5747.0,-124.0,57.0,43.0,5915.666666666667,5923.666666666667,5928.0,5942.666666666667,5852.0,5976.0,5919.0,0.7855038138213783,14.0,D,D,0.2144961861786217
22/01/2010,5736.0,5741.0,5639.0,5695.0,5695.0,-105.0,-124.0,57.0,5858.333333333333,5915.666666666667,5923.666666666667,5928.0,5747.0,5852.0,5976.0,0.6065687516490149,15.0,D,D,0.3934312483509852
25/01/2010,5663.0,5694.0,5625.0,5631.0,5631.0,-52.0,-105.0,-124.0,5764.666666666667,5858.333333333333,5915.666666666667,5923.666666666667,5695.0,5747.0,5852.0,0.6518898369956619,16.0,D,D,0.34811016300433806
26/01/2010,5594.0,5676.0,5574.0,5669.0,5669.0,-64.0,-52.0,-105.0,5691.0,5764.666666666667,5858.333333333333,5915.666666666667,5631.0,5695.0,5747.0,0.37540741220525015,17.0,U,U,0.6245925877947499
27/01/2010,5644.0,5674.0,5589.0,5643.0,5643.0,38.0,-64.0,-52.0,5665.0,5691.0,5764.666666666667,5858.333333333333,5669.0,5631.0,5695.0,0.5933021761867818,18.0,D,D,0.4066978238132182
28/01/2010,5687.0,5719.0,5540.0,5540.0,5540.0,-26.0,38.0,-64.0,5647.666666666667,5665.0,5691.0,5764.666666666667,5643.0,5669.0,5631.0,0.7893674778144436,19.0,D,D,0.21063252218555648
29/01/2010,5566.0,5658.0,5556.0,5609.0,5609.0,-103.0,-26.0,38.0,5617.333333333333,5647.666666666667,5665.0,5691.0,5540.0,5643.0,5669.0,0.2691905316127335,20.0,U,U,0.7308094683872665
01/02/2010,5588.0,5674.0,5568.0,5654.0,5654.0,69.0,-103.0,-26.0,5597.333333333333,5617.333333333333,5647.666666666667,5665.0,5609.0,5540.0,5643.0,0.33114082614004176,21.0,U,U,0.6688591738599582
02/02/2010,5664.0,5723.0,5625.0,5710.0,5710.0,45.0,69.0,-103.0,5601.0,5597.333333333333,5617.333333333333,5647.666666666667,5654.0,5609.0,5540.0,0.32281272265710986,22.0,U,U,0.6771872773428902
