Date,Open,High,Low,Close,change(att1)-1,change(att1)-2,change(att1)-3,moving_average(att1)-1,moving_average(att1)-2,moving_average(att1)-3,moving_average(att1)-4,att1-1,att1-2,att1-3,confidence(D),id,UD,pred,confidence(U)
12/01/2010,10662.86,10663.08,10568.84,10626.05,46.93000000000029,11.110000000000582,33.100000000000364,10629.449999999999,10599.07,10583.753333333334,10576.196666666667,10664.44,10617.51,10606.4,1.7015125459651487E-65,7.0,D,U,1.0
13/01/2010,10628.09,10709.26,10614.49,10681.52,-38.39000000000124,46.93000000000029,11.110000000000582,10636.0,10629.449999999999,10599.07,10583.753333333334,10626.05,10664.44,10617.51,2.657048313523404E-70,8.0,U,U,1.0
14/01/2010,10680.16,10723.77,10666.86,10710.62,55.470000000001164,-38.39000000000124,46.93000000000029,10657.336666666666,10636.0,10629.449999999999,10599.07,10681.52,10626.05,10664.44,8.550326928246658E-70,9.0,U,U,1.0
15/01/2010,10706.99,10709.94,10561.06,10609.88,29.100000000000364,55.470000000001164,-38.39000000000124,10672.730000000001,10657.336666666666,10636.0,10629.449999999999,10710.62,10681.52,10626.05,1.0950306714040957E-73,10.0,D,U,1.0
19/01/2010,10608.37,10729.89,10591.97,10725.28,-100.7400000000016,29.100000000000364,55.470000000001164,10667.339999999998,10672.730000000001,10657.336666666666,10636.0,10609.88,10710.62,10681.52,3.362527147477755E-77,11.0,U,U,1.0
20/01/2010,10719.69,10719.92,10517.3,10603.08,115.40000000000146,-100.7400000000016,29.100000000000364,10681.926666666666,10667.339999999998,10672.730000000001,10657.336666666666,10725.28,10609.88,10710.62,2.771717942652732E-68,12.0,D,U,1.0
21/01/2010,10603.91,10614.94,10374.69,10386.63,-122.20000000000073,115.40000000000146,-100.7400000000016,10646.08,10681.926666666666,10667.339999999998,10672.730000000001,10603.08,10725.28,10609.88,6.894547714860034E-62,13.0,D,U,1.0
22/01/2010,10389.58,10389.58,10157.64,10169.96,-216.45000000000073,-122.20000000000073,115.40000000000146,10571.663333333332,10646.08,10681.926666666666,10667.339999999998,10386.63,10603.08,10725.28,1.4997659294569271E-47,14.0,D,U,1.0
25/01/2010,10175.1,10256.87,10171.77,10197.01,-216.67000000000007,-216.45000000000073,-122.20000000000073,10386.556666666665,10571.663333333332,10646.08,10681.926666666666,10169.96,10386.63,10603.08,0.16434675359882692,15.0,U,U,0.835653246401173
26/01/2010,10195.35,10285.13,10155.6,10192.25,27.05000000000109,-216.67000000000007,-216.45000000000073,10251.199999999999,10386.556666666665,10571.663333333332,10646.08,10197.01,10169.96,10386.63,1.0,16.0,D,D,1.3819490229872161E-30
27/01/2010,10194.29,10255.06,10104.36,10236.09,-4.760000000000218,27.05000000000109,-216.67000000000007,10186.406666666668,10251.199999999999,10386.556666666665,10571.663333333332,10192.25,10197.01,10169.96,1.0,17.0,U,D,3.323492888602111E-60
28/01/2010,10236.92,10258.83,10055.08,10119.17,43.840000000000146,-4.760000000000218,27.05000000000109,10208.45,10186.406666666668,10251.199999999999,10386.556666666665,10236.09,10192.25,10197.01,1.0,18.0,D,D,6.885847611986295E-67
29/01/2010,10150.76,10239.34,10043.75,10063.7,-116.92000000000007,43.840000000000146,-4.760000000000218,10182.503333333334,10208.45,10186.406666666668,10251.199999999999,10119.17,10236.09,10192.25,1.0,19.0,D,D,3.818614854499465E-71
