Date,Open,High,Low,Close,moving_average(att1),change(att1),change(att1)-1,change(att1)-2,change(att1)-3,moving_average(att1)-1,moving_average(att1)-2,moving_average(att1)-3,moving_average(att1)-4,att1-1,att1-2,att1-3,id,att1,Pred,PrevClose,Diff,ActDiff
12/01/2010,4044.19,4049.48,3980.2,4000.05,4029.4266666666663,-43.039999999999964,-2.049999999999727,20.33999999999969,7.130000000000109,4037.6766666666667,4029.2033333333334,4018.4600000000005,4014.85,4043.09,4045.14,4024.8,7.0,4000.05,3990.377956750111,,,
13/01/2010,3979.94,4007.86,3979.15,4000.86,4014.6666666666665,0.8099999999999454,-43.039999999999964,-2.049999999999727,20.33999999999969,4029.4266666666663,4037.6766666666667,4029.2033333333334,4018.4600000000005,4000.05,4043.09,4045.14,8.0,4000.86,3984.7513469551577,4000.05,15.298653044842467,-0.8099999999999454
14/01/2010,4029.2,4029.71,3993.5,4015.77,4005.56,14.909999999999854,0.8099999999999454,-43.039999999999964,-2.049999999999727,4014.6666666666665,4029.4266666666663,4037.6766666666667,4029.2033333333334,4000.86,4000.05,4043.09,9.0,4015.77,3983.592800306794,4000.86,17.267199693206294,-14.909999999999854
15/01/2010,4030.94,4044.08,3949.9,3954.38,3990.3366666666666,-61.38999999999987,14.909999999999854,0.8099999999999454,-43.039999999999964,4005.56,4014.6666666666665,4029.4266666666663,4037.6766666666667,4015.77,4000.86,4000.05,10.0,3954.38,3968.104440396166,4015.77,47.665559603834026,61.38999999999987
18/01/2010,3971.17,3982.79,3954.28,3977.46,3982.536666666667,23.079999999999927,-61.38999999999987,14.909999999999854,0.8099999999999454,3990.3366666666666,4005.56,4014.6666666666665,4029.4266666666663,3954.38,4015.77,4000.86,11.0,3977.46,3957.656911783098,3954.38,-3.2769117830980576,-23.079999999999927
19/01/2010,3968.73,4019.88,3930.91,4009.67,3980.5033333333336,32.210000000000036,23.079999999999927,-61.38999999999987,14.909999999999854,3982.536666666667,3990.3366666666666,4005.56,4014.6666666666665,3977.46,3954.38,4015.77,12.0,4009.67,3959.3693055103595,3977.46,18.090694489640555,-32.210000000000036
20/01/2010,3996.36,4013.48,3915.96,3928.95,3972.0266666666666,-80.72000000000025,32.210000000000036,23.079999999999927,-61.38999999999987,3980.5033333333336,3982.536666666667,3990.3366666666666,4005.56,4009.67,3977.46,3954.38,13.0,3928.95,3941.40458053385,4009.67,68.26541946614998,80.72000000000025
21/01/2010,3955.78,3966.2,3862.16,3862.16,3933.593333333333,-66.78999999999996,-80.72000000000025,32.210000000000036,23.079999999999927,3972.0266666666666,3980.5033333333336,3982.536666666667,3990.3366666666666,3928.95,4009.67,3977.46,14.0,3862.16,3913.5769812700055,3928.95,15.373018729994328,66.78999999999996
22/01/2010,3840.06,3859.65,3786.29,3820.78,3870.6299999999997,-41.379999999999654,-66.78999999999996,-80.72000000000025,32.210000000000036,3933.593333333333,3972.0266666666666,3980.5033333333336,3982.536666666667,3862.16,3928.95,4009.67,15.0,3820.78,3879.9199451757854,3862.16,-17.75994517578556,41.379999999999654
25/01/2010,3793.63,3833.44,3780.5,3781.85,3821.596666666667,-38.93000000000029,-41.379999999999654,-66.78999999999996,-80.72000000000025,3870.6299999999997,3933.593333333333,3972.0266666666666,3980.5033333333336,3820.78,3862.16,3928.95,16.0,3781.85,3838.5460177848345,3820.78,-17.766017784834276,38.93000000000029
