Date,Open,High,Low,Close,change(att1)-1,change(att1)-2,change(att1)-3,moving_average(att1)-1,moving_average(att1)-2,moving_average(att1)-3,moving_average(att1)-4,att1-1,att1-2,att1-3,id,att1,Pred,PrevClose,Diff,ActDiff
12/01/2010,6039.0,6056.0,5925.0,5943.0,3.0,19.0,-15.0,6032.666666666667,6030.333333333333,6028.333333333333,6038.0,6041.0,6038.0,6019.0,7.0,5943.0,6037.4,,,
13/01/2010,5937.0,5974.0,5925.0,5963.0,-98.0,3.0,19.0,6007.333333333333,6032.666666666667,6030.333333333333,6028.333333333333,5943.0,6041.0,6038.0,8.0,5963.0,5974.666666666667,5943.0,-31.66666666666697,-20.0
14/01/2010,5999.0,6010.0,5952.0,5989.0,20.0,-98.0,3.0,5982.333333333333,6007.333333333333,6032.666666666667,6030.333333333333,5963.0,5943.0,6041.0,9.0,5989.0,5968.266666666666,5963.0,-5.266666666666424,-26.0
15/01/2010,5997.0,6025.0,5867.0,5876.0,26.0,20.0,-98.0,5965.0,5982.333333333333,6007.333333333333,6032.666666666667,5989.0,5963.0,5943.0,10.0,5876.0,5989.333333333333,5989.0,-0.33333333333303017,113.0
18/01/2010,5898.0,5923.0,5878.0,5919.0,-113.0,26.0,20.0,5942.666666666667,5965.0,5982.333333333333,6007.333333333333,5876.0,5989.0,5963.0,11.0,5919.0,5934.533333333334,5876.0,-58.53333333333376,-43.0
19/01/2010,5905.0,5989.0,5850.0,5976.0,43.0,-113.0,26.0,5928.0,5942.666666666667,5965.0,5982.333333333333,5919.0,5876.0,5989.0,12.0,5976.0,5934.2,5919.0,-15.199999999999818,-57.0
20/01/2010,5964.0,5973.0,5832.0,5852.0,57.0,43.0,-113.0,5923.666666666667,5928.0,5942.666666666667,5965.0,5976.0,5919.0,5876.0,13.0,5852.0,5962.733333333334,5976.0,13.266666666666424,124.0
21/01/2010,5878.0,5909.0,5742.0,5747.0,-124.0,57.0,43.0,5915.666666666667,5923.666666666667,5928.0,5942.666666666667,5852.0,5976.0,5919.0,14.0,5747.0,5895.6,5852.0,-43.600000000000364,105.0
22/01/2010,5736.0,5741.0,5639.0,5695.0,-105.0,-124.0,57.0,5858.333333333333,5915.666666666667,5923.666666666667,5928.0,5747.0,5852.0,5976.0,15.0,5695.0,5838.266666666666,5747.0,-91.26666666666642,52.0
25/01/2010,5663.0,5694.0,5625.0,5631.0,-52.0,-105.0,-124.0,5764.666666666667,5858.333333333333,5915.666666666667,5923.666666666667,5695.0,5747.0,5852.0,16.0,5631.0,5778.6,5695.0,-83.60000000000036,64.0
