Date,Open,High,Low,Close,moving_average(att1),change(att1),change(att1)-1,change(att1)-2,change(att1)-3,moving_average(att1)-1,moving_average(att1)-2,moving_average(att1)-3,moving_average(att1)-4,att1-1,att1-2,att1-3,id,att1,Pred,PrevClose,Diff,ActDiff
13/01/2010,10795.48,10866.62,10729.86,10735.03,10804.163333333332,-144.10999999999876,80.81999999999971,116.65999999999985,-49.79000000000087,10786.373333333333,10737.143333333333,10698.313333333334,10689.356666666668,10879.14,10798.32,10681.66,7.0,10735.03,10785.752,,,
14/01/2010,10778.07,10909.94,10774.25,10907.68,10840.616666666667,172.64999999999964,-144.10999999999876,80.81999999999971,116.65999999999985,10804.163333333332,10786.373333333333,10737.143333333333,10698.313333333334,10735.03,10879.14,10798.32,8.0,10907.68,10874.844,10735.03,-139.8139999999985,-172.64999999999964
15/01/2010,10917.41,10982.1,10878.83,10982.1,10874.936666666666,74.42000000000007,172.64999999999964,-144.10999999999876,80.81999999999971,10840.616666666667,10804.163333333332,10786.373333333333,10737.143333333333,10907.68,10735.03,10879.14,9.0,10982.1,10942.451333333333,10907.68,-34.77133333333222,-74.42000000000007
18/01/2010,10887.61,10895.1,10781.03,10855.08,10914.953333333333,-127.02000000000044,74.42000000000007,172.64999999999964,-144.10999999999876,10874.936666666666,10840.616666666667,10804.163333333332,10786.373333333333,10982.1,10907.68,10735.03,10.0,10855.08,10918.619333333332,10982.1,63.480666666668185,127.02000000000044
19/01/2010,10866.83,10866.83,10749.47,10764.9,10867.36,-90.18000000000029,-127.02000000000044,74.42000000000007,172.64999999999964,10914.953333333333,10874.936666666666,10840.616666666667,10804.163333333332,10855.08,10982.1,10907.68,11.0,10764.9,10908.339333333333,10855.08,-53.259333333333416,90.18000000000029
20/01/2010,10834.91,10860.93,10724.57,10737.52,10785.833333333334,-27.3799999999992,-90.18000000000029,-127.02000000000044,74.42000000000007,10867.36,10914.953333333333,10874.936666666666,10840.616666666667,10764.9,10855.08,10982.1,12.0,10737.52,10796.194,10764.9,-31.29399999999987,27.3799999999992
21/01/2010,10704.79,10886.64,10649.84,10868.41,10790.276666666667,130.88999999999942,-27.3799999999992,-90.18000000000029,-127.02000000000044,10785.833333333334,10867.36,10914.953333333333,10874.936666666666,10737.52,10764.9,10855.08,13.0,10868.41,10822.951333333333,10737.52,-85.43133333333208,-130.88999999999942
22/01/2010,10740.21,10768.07,10528.33,10590.55,10732.16,-277.8600000000006,130.88999999999942,-27.3799999999992,-90.18000000000029,10790.276666666667,10785.833333333334,10867.36,10914.953333333333,10868.41,10737.52,10764.9,14.0,10590.55,10739.560000000001,10868.41,128.84999999999854,277.8600000000006
25/01/2010,10478.31,10557.64,10414.58,10512.69,10657.216666666667,-77.85999999999876,-277.8600000000006,130.88999999999942,-27.3799999999992,10732.16,10790.276666666667,10785.833333333334,10867.36,10590.55,10868.41,10737.52,15.0,10512.69,10593.279999999999,10590.55,-2.7299999999995634,77.85999999999876
26/01/2010,10506.15,10566.49,10324.98,10325.28,10476.173333333332,-187.40999999999985,-77.85999999999876,-277.8600000000006,130.88999999999942,10657.216666666667,10732.16,10790.276666666667,10785.833333333334,10512.69,10590.55,10868.41,16.0,10325.28,10468.693333333336,10512.69,43.99666666666417,187.40999999999985
27/01/2010,10344.07,10373.82,10252.08,10252.08,10363.35,-73.20000000000073,-187.40999999999985,-77.85999999999876,-277.8600000000006,10476.173333333332,10657.216666666667,10732.16,10790.276666666667,10325.28,10512.69,10590.55,17.0,10252.08,10332.514000000001,10325.28,-7.234000000000378,73.20000000000073
28/01/2010,10309.73,10462.7,10296.98,10414.29,10330.550000000001,162.21000000000095,-73.20000000000073,-187.40999999999985,-77.85999999999876,10363.35,10476.173333333332,10657.216666666667,10732.16,10252.08,10325.28,10512.69,18.0,10414.29,10330.826000000001,10252.08,-78.746000000001,-162.21000000000095
