Date,Open,High,Low,Close,change(att1)-1,change(att1)-2,change(att1)-3,moving_average(att1)-1,moving_average(att1)-2,moving_average(att1)-3,moving_average(att1)-4,att1-1,att1-2,att1-3,id,att1,prediction(att1)
05/01/2010,6044.0,6058.0,6016.0,6032.0,46.93000000000029,11.110000000000582,33.100000000000364,10629.449999999999,10599.07,10583.753333333334,10576.196666666667,10664.44,10617.51,10606.4,2522.0,10626.05,10685.078453827888
06/01/2010,6032.0,6048.0,5997.0,6034.0,-38.39000000000124,46.93000000000029,11.110000000000582,10636.0,10629.449999999999,10599.07,10583.753333333334,10626.05,10664.44,10617.51,2523.0,10681.52,10648.297044235922
07/01/2010,6017.0,6038.0,5961.0,6019.0,55.470000000001164,-38.39000000000124,46.93000000000029,10657.336666666666,10636.0,10629.449999999999,10599.07,10681.52,10626.05,10664.44,2524.0,10710.62,10704.931020654518
08/01/2010,6029.0,6053.0,5972.0,6038.0,29.100000000000364,55.470000000001164,-38.39000000000124,10672.730000000001,10657.336666666666,10636.0,10629.449999999999,10710.62,10681.52,10626.05,2525.0,10609.88,10726.54150569533
11/01/2010,6058.0,6094.0,6031.0,6041.0,-100.7400000000016,29.100000000000364,55.470000000001164,10667.339999999998,10672.730000000001,10657.336666666666,10636.0,10609.88,10710.62,10681.52,2526.0,10725.28,10637.930124805536
12/01/2010,6039.0,6056.0,5925.0,5943.0,115.40000000000146,-100.7400000000016,29.100000000000364,10681.926666666666,10667.339999999998,10672.730000000001,10657.336666666666,10725.28,10609.88,10710.62,2527.0,10603.08,10748.220527325275
13/01/2010,5937.0,5974.0,5925.0,5963.0,-122.20000000000073,115.40000000000146,-100.7400000000016,10646.08,10681.926666666666,10667.339999999998,10672.730000000001,10603.08,10725.28,10609.88,2528.0,10386.63,10620.874492090714
14/01/2010,5999.0,6010.0,5952.0,5989.0,-216.45000000000073,-122.20000000000073,115.40000000000146,10571.663333333332,10646.08,10681.926666666666,10667.339999999998,10386.63,10603.08,10725.28,2529.0,10169.96,10436.36710280935
15/01/2010,5997.0,6025.0,5867.0,5876.0,-216.67000000000007,-216.45000000000073,-122.20000000000073,10386.556666666665,10571.663333333332,10646.08,10681.926666666666,10169.96,10386.63,10603.08,2530.0,10197.01,10215.645544034314
18/01/2010,5898.0,5923.0,5878.0,5919.0,27.05000000000109,-216.67000000000007,-216.45000000000073,10251.199999999999,10386.556666666665,10571.663333333332,10646.08,10197.01,10169.96,10386.63,2531.0,10192.25,10224.003902261875
19/01/2010,5905.0,5989.0,5850.0,5976.0,-4.760000000000218,27.05000000000109,-216.67000000000007,10186.406666666668,10251.199999999999,10386.556666666665,10571.663333333332,10192.25,10197.01,10169.96,2532.0,10236.09,10206.127939145232
20/01/2010,5964.0,5973.0,5832.0,5852.0,43.840000000000146,-4.760000000000218,27.05000000000109,10208.45,10186.406666666668,10251.199999999999,10386.556666666665,10236.09,10192.25,10197.01,2533.0,10119.17,10263.114921147853
21/01/2010,5878.0,5909.0,5742.0,5747.0,-116.92000000000007,43.840000000000146,-4.760000000000218,10182.503333333334,10208.45,10186.406666666668,10251.199999999999,10119.17,10236.09,10192.25,2534.0,10063.7,10151.765224924839
22/01/2010,5736.0,5741.0,5639.0,5695.0,-55.469999999999345,-116.92000000000007,43.840000000000146,10139.653333333334,10182.503333333334,10208.45,10186.406666666668,10063.7,10119.17,10236.09,2535.0,10186.58,10105.520918959033
25/01/2010,5663.0,5694.0,5625.0,5631.0,122.8799999999992,-55.469999999999345,-116.92000000000007,10123.150000000001,10139.653333333334,10182.503333333334,10208.45,10186.58,10063.7,10119.17,2536.0,10296.85,10204.40222046758
26/01/2010,5594.0,5676.0,5574.0,5669.0,110.27000000000044,122.8799999999992,-55.469999999999345,10182.376666666665,10123.150000000001,10139.653333333334,10182.503333333334,10296.85,10186.58,10063.7,2537.0,10270.1,10308.004123567249
27/01/2010,5644.0,5674.0,5589.0,5643.0,-26.75,110.27000000000044,122.8799999999992,10251.176666666666,10182.376666666665,10123.150000000001,10139.653333333334,10270.1,10296.85,10186.58,2538.0,9999.91,10299.90435710094
28/01/2010,5687.0,5719.0,5540.0,5540.0,-270.1900000000005,-26.75,110.27000000000044,10188.953333333333,10251.176666666666,10182.376666666665,10123.150000000001,9999.91,10270.1,10296.85,2539.0,10012.84,10055.176263255194
29/01/2010,5566.0,5658.0,5556.0,5609.0,12.930000000000291,-270.1900000000005,-26.75,10094.283333333335,10188.953333333333,10251.176666666666,10182.376666666665,10012.84,9999.91,10270.1,2540.0,9908.39,10053.946942520217
01/02/2010,5588.0,5674.0,5568.0,5654.0,-104.45000000000073,12.930000000000291,-270.1900000000005,9973.713333333333,10094.283333333335,10188.953333333333,10251.176666666666,9908.39,10012.84,9999.91,2541.0,10058.33,9922.80118495686
02/02/2010,5664.0,5723.0,5625.0,5710.0,149.9400000000005,-104.45000000000073,12.930000000000291,9993.186666666666,9973.713333333333,10094.283333333335,10188.953333333333,10058.33,9908.39,10012.84,2542.0,10038.08,10085.207608525097
03/02/2010,5715.0,5734.0,5657.0,5672.0,-20.25,149.9400000000005,-104.45000000000073,10001.6,9993.186666666666,9973.713333333333,10094.283333333335,10038.08,10058.33,9908.39,2543.0,10145.32,10052.165104749054
04/02/2010,5671.0,5697.0,5523.0,5533.0,107.23999999999978,-20.25,149.9400000000005,10080.576666666666,10001.6,9993.186666666666,9973.713333333333,10145.32,10038.08,10058.33,2544.0,10104.74,10178.54402428938
05/02/2010,5516.0,5527.0,5433.0,5434.0,-40.57999999999993,107.23999999999978,-20.25,10096.046666666667,10080.576666666666,10001.6,9993.186666666666,10104.74,10145.32,10038.08,2545.0,10268.81,10128.468009856324
08/02/2010,5476.0,5505.0,5434.0,5485.0,164.0699999999997,-40.57999999999993,107.23999999999978,10172.956666666665,10096.046666666667,10080.576666666666,10001.6,10268.81,10104.74,10145.32,2546.0,10310.68,10295.941709414921
09/02/2010,5485.0,5538.0,5462.0,5498.0,41.8700000000008,164.0699999999997,-40.57999999999993,10228.076666666666,10172.956666666665,10096.046666666667,10080.576666666666,10310.68,10268.81,10104.74,2547.0,10392.22,10323.883636223622
10/02/2010,5534.0,5592.0,5505.0,5536.0,81.53999999999905,41.8700000000008,164.0699999999997,10323.903333333334,10228.076666666666,10172.956666666665,10096.046666666667,10392.22,10310.68,10268.81,2548.0,10401.97,10420.508945366279
11/02/2010,5563.0,5581.0,5454.0,5504.0,9.75,81.53999999999905,41.8700000000008,10368.29,10323.903333333334,10228.076666666666,10172.956666666665,10401.97,10392.22,10310.68,2549.0,10383.46,10425.205308160685
12/02/2010,5550.0,5565.0,5460.0,5500.0,-18.51000000000022,9.75,81.53999999999905,10392.55,10368.29,10323.903333333334,10228.076666666666,10383.46,10401.97,10392.22,2550.0,10283.32,10414.612814326918
15/02/2010,5526.0,5547.0,5502.0,5511.0,-100.13999999999942,-18.51000000000022,9.75,10356.25,10392.55,10368.29,10323.903333333334,10283.32,10383.46,10401.97,2551.0,10373.03,10317.80421547967
16/02/2010,5573.0,5592.0,5498.0,5592.0,89.71000000000095,-100.13999999999942,-18.51000000000022,10346.603333333333,10356.25,10392.55,10368.29,10373.03,10283.32,10383.46,2552.0,10322.92,10399.648605095574
