Date,Open,High,Low,Close,UP/DN
03/01/2000,6962,7159,6721,6751,D
04/01/2000,6747,6755,6510,6587,D
05/01/2000,6586,6586,6389,6502,D
06/01/2000,6501,6539,6403,6475,D
07/01/2000,6490,6792,6470,6781,U
10/01/2000,6785,6975,6785,6926,U
11/01/2000,6926,6944,6821,6891,D
12/01/2000,6879,6914,6783,6913,U
13/01/2000,6913,7106,6899,6956,U
14/01/2000,6960,7207,6960,7173,U
17/01/2000,7177,7297,7113,7259,U
18/01/2000,7262,7306,7054,7072,D
19/01/2000,7065,7110,6987,7091,U
20/01/2000,7096,7231,7077,7113,U
21/01/2000,7104,7104,6940,6993,D
24/01/2000,6988,7093,6922,6932,D
25/01/2000,6928,6928,6810,6810,D
26/01/2000,6838,6981,6838,6969,U
27/01/2000,6983,7170,6945,7126,U
28/01/2000,7128,7215,7040,7067,D
31/01/2000,7054,7054,6817,6836,D
01/02/2000,6841,7052,6841,7050,U
02/02/2000,7064,7172,7039,7172,U
03/02/2000,7176,7355,7134,7354,U
04/02/2000,7356,7492,7338,7445,U
07/02/2000,7451,7451,7270,7296,D
08/02/2000,7296,7571,7263,7550,U
09/02/2000,7567,7677,7526,7629,U
10/02/2000,7617,7709,7496,7709,U
11/02/2000,7724,7812,7586,7612,D
14/02/2000,7569,7660,7542,7645,U
15/02/2000,7636,7700,7396,7396,D
16/02/2000,7401,7597,7343,7490,U
17/02/2000,7478,7637,7394,7581,U
18/02/2000,7584,7659,7544,7574,D
21/02/2000,7568,7591,7448,7591,U
22/02/2000,7580,7726,7540,7608,U
23/02/2000,7620,7772,7620,7699,U
24/02/2000,7697,7813,7587,7641,D
25/02/2000,7669,7777,7641,7739,U
28/02/2000,7733,7747,7492,7587,D
29/02/2000,7591,7700,7591,7645,U
01/03/2000,7645,7769,7619,7728,U
02/03/2000,7721,7951,7640,7946,U
03/03/2000,7952,8022,7875,7960,U
06/03/2000,7960,8031,7925,7976,U
07/03/2000,7971,8136,7922,8065,U
08/03/2000,8070,8098,7949,7987,D
09/03/2000,7984,8085,7877,7949,D
10/03/2000,7953,8076,7953,7976,U
13/03/2000,7977,7991,7630,7694,D
14/03/2000,7696,7757,7630,7650,D
15/03/2000,7633,7633,7412,7414,D
16/03/2000,7417,7648,7417,7584,U
17/03/2000,7595,7835,7575,7711,U
20/03/2000,7716,7888,7716,7872,U
21/03/2000,7865,7865,7736,7808,D
22/03/2000,7828,7950,7787,7799,D
23/03/2000,7804,7873,7677,7695,D
24/03/2000,7707,7932,7707,7932,U
27/03/2000,7933,7940,7832,7892,D
28/03/2000,7891,8031,7880,7932,U
29/03/2000,7931,7964,7859,7865,D
30/03/2000,7835,7850,7611,7645,D
31/03/2000,7650,7704,7523,7599,D
03/04/2000,7600,7642,7404,7429,D
04/04/2000,7431,7567,7430,7523,U
05/04/2000,7502,7539,7206,7331,D
06/04/2000,7345,7480,7326,7446,U
07/04/2000,7470,7533,7400,7522,U
10/04/2000,7535,7615,7508,7517,D
11/04/2000,7513,7513,7366,7443,D
12/04/2000,7438,7518,7414,7443,U
13/04/2000,7421,7450,7303,7449,U
14/04/2000,7440,7440,7169,7215,D
17/04/2000,7202,7202,6891,7187,D
18/04/2000,7186,7305,7095,7196,U
19/04/2000,7204,7306,7147,7217,U
20/04/2000,7216,7243,7158,7158,D
25/04/2000,7164,7317,7096,7281,U
26/04/2000,7293,7444,7293,7389,U
27/04/2000,7387,7414,7157,7222,D
28/04/2000,7223,7436,7223,7415,U
02/05/2000,7408,7562,7406,7556,U
03/05/2000,7548,7572,7363,7377,D
04/05/2000,7389,7420,7321,7387,D
05/05/2000,7392,7531,7333,7531,U
08/05/2000,7533,7533,7383,7408,D
09/05/2000,7408,7408,7225,7281,D
10/05/2000,7274,7313,7103,7121,D
11/05/2000,7111,7278,7014,7259,U
12/05/2000,7270,7331,7206,7269,D
15/05/2000,7266,7278,7188,7195,D
16/05/2000,7204,7398,7204,7371,U
17/05/2000,7370,7379,7198,7212,D
18/05/2000,7215,7259,7159,7182,D
19/05/2000,7182,7182,6959,6989,D
22/05/2000,6983,7041,6819,6913,D
23/05/2000,6919,7017,6883,6928,U
24/05/2000,6920,6920,6794,6835,D
25/05/2000,6846,6998,6846,6979,U
26/05/2000,6969,6972,6833,6839,D
29/05/2000,6956,7030,6956,7017,U
30/05/2000,7025,7151,7025,7119,U
31/05/2000,7127,7214,7101,7110,D
01/06/2000,7118,7278,7118,7273,U
02/06/2000,7286,7461,7246,7439,U
05/06/2000,7456,7486,7355,7408,D
06/06/2000,7405,7465,7298,7360,D
07/06/2000,7364,7364,7242,7286,D
08/06/2000,7294,7391,7212,7253,D
09/06/2000,7246,7354,7234,7247,U
12/06/2000,7251,7315,7225,7240,D
13/06/2000,7223,7307,7174,7269,U
14/06/2000,7293,7375,7251,7351,U
15/06/2000,7348,7388,7325,7329,D
16/06/2000,7344,7369,7247,7253,D
19/06/2000,7134,7225,7134,7199,U
20/06/2000,7208,7270,7202,7227,U
21/06/2000,7227,7240,7091,7100,D
22/06/2000,7112,7173,7028,7065,D
23/06/2000,7057,7082,6977,6980,D
26/06/2000,6987,7085,6975,7027,U
27/06/2000,7030,7064,6966,7049,U
28/06/2000,7051,7073,7011,7054,U
29/06/2000,7055,7058,6852,6882,D
30/06/2000,6883,6935,6867,6882,D
03/07/2000,6913,6962,6843,6962,U
04/07/2000,6958,6976,6881,6944,D
05/07/2000,6947,7090,6947,6962,U
06/07/2000,6947,6979,6905,6973,U
07/07/2000,6957,7051,6920,7045,U
10/07/2000,7053,7126,7031,7066,U
11/07/2000,7068,7069,6956,7006,D
12/07/2000,7016,7100,7012,7066,U
13/07/2000,7074,7178,7009,7167,U
14/07/2000,7193,7342,7173,7322,U
17/07/2000,7320,7431,7320,7431,U
18/07/2000,7417,7450,7355,7407,D
19/07/2000,7406,7406,7321,7367,D
20/07/2000,7365,7492,7304,7480,U
21/07/2000,7481,7503,7375,7379,D
24/07/2000,7378,7428,7314,7314,D
25/07/2000,7323,7359,7294,7329,U
26/07/2000,7330,7368,7250,7268,D
27/07/2000,7291,7333,7171,7183,D
28/07/2000,7189,7222,7076,7128,D
31/07/2000,7135,7252,7113,7190,U
01/08/2000,7194,7245,7095,7146,D
02/08/2000,7152,7197,7069,7112,D
03/08/2000,7113,7113,6955,7012,D
04/08/2000,7040,7113,7007,7017,D
07/08/2000,7021,7135,7021,7113,U
08/08/2000,7110,7194,7080,7144,U
09/08/2000,7130,7269,7130,7227,U
10/08/2000,7229,7319,7213,7281,U
11/08/2000,7289,7327,7225,7323,U
14/08/2000,7324,7369,7297,7332,U
15/08/2000,7337,7380,7276,7307,D
16/08/2000,7315,7364,7291,7315,D
17/08/2000,7321,7336,7215,7278,D
18/08/2000,7286,7321,7217,7232,D
21/08/2000,7234,7259,7147,7199,D
22/08/2000,7208,7282,7208,7249,U
23/08/2000,7257,7264,7158,7233,D
24/08/2000,7234,7279,7213,7230,D
25/08/2000,7232,7333,7232,7307,U
28/08/2000,7321,7396,7310,7339,U
29/08/2000,7342,7356,7277,7294,D
30/08/2000,7292,7292,7176,7193,D
31/08/2000,7191,7251,7169,7245,U
01/09/2000,7221,7397,7221,7345,U
04/09/2000,7356,7453,7356,7446,U
05/09/2000,7448,7457,7369,7391,D
06/09/2000,7397,7434,7315,7330,D
07/09/2000,7328,7384,7284,7373,U
08/09/2000,7374,7394,7249,7261,D
11/09/2000,7268,7273,7197,7214,D
12/09/2000,7213,7213,7129,7136,D
13/09/2000,7135,7170,6994,7006,D
14/09/2000,7011,7102,7007,7050,U
15/09/2000,7049,7078,6976,7000,D
18/09/2000,6960,6977,6873,6892,D
19/09/2000,6866,6932,6839,6915,U
20/09/2000,6953,6973,6726,6765,D
21/09/2000,6774,6817,6582,6683,D
22/09/2000,6678,6740,6468,6740,U
25/09/2000,6739,6827,6739,6789,U
26/09/2000,6780,6828,6726,6765,D
27/09/2000,6762,6857,6717,6814,U
28/09/2000,6810,6847,6727,6833,U
29/09/2000,6835,6885,6772,6798,D
02/10/2000,6800,6907,6766,6862,U
04/10/2000,6857,6897,6761,6823,D
05/10/2000,6819,6917,6819,6892,U
06/10/2000,6896,6921,6712,6776,D
09/10/2000,6776,6776,6625,6681,D
10/10/2000,6684,6726,6656,6673,D
11/10/2000,6669,6669,6467,6554,D
12/10/2000,6570,6649,6383,6465,D
13/10/2000,6452,6661,6386,6661,U
16/10/2000,6668,6725,6579,6627,D
17/10/2000,6622,6669,6522,6532,D
18/10/2000,6524,6524,6297,6470,D
19/10/2000,6490,6621,6489,6619,U
20/10/2000,6617,6663,6533,6616,D
23/10/2000,6614,6651,6543,6621,U
24/10/2000,6618,6835,6603,6803,U
25/10/2000,6794,6810,6701,6748,D
26/10/2000,6749,6858,6719,6768,U
27/10/2000,6769,6930,6769,6925,U
30/10/2000,6921,6956,6880,6927,U
31/10/2000,6929,7088,6929,7077,U
01/11/2000,7094,7114,7016,7059,D
02/11/2000,7068,7136,7049,7089,U
03/11/2000,7092,7152,7072,7128,U
06/11/2000,7140,7186,7112,7136,D
07/11/2000,7140,7140,7029,7084,D
08/11/2000,7076,7130,7005,7010,D
09/11/2000,7005,7020,6930,6960,D
10/11/2000,6963,7013,6831,6852,D
13/11/2000,6840,6840,6691,6742,D
14/11/2000,6741,6967,6741,6967,U
15/11/2000,6976,6977,6882,6961,D
16/11/2000,6951,6951,6805,6811,D
17/11/2000,6824,6840,6724,6752,D
20/11/2000,6755,6794,6598,6606,D
21/11/2000,6595,6680,6572,6666,U
22/11/2000,6670,6670,6475,6511,D
23/11/2000,6509,6618,6477,6597,U
24/11/2000,6608,6710,6572,6664,U
27/11/2000,6665,6804,6665,6697,U
28/11/2000,6697,6718,6604,6626,D
29/11/2000,6610,6655,6535,6598,D
30/11/2000,6598,6598,6361,6372,D
01/12/2000,6379,6543,6379,6513,U
04/12/2000,6508,6508,6343,6408,D
05/12/2000,6412,6637,6412,6637,U
06/12/2000,6645,6722,6606,6622,D
07/12/2000,6622,6650,6495,6583,D
08/12/2000,6568,6746,6568,6691,U
11/12/2000,6702,6806,6702,6783,U
12/12/2000,6782,6813,6734,6734,D
13/12/2000,6742,6798,6585,6620,D
14/12/2000,6617,6617,6450,6476,D
15/12/2000,6455,6455,6331,6331,D
18/12/2000,6338,6467,6338,6390,U
19/12/2000,6392,6506,6309,6479,U
20/12/2000,6467,6467,6227,6249,D
21/12/2000,6240,6291,6110,6201,D
22/12/2000,6211,6282,6201,6251,U
27/12/2000,6252,6358,6252,6328,U
02/01/2001,6431,6439,6290,6290,D
03/01/2001,6285,6468,6172,6435,U
04/01/2001,6444,6557,6357,6377,D
05/01/2001,6383,6485,6344,6382,D
08/01/2001,6369,6427,6338,6392,U
09/01/2001,6408,6463,6355,6405,D
10/01/2001,6402,6414,6293,6320,D
11/01/2001,6321,6478,6321,6465,U
12/01/2001,6481,6553,6467,6490,U
15/01/2001,6507,6554,6481,6523,U
16/01/2001,6521,6540,6453,6503,D
17/01/2001,6540,6669,6540,6653,U
18/01/2001,6643,6661,6588,6636,D
19/01/2001,6644,6737,6633,6652,U
22/01/2001,6652,6689,6594,6675,U
23/01/2001,6678,6722,6602,6722,U
24/01/2001,6723,6759,6691,6707,D
25/01/2001,6701,6775,6678,6727,U
26/01/2001,6713,6713,6650,6695,D
29/01/2001,6699,6751,6660,6751,U
30/01/2001,6746,6793,6706,6739,D
31/01/2001,6746,6795,6721,6795,U
01/02/2001,6789,6789,6705,6705,D
02/02/2001,6710,6751,6624,6638,D
05/02/2001,6634,6636,6592,6628,D
06/02/2001,6632,6693,6620,6693,U
07/02/2001,6691,6691,6579,6579,D
08/02/2001,6585,6663,6580,6637,U
09/02/2001,6637,6637,6497,6497,D
12/02/2001,6499,6572,6499,6565,U
13/02/2001,6568,6603,6545,6558,D
14/02/2001,6556,6556,6444,6480,D
15/02/2001,6480,6592,6480,6592,U
16/02/2001,6587,6587,6439,6439,D
19/02/2001,6441,6494,6441,6472,U
20/02/2001,6471,6530,6426,6452,D
21/02/2001,6454,6454,6312,6348,D
22/02/2001,6347,6364,6217,6278,D
23/02/2001,6279,6312,6071,6075,D
26/02/2001,6080,6209,6080,6189,U
27/02/2001,6192,6255,6163,6220,U
28/02/2001,6222,6285,6170,6208,D
01/03/2001,6213,6213,6095,6123,D
02/03/2001,6124,6184,6052,6159,U
05/03/2001,6172,6219,6134,6216,U
06/03/2001,6218,6310,6218,6284,U
07/03/2001,6274,6343,6250,6306,U
08/03/2001,6309,6340,6246,6267,D
09/03/2001,6264,6264,6193,6204,D
12/03/2001,6202,6202,6043,6047,D
13/03/2001,6039,6039,5935,5963,D
14/03/2001,5970,6026,5664,5794,D
15/03/2001,5820,5890,5767,5890,U
16/03/2001,5882,5907,5729,5734,D
19/03/2001,5733,5806,5650,5657,D
20/03/2001,5664,5789,5664,5782,U
21/03/2001,5781,5781,5601,5622,D
22/03/2001,5599,5621,5351,5388,D
23/03/2001,5397,5575,5397,5545,U
26/03/2001,5558,5757,5558,5727,U
27/03/2001,5724,5938,5689,5938,U
28/03/2001,5938,5938,5775,5818,D
29/03/2001,5813,5879,5714,5879,U
30/03/2001,5870,5944,5805,5830,D
02/04/2001,5843,5912,5703,5761,D
03/04/2001,5747,5747,5512,5553,D
04/04/2001,5538,5632,5384,5598,U
05/04/2001,5615,5782,5615,5773,U
06/04/2001,5791,5839,5652,5699,D
09/04/2001,5696,5810,5658,5781,U
10/04/2001,5787,5918,5787,5914,U
11/04/2001,5925,6019,5879,5951,U
12/04/2001,5953,6013,5910,6002,U
17/04/2001,6004,6004,5828,5936,D
18/04/2001,5941,6189,5941,6165,U
19/04/2001,6178,6224,6107,6182,U
20/04/2001,6176,6198,6101,6128,D
23/04/2001,6118,6119,6033,6051,D
24/04/2001,6059,6164,6043,6125,U
25/04/2001,6124,6141,6061,6115,D
26/04/2001,6120,6165,6058,6124,U
27/04/2001,6117,6187,6075,6175,U
30/04/2001,6177,6271,6177,6265,U
02/05/2001,6272,6297,6185,6214,D
03/05/2001,6212,6236,6062,6089,D
04/05/2001,6097,6138,6002,6138,U
07/05/2001,6138,6193,6098,6123,D
08/05/2001,6112,6173,6072,6109,D
09/05/2001,6107,6107,6026,6064,D
10/05/2001,6047,6222,6047,6165,U
11/05/2001,6162,6192,6123,6141,D
14/05/2001,6122,6122,6040,6065,D
15/05/2001,6073,6096,6027,6070,D
16/05/2001,6061,6158,5960,6148,U
17/05/2001,6167,6227,6140,6174,U
18/05/2001,6169,6213,6125,6187,U
21/05/2001,6193,6260,6139,6250,U
22/05/2001,6250,6337,6246,6271,U
23/05/2001,6260,6289,6209,6215,D
24/05/2001,6210,6306,6193,6279,U
25/05/2001,6281,6304,6205,6224,D
28/05/2001,6226,6255,6189,6217,D
29/05/2001,6219,6235,6113,6120,D
30/05/2001,6120,6120,6041,6041,D
31/05/2001,6036,6148,5995,6123,U
01/06/2001,6123,6174,6054,6125,U
04/06/2001,6134,6186,6134,6178,U
05/06/2001,6183,6257,6154,6242,U
06/06/2001,6243,6278,6177,6192,D
07/06/2001,6185,6219,6156,6184,D
08/06/2001,6198,6266,6169,6187,D
11/06/2001,6189,6226,6138,6163,D
12/06/2001,6174,6182,6026,6059,D
13/06/2001,6071,6143,6071,6112,U
14/06/2001,6110,6110,6017,6031,D
15/06/2001,6020,6023,5889,5915,D
18/06/2001,5922,5949,5853,5869,D
19/06/2001,5875,5980,5875,5923,U
20/06/2001,5908,5908,5813,5876,D
21/06/2001,5882,5928,5834,5926,U
22/06/2001,5922,5953,5876,5942,U
25/06/2001,5929,5948,5866,5902,D
26/06/2001,5898,5898,5767,5848,D
27/06/2001,5848,5852,5815,5833,D
28/06/2001,5836,5972,5759,5972,U
