"","Date","Open","High","Low","Close","a"
"1","03/01/2000",6962,7159,6721,6751,0
"301","09/03/2001",6264,6264,6193,6204,6302.17878710352
"302","12/03/2001",6202,6202,6043,6047,6269.82871086322
"303","13/03/2001",6039,6039,5935,5963,6208.6330760118
"304","14/03/2001",5970,6026,5664,5794,6059.02184306416
"305","15/03/2001",5820,5890,5767,5890,5966.26877447246
"306","16/03/2001",5882,5907,5729,5734,5806.32578853773
"307","19/03/2001",5733,5806,5650,5657,5880.04618927736
"308","20/03/2001",5664,5789,5664,5782,5740.03672734556
"309","21/03/2001",5781,5781,5601,5622,5660.0032365609
"310","22/03/2001",5599,5621,5351,5388,5766.99732425031
"311","23/03/2001",5397,5575,5397,5545,5627.68624149319
"312","26/03/2001",5558,5757,5558,5727,5400.33932481449
"313","27/03/2001",5724,5938,5689,5938,5532.9489062267
"314","28/03/2001",5938,5938,5775,5818,5710.25787060837
"315","29/03/2001",5813,5879,5714,5879,5921.08849238698
"316","30/03/2001",5870,5944,5805,5830,5826.29182227187
"317","02/04/2001",5843,5912,5703,5761,5874.9823576203
"318","03/04/2001",5747,5747,5512,5553,5833.2324935994
"319","04/04/2001",5538,5632,5384,5598,5760.79724901903
"320","05/04/2001",5615,5782,5615,5773,5572.26706376059
"321","06/04/2001",5791,5839,5652,5699,5595.74863373248
"322","09/04/2001",5696,5810,5658,5781,5759.08094824002
"323","10/04/2001",5787,5918,5787,5914,5703.86704634761
"324","11/04/2001",5925,6019,5879,5951,5769.8505419667
"325","12/04/2001",5953,6013,5910,6002,5904.54299558959
"326","17/04/2001",6004,6004,5828,5936,5947.31297456594
"327","18/04/2001",5941,6189,5941,6165,5993.0264202228
"328","19/04/2001",6178,6224,6107,6182,5935.18417795785
"329","20/04/2001",6176,6198,6101,6128,6143.15984901221
"330","23/04/2001",6118,6119,6033,6051,6174.17289419336
"331","24/04/2001",6059,6164,6043,6125,6126.81091057428
"332","25/04/2001",6124,6141,6061,6115,6056.17773147226
"333","26/04/2001",6120,6165,6058,6124,6119.21126486309
"334","27/04/2001",6117,6187,6075,6175,6110.3081834305
"335","30/04/2001",6177,6271,6177,6265,6118.76910748123
"336","02/05/2001",6272,6297,6185,6214,6166.85576045987
"337","03/05/2001",6212,6236,6062,6089,6253.92830862873
"338","04/05/2001",6097,6138,6002,6138,6211.33440334967
"339","07/05/2001",6138,6193,6098,6123,6091.58936241248
"340","08/05/2001",6112,6173,6072,6109,6130.08344334997
"341","09/05/2001",6107,6107,6026,6064,6118.20211155428
"342","10/05/2001",6047,6222,6047,6165,6109.96018794715
"343","11/05/2001",6162,6192,6123,6141,6063.71804733269
"344","14/05/2001",6122,6122,6040,6065,6151.88518410741
"345","15/05/2001",6073,6096,6027,6070,6135.77976108162
"346","16/05/2001",6061,6158,5960,6148,6064.11071518032
"347","17/05/2001",6167,6227,6140,6174,6062.73983440956
"348","18/05/2001",6169,6213,6125,6187,6136.36259743252
"349","21/05/2001",6193,6260,6139,6250,6165.35864127682
"350","22/05/2001",6250,6337,6246,6271,6179.96733848122
"351","23/05/2001",6260,6289,6209,6215,6240.03934452793
"352","24/05/2001",6210,6306,6193,6279,6264.21645900695
"353","25/05/2001",6281,6304,6205,6224,6214.53516899194
"354","28/05/2001",6226,6255,6189,6217,6269.26994031427
"355","29/05/2001",6219,6235,6113,6120,6222.25950025646
"356","30/05/2001",6120,6120,6041,6041,6211.26825327427
