Time,O,H,L,C
931,12348.91,12349.55,12341.86,12347.3
932,12348.42,12350.75,12346.02,12349.95
933,12349.87,12355.07,12349.87,12354.11
934,12353.87,12354.59,12350.99,12353.79
935,12353.63,12354.67,12350.43,12351.71
936,12351.23,12352.11,12349.31,12351.95
937,12351.63,12351.87,12348.1,12348.66
938,12348.83,12353.71,12346.66,12353.71
939,12354.03,12354.75,12351.15,12352.35
940,12352.51,12356.68,12351.95,12355.96
941,12356.12,12357.32,12352.83,12356.76
942,12357.24,12366.05,12357.16,12365.73
943,12365.89,12380.23,12360.92,12377.35
944,12377.02,12378.71,12365.81,12367.01
945,12366.77,12375.9,12366.77,12375.58
946,12376.86,12402.42,12376.86,12402.42
947,12402.74,12408.67,12402.74,12403.7
948,12402.82,12404.18,12400.66,12400.66
949,12400.9,12405.62,12400.9,12405.06
950,12405.38,12405.7,12397.05,12397.77
951,12398.74,12400.58,12397.29,12400.18
952,12400.1,12402.1,12398.74,12400.26
953,12400.82,12404.42,12400.02,12404.26
954,12403.7,12405.46,12401.62,12402.26
955,12402.58,12402.66,12395.69,12396.81
956,12396.49,12396.65,12388.4,12393.13
957,12394.09,12396.65,12390.88,12394.01
958,12394.09,12394.49,12391.52,12392.97
959,12393.77,12398.98,12393.69,12398.65
1000,12399.14,12400.82,12396.97,12399.86
1001,12399.62,12411.55,12399.3,12411.39
1002,12412.35,12413.32,12407.63,12413.32
1003,12415.8,12416.52,12411.71,12411.71
1004,12411.23,12412.51,12403.38,12403.78
1005,12404.18,12408.99,12404.02,12408.99
1006,12407.31,12407.31,12390,12395.85
1007,12395.93,12397.45,12388.96,12390.72
1008,12390.32,12396.57,12389.84,12396.57
1009,12396.73,12398.01,12394.49,12396.17
1010,12396.33,12396.33,12391.04,12393.21
1011,12393.45,12397.45,12392.25,12396.73
1012,12396.81,12397.13,12390.32,12390.64
1013,12391.04,12391.93,12386.32,12391.77
1014,12391.93,12394.65,12389.04,12394.65
1015,12394.89,12399.46,12393.93,12393.93
1016,12394.17,12397.05,12392.89,12393.53
1017,12393.93,12394.65,12389.76,12389.92
1018,12389.76,12393.77,12389.68,12391.44
1019,12390.8,12392.97,12389.6,12390
1020,12389.52,12389.52,12384.88,12386
1021,12384.39,12384.39,12381.43,12381.91
1022,12381.99,12382.15,12378.71,12379.11
1023,12378.95,12382.63,12378.39,12380.87
1024,12380.39,12380.39,12378.23,12380.15
1025,12380.71,12381.75,12379.91,12379.91
1026,12379.99,12384.39,12379.83,12384.39
1027,12384.23,12387.12,12384.23,12387.04
1028,12386.96,12386.96,12383.91,12383.99
1029,12383.75,12384.64,12379.03,12381.35
1030,12381.03,12383.75,12380.71,12383.75
1031,12383.91,12383.91,12379.83,12379.99
1032,12380.15,12380.15,12368.69,12371.26
1033,12371.42,12376.86,12371.42,12376.86
1034,12376.54,12377.59,12376.54,12376.78
1035,12376.86,12380.23,12376.78,12380.23
1036,12380.55,12381.27,12380.15,12381.19
1037,12381.35,12386.16,12380.87,12385.68
1038,12386.08,12390.88,12386.08,12386.64
1039,12387.12,12387.52,12383.19,12383.35
1040,12383.51,12385.12,12381.43,12381.43
1041,12381.19,12382.07,12376.62,12376.62
1042,12377.02,12379.91,12377.02,12378.39
1043,12378.23,12380.55,12377.51,12380.55
1044,12380.63,12383.99,12380.07,12382.39
1045,12382.63,12383.75,12377.99,12377.99
1046,12375.34,12376.14,12373.82,12375.9
1047,12376.7,12378.07,12372.3,12372.3
1048,12374.22,12374.62,12370.46,12374.62
1049,12374.78,12375.58,12373.34,12373.58
1050,12373.98,12378.55,12373.98,12377.02
1051,12376.86,12377.18,12374.54,12375.26
1052,12375.34,12376.7,12375.02,12375.9
1053,12375.66,12375.9,12373.18,12375.66
1054,12375.58,12377.99,12375.58,12377.27
1055,12377.35,12378.63,12376.14,12377.02
1056,12376.78,12378.39,12375.1,12375.1
1057,12375.02,12376.54,12371.26,12375.98
1058,12376.14,12376.38,12375.5,12376.3
1059,12373.82,12383.99,12372.46,12383.91
1100,12383.11,12383.35,12381.59,12382.47
1101,12382.39,12382.71,12379.27,12382.71
1102,12382.79,12383.51,12380.47,12383.51
1103,12383.35,12386.8,12383.27,12385.12
1104,12384.8,12385.52,12383.59,12385.36
1105,12385.12,12388.32,12382.39,12382.39
1106,12382.31,12384.48,12382.23,12384.31
1107,12384.23,12385.6,12383.83,12385.04
1108,12384.72,12388.88,12384.31,12388.8
1109,12388.96,12389.6,12386.72,12386.8
1110,12386.72,12387.28,12384.72,12384.88
1111,12384.96,12386.08,12384.96,12385.2
