"Date","Open","High","Low","Close","a","b"
"31/07/2001",5022.55,5095.38,4995.89,5085.51,5085.50481539533,"ETS(A,N,N)"
"01/08/2001",5073.75,5125.31,5068.89,5111.58,5111.57739203443,"ETS(A,N,N)"
"02/08/2001",5121.95,5204.2,5083.34,5088.7,5088.70228859758,"ETS(A,N,N)"
"03/08/2001",5078.16,5093.27,5019.11,5031.29,5031.29576274471,"ETS(A,N,N)"
"06/08/2001",5017.63,5096.85,5009.45,5066.25,5066.2465039357,"ETS(A,N,N)"
"07/08/2001",5039.04,5062.86,4974.35,5051.62,5051.62146697282,"ETS(A,N,N)"
"08/08/2001",5034.9,5038.53,4964.7,4986.23,4986.23655791885,"ETS(A,N,N)"
"09/08/2001",4927.95,4934.26,4872.42,4888.3,4888.30982050265,"ETS(A,N,N)"
"10/08/2001",4913.84,4962.16,4822.29,4846.02,4846.02423734024,"ETS(A,N,N)"
"13/08/2001",4903.73,4925.56,4829.82,4920.35,4920.34252664401,"ETS(A,N,N)"
"14/08/2001",4946.07,5003.21,4942.1,4962.64,4962.63576299064,"ETS(A,N,N)"
"15/08/2001",4948.86,4974.02,4924.02,4933.97,4933.97287204882,"ETS(A,N,N)"
"16/08/2001",4915.14,4916.49,4849.38,4882.62,4882.62514291034,"ETS(A,N,N)"
"17/08/2001",4905.7,4927.44,4753.12,4777.37,4777.38053677839,"ETS(A,N,N)"
"20/08/2001",4770.5,4817.98,4724.55,4791.43,4791.42859502648,"ETS(A,N,N)"
"21/08/2001",4806.9,4836,4776.82,4834.87,4834.86564756294,"ETS(A,N,N)"
"22/08/2001",4788.91,4891.03,4768.89,4812.14,4812.14227728576,"ETS(A,N,N)"
"23/08/2001",4835.46,4842.38,4775.33,4809.5,4809.50026437357,"ETS(A,N,N)"
"24/08/2001",4830.74,4919.91,4822.17,4916.56,4916.54928919146,"ETS(A,N,N)"
"27/08/2001",4917.14,4963.86,4899.09,4905.79,4905.79107664762,"ETS(A,N,N)"
"28/08/2001",4891.56,4940.93,4793,4815.72,4815.72901292627,"ETS(A,N,N)"
"29/08/2001",4792.24,4869.94,4765.71,4834.89,4834.88808125036,"ETS(A,N,N)"
"30/08/2001",4827.18,4863.26,4697.67,4703.87,4703.8831075447,"ETS(A,N,N)"
"31/08/2001",4687.93,4722.54,4668.19,4689.34,4689.34145610994,"ETS(A,N,N)"
"03/09/2001",4712.09,4712.09,4585.39,4629.8,4629.80595775954,"ETS(A,N,N)"
"04/09/2001",4696.94,4708.04,4576.42,4673.98,4673.97557514583,"ETS(A,N,N)"
"05/09/2001",4627.17,4643.75,4563.69,4571.56,4571.57027211322,"ETS(A,N,N)"
"06/09/2001",4616.6,4616.6,4470.73,4480.75,4480.75908412444,"ETS(A,N,N)"
"07/09/2001",4485.07,4507.7,4396.55,4413.51,4413.51673975552,"ETS(A,N,N)"
"10/09/2001",4372.13,4427.16,4251.54,4383.74,4383.74298568262,"ETS(A,N,N)"
"11/09/2001",4059.75,4059.75,4059.75,4059.75,3989.60982305779,"ETS(A,A,N)"
"12/09/2001",3861.67,4182.91,3858.37,4114.26,4114.25453598009,"ETS(A,N,N)"
"13/09/2001",4089.83,4143.95,4041.39,4113.87,4113.87003846875,"ETS(A,N,N)"
"14/09/2001",4124.13,4174.92,3906.74,3909.49,3864.17929613453,"ETS(A,A,N)"
"17/09/2001",3861.08,4024.95,3783.62,4015.46,3956.48881806325,"ETS(A,A,N)"
"18/09/2001",3980.65,3980.65,3891.32,3970.18,3933.15621937098,"ETS(A,A,N)"
"19/09/2001",3955.41,4014.86,3873.81,3888.93,3843.38157788682,"ETS(A,A,N)"
"20/09/2001",3878.57,3913.64,3714.05,3738.18,3707.64525125817,"ETS(A,A,N)"
"21/09/2001",3674.37,3733.12,3463.07,3652.87,3599.38371792959,"ETS(A,A,N)"
"24/09/2001",3713.76,3861.19,3713.76,3861.19,3758.03114387827,"ETS(A,A,N)"
"25/09/2001",3795.85,3947.83,3769.09,3902.85,3902.68727733641,"ETS(A,N,N)"
"26/09/2001",3882.26,4012.94,3836.42,3975.53,3975.51326204239,"ETS(A,N,N)"
"27/09/2001",3946.71,4013.23,3928.12,4013.23,4012.97731048832,"ETS(A,N,N)"
"28/09/2001",4065.22,4117.84,4040.89,4079.02,4079.01288692129,"ETS(A,N,N)"
"01/10/2001",4097.22,4097.64,3979.05,4004.57,4005.32958456998,"ETS(A,N,N)"
"02/10/2001",4018.46,4044.66,3914.39,4044.66,4044.06350852876,"ETS(A,N,N)"
"03/10/2001",4034.82,4034.82,3930.04,4024.25,4024.59311638771,"ETS(A,N,N)"
"04/10/2001",4110.52,4195.8,4094.02,4195.8,4191.57952183121,"ETS(A,N,N)"
"05/10/2001",4137.16,4232.66,4116.15,4164.76,4165.56978937607,"ETS(A,N,N)"
"08/10/2001",4102.93,4172.21,4031.09,4172.21,4171.98261760348,"ETS(A,N,N)"
"09/10/2001",4149.33,4217.23,4123.54,4176.97,4176.80889130509,"ETS(A,N,N)"
"10/10/2001",4145.48,4319.38,4131.57,4319.38,4315.65291330154,"ETS(A,N,N)"
"11/10/2001",4328.35,4407.67,4312.48,4330.68,4330.28957327673,"ETS(A,N,N)"
"12/10/2001",4372.42,4381.49,4283.5,4336.88,4336.69351766475,"ETS(A,N,N)"
"15/10/2001",4295.21,4300.72,4196.73,4213.91,4216.91185351692,"ETS(A,N,N)"
"16/10/2001",4220.47,4308.49,4193.01,4308.49,4304.8103741471,"ETS(A,N,N)"
"17/10/2001",4379.81,4458.04,4362.99,4411.51,4406.81907378902,"ETS(A,N,N)"
"18/10/2001",4308.24,4359.41,4291.39,4338.09,4343.46178517516,"ETS(A,N,N)"
"19/10/2001",4310.8,4347.89,4228.23,4264.89,4271.93395753952,"ETS(A,N,N)"
"22/10/2001",4281.78,4345.45,4243.12,4341.29,4329.62580803084,"ETS(A,N,N)"
"23/10/2001",4385.35,4455.76,4377.41,4455.76,4444.31760614645,"ETS(A,N,N)"
"24/10/2001",4420.8,4535.9,4394.13,4486.35,4484.18745974507,"ETS(A,N,N)"
"25/10/2001",4491.68,4546.42,4363.36,4378.45,4389.58937870961,"ETS(A,N,N)"
"26/10/2001",4443.88,4482.76,4419.4,4478.63,4475.443274471,"ETS(A,N,N)"
"29/10/2001",4465.67,4465.67,4382.57,4383.24,4387.89678402521,"ETS(A,N,N)"
"30/10/2001",4315.19,4326.52,4235.69,4251.93,4252.37638972105,"ETS(A,N,N)"
"31/10/2001",4238.02,4391.01,4201.81,4341.29,4451.31075971056,"ETS(A,Ad,N)"
"01/11/2001",4325.19,4366.94,4276.61,4366.94,4419.43194511532,"ETS(M,Md,N)"
"02/11/2001",4387.81,4418.83,4338.82,4369.4,4412.11952557917,"ETS(M,Md,N)"
"05/11/2001",4392.05,4488.94,4389.77,4485.34,4432.47483196884,"ETS(M,Md,N)"
"06/11/2001",4500.74,4532.26,4438.18,4461.69,4440.6732016093,"ETS(M,Md,N)"
"07/11/2001",4491.75,4518.01,4410.63,4493.27,4453.00033112892,"ETS(M,Md,N)"
"08/11/2001",4494.94,4589.08,4482.49,4573.04,4480.64825806624,"ETS(M,Md,N)"
"09/11/2001",4517.3,4566.13,4508.43,4514.28,4477.2328932959,"ETS(M,Md,N)"
"12/11/2001",4512.43,4517.48,4329.74,4376.58,4456.54272475121,"ETS(M,Md,N)"
"13/11/2001",4437.93,4570.7,4437.93,4565.68,4486.77961840932,"ETS(M,Ad,N)"
"14/11/2001",4573.23,4643.51,4540.75,4575.09,4488.40441414523,"ETS(M,Ad,N)"
"15/11/2001",4607.31,4643.15,4530.83,4577.28,4579.42392808925,"ETS(M,A,N)"
"16/11/2001",4591.51,4604.76,4544.69,4587.3,4594.06866601037,"ETS(M,A,N)"
"19/11/2001",4620.76,4686.2,4600.72,4660.49,4591.16426916894,"ETS(A,A,N)"
"20/11/2001",4686.62,4686.62,4574.31,4593.52,4586.49645091756,"ETS(A,A,N)"
"21/11/2001",4548.92,4616.31,4543.67,4557.03,4579.33823102599,"ETS(M,A,N)"
"22/11/2001",4576.13,4615.78,4563.8,4599.8,4597.71012158031,"ETS(M,A,N)"
"23/11/2001",4617.06,4634.35,4536.4,4573.82,4617.62879439133,"ETS(A,A,N)"
"26/11/2001",4620.71,4639.84,4561.03,4564.38,4643.67578950117,"ETS(A,A,N)"
"27/11/2001",4589.35,4595.85,4474.55,4485.82,4527.86766162258,"ETS(A,N,N)"
"28/11/2001",4468.54,4512.31,4433.01,4445.5,4473.46293773719,"ETS(A,N,N)"
"29/11/2001",4407.33,4481.13,4392.67,4445.87,4453.9141405175,"ETS(A,N,N)"
"30/11/2001",4472.94,4513.35,4453.05,4476.06,4468.62915924965,"ETS(A,N,N)"
"03/12/2001",4439.55,4463.96,4401.36,4463.84,4465.82995677428,"ETS(A,N,N)"
"04/12/2001",4473.11,4529.24,4464.09,4529.24,4505.16027360493,"ETS(A,N,N)"
"05/12/2001",4580.29,4686.66,4571.93,4677.55,4627.19326005973,"ETS(A,N,N)"
"06/12/2001",4695.86,4735.21,4641.23,4679.38,4671.66090220247,"ETS(A,N,N)"
"07/12/2001",4664.37,4680.43,4631.05,4642.94,4647.17099946936,"ETS(A,N,N)"
"10/12/2001",4614.93,4619.26,4548.67,4556.29,4577.07622985238,"ETS(A,N,N)"
"11/12/2001",4535,4580.17,4510.32,4551.94,4552.94994357182,"ETS(A,N,N)"
"12/12/2001",4568.15,4588.09,4505.86,4510.68,4515.14128150576,"ETS(A,N,N)"
"13/12/2001",4505.74,4528.59,4396.71,4410.66,4417.06966912648,"ETS(A,N,N)"
"14/12/2001",4378.98,4411.02,4340.02,4340.02,4340.02728731662,"ETS(A,N,N)"
"17/12/2001",4366,4495.06,4328.77,4485.17,4471.5023804766,"ETS(A,N,N)"
"18/12/2001",4470.55,4515.73,4452.39,4480.1,4479.69915809894,"ETS(A,N,N)"
"19/12/2001",4466.05,4500.18,4424.76,4467.92,4469.12882861712,"ETS(A,N,N)"
"20/12/2001",4437.14,4477,4414.83,4426.72,4428.19735638942,"ETS(A,N,N)"
"21/12/2001",4391.55,4511.23,4376.73,4499.34,4489.8960223834,"ETS(A,N,N)"
"24/12/2001",4487.17,4509.78,4470.5,4502.1,4502.09972241602,"ETS(A,N,N)"
"27/12/2001",4524.06,4593.52,4504.98,4591.16,4591.15105471193,"ETS(A,N,N)"
"28/12/2001",4603.81,4630.19,4582.29,4624.58,4624.57662915387,"ETS(A,N,N)"
"02/01/2002",4617.95,4640.85,4567.92,4580.44,4580.44442116691,"ETS(A,N,N)"
"03/01/2002",4626.76,4692.24,4609.28,4681.2,4681.18989404392,"ETS(A,N,N)"
"04/01/2002",4702.7,4720.04,4663.4,4682.79,4682.7898398086,"ETS(A,N,N)"
"07/01/2002",4673.45,4706.58,4611.13,4615.54,4615.54677173806,"ETS(A,N,N)"
"08/01/2002",4594.26,4631.92,4560.34,4568.09,4568.09483950679,"ETS(A,N,N)"
"09/01/2002",4578.68,4592.69,4525.53,4587.01,4587.00810378203,"ETS(A,N,N)"
"10/01/2002",4551.87,4573.03,4503.61,4515.52,4515.52715629285,"ETS(A,N,N)"
"11/01/2002",4532.74,4583.81,4516.28,4554.69,4554.68608224118,"ETS(A,N,N)"
"14/01/2002",4526.42,4530.67,4448.47,4453.97,4453.98037799946,"ETS(A,N,N)"
"15/01/2002",4437.79,4519.24,4419.14,4518.42,4516.12633788555,"ETS(A,N,N)"
"16/01/2002",4482.01,4484.01,4421.88,4425.5,4432.1142755935,"ETS(A,N,N)"
"17/01/2002",4431.72,4489.26,4431.72,4475.64,4471.46980492829,"ETS(A,N,N)"
"18/01/2002",4440.59,4466.67,4429.51,4448.85,4451.18123600982,"ETS(A,N,N)"
"21/01/2002",4438.39,4440.3,4386.39,4423.8,4429.47357215838,"ETS(A,N,N)"
"22/01/2002",4424.59,4493.18,4407.85,4446.72,4443.55611956799,"ETS(A,N,N)"
"23/01/2002",4409.21,4452.6,4402.49,4450.81,4449.49649289986,"ETS(A,N,N)"
"24/01/2002",4483.07,4527.28,4470.69,4508.07,4495.47301168963,"ETS(A,N,N)"
"25/01/2002",4511.6,4511.6,4446.15,4484.31,4486.56222103934,"ETS(A,N,N)"
"28/01/2002",4498.77,4557.61,4496.52,4533.13,4520.87738626197,"ETS(A,N,N)"
"29/01/2002",4540.26,4563.38,4476.1,4476.1,4490.08325858389,"ETS(A,N,N)"
"30/01/2002",4426.24,4442.82,4385.57,4407.27,4432.92757807164,"ETS(A,N,N)"
"31/01/2002",4463.64,4482.99,4437.79,4461.87,4452.83002784487,"ETS(A,N,N)"
"01/02/2002",4483.9,4499.68,4446.81,4455.56,4454.77886267669,"ETS(M,N,N)"
"04/02/2002",4459.52,4459.52,4384.63,4397.54,4414.38804403557,"ETS(M,N,N)"
"05/02/2002",4345.61,4369.83,4276.86,4307.75,4333.27037698584,"ETS(M,N,N)"
"06/02/2002",4307.22,4331.87,4250.03,4273.81,4282.76079694337,"ETS(M,N,N)"
"07/02/2002",4253.68,4309.65,4228.38,4295.65,4293.47890029069,"ETS(M,N,N)"
"08/02/2002",4272.94,4319.97,4262.36,4299.04,4297.81691798235,"ETS(M,N,N)"
"11/02/2002",4341.19,4367.52,4329.57,4353.21,4339.40159369833,"ETS(M,N,N)"
"12/02/2002",4375.12,4399.23,4319.57,4337.95,4338.2893618223,"ETS(M,N,N)"
"13/02/2002",4339.8,4375.62,4306.74,4364.45,4358.48636059077,"ETS(M,N,N)"
"14/02/2002",4388.08,4434.93,4364.25,4429.31,4416.70245079958,"ETS(M,N,N)"
"15/02/2002",4398.22,4425.92,4376.26,4377,4385.06486445517,"ETS(M,N,N)"
"18/02/2002",4351.78,4376.76,4346.51,4347.05,4356.57020979396,"ETS(M,N,N)"
"19/02/2002",4323.81,4323.81,4255.87,4256.36,4276.66612726652,"ETS(M,N,N)"
"20/02/2002",4248.76,4279.08,4210.3,4238.99,4244.29429566892,"ETS(M,N,N)"
"21/02/2002",4298.45,4316.7,4264.63,4287.22,4279.67450611033,"ETS(M,N,N)"
"22/02/2002",4251.83,4264.54,4224.46,4245.2,4251.19276000041,"ETS(M,N,N)"
"25/02/2002",4270.55,4305.44,4240.26,4305.44,4297.1176866953,"ETS(M,N,N)"
"26/02/2002",4340.45,4385.93,4330.58,4340.86,4338.86170485936,"ETS(M,N,N)"
"27/02/2002",4363.64,4424.71,4363.33,4424.71,4424.70155354216,"ETS(A,N,N)"
"28/02/2002",4396.09,4482.26,4383.37,4462.99,4462.9861548845,"ETS(A,N,N)"
"01/03/2002",4442.4,4495.31,4436.94,4486.42,4486.41764577022,"ETS(A,N,N)"
"04/03/2002",4538.71,4626.68,4538.71,4607.44,4607.42783724329,"ETS(M,N,N)"
"05/03/2002",4608.22,4620.76,4566.53,4580.75,4580.75267265354,"ETS(M,N,N)"
"06/03/2002",4564.99,4605.48,4542.56,4588.14,4588.13925550303,"ETS(M,N,N)"
"07/03/2002",4626.92,4671,4606.37,4616.5,4616.49714895141,"ETS(A,N,N)"
"08/03/2002",4590.5,4656.53,4590.5,4629.11,4629.10873330594,"ETS(A,N,N)"
"11/03/2002",4619.77,4642.56,4577.84,4586.75,4586.75425516876,"ETS(A,N,N)"
"12/03/2002",4578.24,4582.4,4517.9,4550.65,4550.65363356182,"ETS(A,N,N)"
"13/03/2002",4551.52,4601.98,4523.77,4523.77,4523.77271198655,"ETS(A,N,N)"
"14/03/2002",4514.92,4567.77,4514.86,4546.84,4546.83769063367,"ETS(A,N,N)"
"15/03/2002",4540.1,4588.33,4514.72,4588.33,4588.32585003101,"ETS(A,N,N)"
