"Date","Open","High","Low","Close","a"
"31/07/2001",5022.55,5095.38,4995.89,5085.51,5040.68193548387
"01/08/2001",5073.75,5125.31,5068.89,5111.58,5037.84870967742
"02/08/2001",5121.95,5204.2,5083.34,5088.7,5035.21032258064
"03/08/2001",5078.16,5093.27,5019.11,5031.29,5031.86580645161
"06/08/2001",5017.63,5096.85,5009.45,5066.25,5028.07806451613
"07/08/2001",5039.04,5062.86,4974.35,5051.62,5022.85741935484
"08/08/2001",5034.9,5038.53,4964.7,4986.23,5019.4864516129
"09/08/2001",4927.95,4934.26,4872.42,4888.3,5014.02129032258
"10/08/2001",4913.84,4962.16,4822.29,4846.02,5004.74580645161
"13/08/2001",4903.73,4925.56,4829.82,4920.35,4994.90774193548
"14/08/2001",4946.07,5003.21,4942.1,4962.64,4984.13774193548
"15/08/2001",4948.86,4974.02,4924.02,4933.97,4975.36967741935
"16/08/2001",4915.14,4916.49,4849.38,4882.62,4965.93387096774
"17/08/2001",4905.7,4927.44,4753.12,4777.37,4954.75774193548
"20/08/2001",4770.5,4817.98,4724.55,4791.43,4948.05032258065
"21/08/2001",4806.9,4836,4776.82,4834.87,4941.84064516129
"22/08/2001",4788.91,4891.03,4768.89,4812.14,4936.63870967742
"23/08/2001",4835.46,4842.38,4775.33,4809.5,4933.24580645161
"24/08/2001",4830.74,4919.91,4822.17,4916.56,4931.79838709677
"27/08/2001",4917.14,4963.86,4899.09,4905.79,4927.94516129032
"28/08/2001",4891.56,4940.93,4793,4815.72,4921.2664516129
"29/08/2001",4792.24,4869.94,4765.71,4834.89,4916.63258064516
"30/08/2001",4827.18,4863.26,4697.67,4703.87,4911.35419354839
"31/08/2001",4687.93,4722.54,4668.19,4689.34,4903.57838709677
"03/09/2001",4712.09,4712.09,4585.39,4629.8,4895.48483870968
"04/09/2001",4696.94,4708.04,4576.42,4673.98,4887.80935483871
"05/09/2001",4627.17,4643.75,4563.69,4571.56,4878.64677419355
"06/09/2001",4616.6,4616.6,4470.73,4480.75,4869.21387096774
"07/09/2001",4485.07,4507.7,4396.55,4413.51,4855.38774193548
"10/09/2001",4372.13,4427.16,4251.54,4383.74,4836.56806451613
"11/09/2001",4059.75,4059.75,4059.75,4059.75,4805.15
"12/09/2001",3861.67,4182.91,3858.37,4114.26,4773.81935483871
"13/09/2001",4089.83,4143.95,4041.39,4113.87,4741.63516129032
"14/09/2001",4124.13,4174.92,3906.74,3909.49,4703.59612903226
"17/09/2001",3861.08,4024.95,3783.62,4015.46,4670.82741935484
"18/09/2001",3980.65,3980.65,3891.32,3970.18,4635.47032258065
"19/09/2001",3955.41,4014.86,3873.81,3888.93,4597.96419354839
"20/09/2001",3878.57,3913.64,3714.05,3738.18,4557.70451612903
"21/09/2001",3674.37,3733.12,3463.07,3652.87,4517.85193548387
"24/09/2001",3713.76,3861.19,3713.76,3861.19,4486.08322580645
"25/09/2001",3795.85,3947.83,3769.09,3902.85,4453.26064516129
"26/09/2001",3882.26,4012.94,3836.42,3975.53,4421.41838709677
"27/09/2001",3946.71,4013.23,3928.12,4013.23,4391.71709677419
"28/09/2001",4065.22,4117.84,4040.89,4079.02,4365.79451612903
"01/10/2001",4097.22,4097.64,3979.05,4004.57,4340.86548387097
"02/10/2001",4018.46,4044.66,3914.39,4044.66,4316.77612903226
"03/10/2001",4034.82,4034.82,3930.04,4024.25,4290.62709677419
"04/10/2001",4110.52,4195.8,4094.02,4195.8,4270.74516129032
"05/10/2001",4137.16,4232.66,4116.15,4164.76,4249.94709677419
"08/10/2001",4102.93,4172.21,4031.09,4172.21,4225.93580645161
"09/10/2001",4149.33,4217.23,4123.54,4176.97,4202.42548387097
"10/10/2001",4145.48,4319.38,4131.57,4319.38,4186.41451612903
"11/10/2001",4328.35,4407.67,4312.48,4330.68,4170.14967741935
"12/10/2001",4372.42,4381.49,4283.5,4336.88,4158.31129032258
"15/10/2001",4295.21,4300.72,4196.73,4213.91,4142.97483870968
"16/10/2001",4220.47,4308.49,4193.01,4308.49,4132.61
"17/10/2001",4379.81,4458.04,4362.99,4411.51,4124.14322580645
"18/10/2001",4308.24,4359.41,4291.39,4338.09,4116.61193548387
"19/10/2001",4310.8,4347.89,4228.23,4264.89,4109.64870967742
"22/10/2001",4281.78,4345.45,4243.12,4341.29,4107.31903225806
"23/10/2001",4385.35,4455.76,4377.41,4455.76,4109.64225806452
"24/10/2001",4420.8,4535.9,4394.13,4486.35,4123.4035483871
"25/10/2001",4491.68,4546.42,4363.36,4378.45,4131.92580645161
"26/10/2001",4443.88,4482.76,4419.4,4478.63,4143.69225806452
"29/10/2001",4465.67,4465.67,4382.57,4383.24,4158.97451612903
"30/10/2001",4315.19,4326.52,4235.69,4251.93,4166.60258064516
"31/10/2001",4238.02,4391.01,4201.81,4341.29,4178.57387096774
"01/11/2001",4325.19,4366.94,4276.61,4366.94,4193.9935483871
"02/11/2001",4387.81,4418.83,4338.82,4369.4,4214.35548387097
"05/11/2001",4392.05,4488.94,4389.77,4485.34,4241.20935483871
"06/11/2001",4500.74,4532.26,4438.18,4461.69,4260.58032258064
"07/11/2001",4491.75,4518.01,4410.63,4493.27,4279.62612903226
"08/11/2001",4494.94,4589.08,4482.49,4573.04,4298.90064516129
"09/11/2001",4517.3,4566.13,4508.43,4514.28,4315.0635483871
"12/11/2001",4512.43,4517.48,4329.74,4376.58,4324.66225806452
"13/11/2001",4437.93,4570.7,4437.93,4565.68,4342.76258064516
"14/11/2001",4573.23,4643.51,4540.75,4575.09,4359.87322580645
"15/11/2001",4607.31,4643.15,4530.83,4577.28,4377.71290322581
"16/11/2001",4591.51,4604.76,4544.69,4587.3,4390.34193548387
"19/11/2001",4620.76,4686.2,4600.72,4660.49,4406.33322580645
"20/11/2001",4686.62,4686.62,4574.31,4593.52,4419.92387096774
"21/11/2001",4548.92,4616.31,4543.67,4557.03,4432.18387096774
"22/11/2001",4576.13,4615.78,4563.8,4599.8,4441.22967741935
"23/11/2001",4617.06,4634.35,4536.4,4573.82,4449.07290322581
"26/11/2001",4620.71,4639.84,4561.03,4564.38,4456.41161290323
"27/11/2001",4589.35,4595.85,4474.55,4485.82,4465.18290322581
"28/11/2001",4468.54,4512.31,4433.01,4445.5,4469.60258064516
"29/11/2001",4407.33,4481.13,4392.67,4445.87,4470.71096774194
"30/11/2001",4472.94,4513.35,4453.05,4476.06,4475.16161290323
"03/12/2001",4439.55,4463.96,4401.36,4463.84,4481.57935483871
"04/12/2001",4473.11,4529.24,4464.09,4529.24,4487.64225806452
"05/12/2001",4580.29,4686.66,4571.93,4677.55,4494.79677419355
"06/12/2001",4695.86,4735.21,4641.23,4679.38,4501.0235483871
"07/12/2001",4664.37,4680.43,4631.05,4642.94,4509.55548387097
"10/12/2001",4614.93,4619.26,4548.67,4556.29,4512.06064516129
"11/12/2001",4535,4580.17,4510.32,4551.94,4517.50258064516
"12/12/2001",4568.15,4588.09,4505.86,4510.68,4525.84935483871
"13/12/2001",4505.74,4528.59,4396.71,4410.66,4528.08709677419
"14/12/2001",4378.98,4411.02,4340.02,4340.02,4527.21870967742
"17/12/2001",4366,4495.06,4328.77,4485.17,4530.95322580645
"18/12/2001",4470.55,4515.73,4452.39,4480.1,4530.78419354839
"19/12/2001",4466.05,4500.18,4424.76,4467.92,4530.98516129032
"20/12/2001",4437.14,4477,4414.83,4426.72,4528.83838709677
"21/12/2001",4391.55,4511.23,4376.73,4499.34,4526.46096774194
"24/12/2001",4487.17,4509.78,4470.5,4502.1,4526.06806451613
"27/12/2001",4524.06,4593.52,4504.98,4591.16,4532.99
"28/12/2001",4603.81,4630.19,4582.29,4624.58,4534.89
"02/01/2002",4617.95,4640.85,4567.92,4580.44,4535.06258064516
"03/01/2002",4626.76,4692.24,4609.28,4681.2,4538.41483870968
"04/01/2002",4702.7,4720.04,4663.4,4682.79,4541.49516129032
