"Date","Open","High","Low","Close","a"
"31/07/2001",5802,5861,5754,5861,5858.93333333333
"01/08/2001",5860,5860,5813,5835,5833.63333333333
"02/08/2001",5846,5930,5764,5777,5772.03333333333
"03/08/2001",5777,5809,5736,5736,5729.13333333333
"06/08/2001",5734,5803,5708,5746,5740.8
"07/08/2001",5747,5783,5689,5753,5749.83333333333
"08/08/2001",5749,5749,5609,5615,5607.73333333333
"09/08/2001",5596,5596,5468,5512,5496.66666666667
"10/08/2001",5523,5570,5387,5433,5412.16666666667
"13/08/2001",5441,5500,5401,5454,5432.13333333333
"14/08/2001",5466,5569,5466,5521,5503.13333333333
"15/08/2001",5521,5531,5429,5455,5436.3
"16/08/2001",5454,5454,5334,5362,5340.76666666667
"17/08/2001",5370,5416,5174,5222,5200.66666666667
"20/08/2001",5220,5266,5125,5208,5185.93333333333
"21/08/2001",5215,5252,5170,5216,5196
"22/08/2001",5204,5323,5142,5220,5200.6
"23/08/2001",5233,5280,5187,5254,5232.8
"24/08/2001",5269,5424,5269,5388,5370
"27/08/2001",5398,5455,5382,5406,5391.06666666667
"28/08/2001",5406,5455,5287,5309,5291.06666666667
"29/08/2001",5291,5347,5240,5305,5290.9
"30/08/2001",5296,5335,5158,5162,5139.73333333333
"31/08/2001",5160,5228,5132,5188,5168.8
"03/09/2001",5196,5205,5063,5094,5070.73333333333
"04/09/2001",5102,5220,5035,5208,5192.83333333333
"05/09/2001",5188,5188,5028,5048,5030.16666666667
"06/09/2001",5059,5110,4849,4875,4848.3
"07/09/2001",4871,4911,4713,4731,4696.86666666667
"10/09/2001",4725,4758,4528,4670,4632.6
"12/09/2001",4260,4404,4160,4370,4320.3
"13/09/2001",4343,4397,4278,4392,4343.9
"14/09/2001",4386,4441,4116,4116,4060.63333333333
"17/09/2001",4121,4301,3984,4244,4194.26666666667
"18/09/2001",4238,4238,4122,4195,4143.3
"19/09/2001",4196,4285,4015,4042,3984.96666666667
"20/09/2001",4045,4110,3778,3810,3749.83333333333
"21/09/2001",3805,3826,3539,3787,3729.5
"24/09/2001",3793,4056,3793,4039,3992.53333333333
"25/09/2001",4035,4136,3949,4009,3960.83333333333
"26/09/2001",4014,4186,4014,4095,4047.46666666667
"27/09/2001",4095,4185,4048,4185,4142.66666666667
"28/09/2001",4197,4318,4197,4308,4272.86666666667
"01/10/2001",4315,4316,4184,4240,4207.26666666667
"02/10/2001",4240,4304,4158,4304,4273.86666666667
"03/10/2001",4304,4442,4181,4437,4411.03333333333
"04/10/2001",4440,4550,4415,4548,4525.6
"05/10/2001",4538,4592,4441,4488,4462.46666666667
"08/10/2001",4469,4505,4331,4495,4465.23333333333
"09/10/2001",4488,4546,4437,4472,4440.86666666667
"10/10/2001",4472,4623,4422,4613,4589.8
"11/10/2001",4628,4742,4617,4718,4698.43333333333
"12/10/2001",4721,4725,4581,4625,4607.1
"15/10/2001",4620,4624,4497,4548,4526.66666666667
"16/10/2001",4542,4637,4511,4626,4610.4
"17/10/2001",4634,4780,4610,4645,4626.23333333333
"18/10/2001",4628,4628,4494,4574,4558.2
"19/10/2001",4581,4591,4446,4514,4501.96666666667
"22/10/2001",4518,4633,4480,4619,4615.26666666667
"23/10/2001",4629,4736,4629,4704,4705.13333333333
"24/10/2001",4689,4841,4652,4812,4826.73333333333
"25/10/2001",4805,4874,4651,4716,4726.8
"26/10/2001",4719,4820,4719,4820,4843.46666666667
"29/10/2001",4813,4813,4660,4660,4673.86666666667
"30/10/2001",4659,4659,4477,4544,4555.63333333333
"31/10/2001",4527,4626,4458,4559,4576.23333333333
"01/11/2001",4557,4637,4482,4636,4663.53333333333
"02/11/2001",4641,4658,4569,4583,4609.53333333333
"05/11/2001",4589,4755,4589,4755,4778.86666666667
"06/11/2001",4768,4820,4708,4708,4731.3
"07/11/2001",4715,4863,4676,4861,4886.53333333333
"08/11/2001",4851,5006,4834,4994,5020.96666666667
"09/11/2001",4991,4991,4886,4910,4930.06666666667
"12/11/2001",4908,4910,4649,4820,4839.33333333333
"13/11/2001",4826,4970,4822,4947,4968.43333333333
"14/11/2001",4951,5047,4940,4954,4971.23333333333
"15/11/2001",4961,5073,4961,5006,5021.26666666667
"16/11/2001",5016,5114,4989,5063,5082.16666666667
