"Date","Open","High","Low","Close","a","b"
"02/08/2001",10513.47,10663.07,10454.53,10551.18,10551.1754811227,"ETS(A,N,N)"
"03/08/2001",10550.01,10592.98,10381.1,10512.78,10512.7838478603,"ETS(A,N,N)"
"06/08/2001",10504.13,10549.59,10337.23,10401.31,10401.7488397047,"ETS(A,N,N)"
"07/08/2001",10399.03,10520.11,10324.5,10458.74,10456.4838667584,"ETS(A,N,N)"
"08/08/2001",10456.18,10509.8,10245.68,10293.5,10305.2536012086,"ETS(A,N,N)"
"09/08/2001",10291.15,10361.52,10160.51,10298.56,10298.8008975815,"ETS(A,N,N)"
"10/08/2001",10296.89,10473.34,10164.67,10416.25,10412.1463658248,"ETS(A,N,N)"
"13/08/2001",10411.9,10504.82,10314.95,10415.91,10415.9020868321,"ETS(A,N,N)"
"14/08/2001",10416.95,10513.68,10333.29,10412.17,10412.1748632102,"ETS(A,N,N)"
"15/08/2001",10407.05,10530.36,10289.01,10345.95,10346.5233970881,"ETS(A,N,N)"
"16/08/2001",10342.1,10460.82,10198.15,10392.52,10387.4268639825,"ETS(A,N,N)"
"17/08/2001",10385.46,10418.68,10143.49,10240.78,10260.5105745958,"ETS(A,N,N)"
"20/08/2001",10239.33,10388.23,10146.05,10320.07,10310.9717003945,"ETS(A,N,N)"
"21/08/2001",10320.07,10436.39,10132.92,10174.14,10190.8893063503,"ETS(A,N,N)"
"22/08/2001",10170.3,10340.76,10099.07,10276.9,10258.3822963723,"ETS(A,N,N)"
"23/08/2001",10276.41,10357.09,10142.66,10229.15,10239.919633439,"ETS(M,N,N)"
"24/08/2001",10232.48,10487.52,10190.34,10423.17,10348.6778574954,"ETS(A,N,N)"
"27/08/2001",10422.76,10498.03,10334.88,10382.35,10373.0141497685,"ETS(A,N,N)"
"28/08/2001",10382.56,10405.88,10175.6,10222.03,10281.1810703011,"ETS(A,N,N)"
"29/08/2001",10224.45,10292.6,10030.43,10090.9,10133.5263313842,"ETS(A,N,N)"
"30/08/2001",10077.07,10149.1,9829.35,9919.58,9934.32042225866,"ETS(A,N,N)"
"31/08/2001",9918.96,10072.22,9846.72,9949.75,9948.79958178804,"ETS(A,N,N)"
"04/09/2001",9946.98,10238.5,9858.34,9997.49,9988.37646504653,"ETS(A,N,N)"
"05/09/2001",9998.12,10140.79,9820.98,10033.27,10029.183115693,"ETS(A,N,N)"
"06/09/2001",10028.35,10053.73,9762.03,9840.84,9869.52870076907,"ETS(A,N,N)"
"07/09/2001",9841.25,9842.08,9507.04,9605.85,9606.45422203583,"ETS(A,N,N)"
"10/09/2001",9603.36,9740.44,9431.07,9605.51,9605.51440220007,"ETS(A,N,N)"
"17/09/2001",9294.55,9294.55,8755.46,8920.7,8920.83571475812,"ETS(A,N,N)"
"18/09/2001",8922.7,9126.89,8743.91,8903.4,8903.40176166431,"ETS(A,N,N)"
"19/09/2001",8903.54,8990.37,8453.01,8759.13,8759.14505094721,"ETS(A,N,N)"
"20/09/2001",8375.72,8711.38,8304.45,8376.21,8198.03132467236,"ETS(A,A,N)"
"21/09/2001",8356.56,8484.22,7926.93,8235.81,8011.79651614104,"ETS(A,A,N)"
"24/09/2001",8242.32,8733.39,8242.32,8603.86,8603.82263764153,"ETS(A,N,N)"
"25/09/2001",8605.59,8778.23,8435.56,8659.97,8659.96437661763,"ETS(A,N,N)"
"26/09/2001",8660.06,8766.81,8457.37,8567.39,8567.39926872977,"ETS(A,N,N)"
"27/09/2001",8567.46,8757.47,8398.14,8681.42,8681.40856647517,"ETS(A,N,N)"
"28/09/2001",8679.07,8945.68,8633.75,8847.56,8847.54338366157,"ETS(A,N,N)"
"01/10/2001",8845.97,8931.7,8659.9,8836.83,8836.83107245352,"ETS(A,N,N)"
"02/10/2001",8836.69,9001.03,8737.61,8950.59,8950.57858797908,"ETS(A,N,N)"
"03/10/2001",8946.02,9193.32,8800.99,9123.78,9123.76267757961,"ETS(A,N,N)"
"04/10/2001",9127.24,9259.61,8982.28,9060.88,9060.8863160645,"ETS(A,N,N)"
"05/10/2001",9058.83,9208.41,8894.47,9119.77,9119.76411034182,"ETS(A,N,N)"
"08/10/2001",9115.75,9187.85,8937.86,9067.94,9067.94519338618,"ETS(A,N,N)"
"09/10/2001",9066.56,9168.42,8927.34,9052.44,9052.44155332163,"ETS(A,N,N)"
"10/10/2001",9052.3,9305.97,8975.15,9240.86,9240.84114969658,"ETS(A,N,N)"
"11/10/2001",9242.63,9522.61,9204.04,9410.45,9410.43303252371,"ETS(A,N,N)"
"12/10/2001",9409.07,9426.3,9146.34,9344.16,9344.16662731949,"ETS(A,N,N)"
"15/10/2001",9340.84,9417.51,9181.07,9347.62,9347.61965461828,"ETS(A,N,N)"
"16/10/2001",9346.31,9479.37,9239.68,9384.23,9384.22633476939,"ETS(A,N,N)"
"17/10/2001",9389.76,9539.22,9199.89,9232.97,9232.98513320011,"ETS(A,N,N)"
"18/10/2001",9230.75,9310.33,9061.02,9163.22,9163.22701888509,"ETS(A,N,N)"
"19/10/2001",9162.81,9278.36,9027.74,9204.11,9204.10589390375,"ETS(M,N,N)"
"22/10/2001",9203.91,9438.75,9101.08,9377.03,9377.01265276265,"ETS(M,N,N)"
"23/10/2001",9379.17,9499.78,9249.02,9340.08,9340.08370247919,"ETS(M,N,N)"
