"Date","Open","High","Low","Close","a"
"01/08/2001",5529.1,5549,5499.5,5546.9,5541.81
"02/08/2001",5546.9,5644.2,5533.8,5584.5,5582.60333333333
"03/08/2001",5584.5,5590.2,5511.1,5547.6,5543.66333333333
"06/08/2001",5547.6,5561.2,5516,5526.4,5521.88333333333
"07/08/2001",5526.4,5546.6,5448.2,5536.8,5536.17
"08/08/2001",5536.8,5536.8,5434.3,5476.5,5472.12
"09/08/2001",5476.5,5476.5,5376.7,5402.9,5395.05
"10/08/2001",5402.9,5469,5398.5,5427.2,5420.02333333333
"13/08/2001",5427.2,5465,5410.9,5431.1,5421.58
"14/08/2001",5431.1,5525.6,5430.6,5507.8,5503.39666666667
"15/08/2001",5507.8,5533.2,5456.6,5461.6,5456.97
"16/08/2001",5461.6,5462.4,5389.8,5389.8,5384.47333333333
"17/08/2001",5389.8,5428.9,5299.6,5342.1,5337.53
"20/08/2001",5342.1,5372.1,5286.7,5357.4,5353.68333333333
"21/08/2001",5357.4,5435.3,5353.2,5430.3,5429.04666666667
"22/08/2001",5430.3,5471.6,5373,5408.7,5409.26
"23/08/2001",5408.7,5433.4,5371,5396.5,5393.66333333333
"24/08/2001",5396.5,5471.9,5385.3,5471.9,5469.73
"28/08/2001",5471.9,5475.5,5395.9,5434.7,5431.95333333333
"29/08/2001",5434.7,5460.2,5384.3,5417.6,5417.26
"30/08/2001",5417.6,5435.7,5332.7,5332.7,5330.30333333333
"31/08/2001",5332.7,5378,5298.3,5345,5341.92
"03/09/2001",5345,5366.9,5278.2,5312.1,5309.6
"04/09/2001",5312.1,5379.6,5291.3,5379.6,5378.74333333333
"05/09/2001",5379.6,5379.6,5306.6,5316,5315.86
"06/09/2001",5316,5333,5189.8,5204.3,5201.92
"07/09/2001",5204.3,5206.8,5068.1,5070.3,5063.10666666667
"10/09/2001",5070.3,5070.3,4895.9,5033.7,5021.38666666667
"12/09/2001",4746,4882.1,4651.8,4882.1,4863.28
"13/09/2001",4882.1,4946.6,4847.5,4943.6,4924.08333333333
"14/09/2001",4943.6,4970.1,4743,4755.7,4729.32666666667
"17/09/2001",4755.7,4898.9,4670.5,4898.9,4876.04666666667
"18/09/2001",4898.9,4899.4,4772.2,4848.7,4825.40333333333
"19/09/2001",4848.7,4874,4697.4,4721.7,4694.87666666667
"20/09/2001",4721.7,4743.8,4523.5,4556.9,4524.23666666667
"21/09/2001",4556.9,4556.9,4219.8,4433.7,4398.94
"24/09/2001",4433.7,4615.5,4433.7,4613.9,4587.6
"25/09/2001",4613.9,4679.6,4515.3,4663.4,4637.94
"26/09/2001",4663.4,4715,4606.6,4696.1,4671.6
"27/09/2001",4696.1,4763.6,4651,4763.6,4738.79333333333
"28/09/2001",4763.6,4920.5,4763.6,4903.4,4884.79333333333
"01/10/2001",4903.4,4903.4,4768.1,4785.6,4765.46
"02/10/2001",4785.6,4833,4730.7,4832.3,4815.30666666667
"03/10/2001",4832.3,4884.6,4758.5,4881.8,4865.94666666667
"04/10/2001",4881.8,5034.3,4881.8,5016.2,5002.39666666667
"05/10/2001",5016.2,5082.9,4962.1,5036,5023.57666666667
"08/10/2001",5036,5051,4902.7,5032.7,5020.57333333333
"09/10/2001",5032.7,5079.2,4997,5009.8,4994.39666666667
"10/10/2001",5009.8,5153.1,4978.2,5153.1,5143.71333333333
"11/10/2001",5153.1,5279.8,5136.9,5164.9,5156.47666666667
"12/10/2001",5164.9,5187.5,5081.2,5145.5,5139.26
"15/10/2001",5145.5,5148.4,5046,5067.3,5058.04333333333
"16/10/2001",5067.3,5158.7,5060.8,5082.6,5074.95
"17/10/2001",5082.6,5229.6,5082.6,5203.4,5197.52666666667
"18/10/2001",5203.4,5203.4,5090.2,5116,5109.33333333333
"19/10/2001",5116,5116,5003.9,5017.7,5011.48
"22/10/2001",5017.7,5078.2,5017.7,5070.4,5070.40333333333
"23/10/2001",5070.4,5193.3,5070.4,5193.3,5198.62
"24/10/2001",5193.3,5265.5,5133,5167.6,5177.11666666667
"25/10/2001",5167.6,5217,5043.2,5086.6,5091.36666666667
"26/10/2001",5086.6,5188.6,5086.6,5188.6,5203.03
"29/10/2001",5188.6,5188.6,5083.3,5085.9,5092.13333333333
"30/10/2001",5085.9,5085.9,4977.3,5003.6,5008.76333333333
"31/10/2001",5003.6,5101.1,4954.9,5039.7,5050.3
"01/11/2001",5039.7,5071.2,4988.3,5071.2,5088.34333333333
"02/11/2001",5071.2,5129.5,5071.2,5129.5,5152.69333333333
"05/11/2001",5129.5,5213.8,5124,5209.1,5228.94
"06/11/2001",5209.1,5272.5,5184.8,5214.1,5232.45666666667
"07/11/2001",5214.1,5246.4,5153.3,5216.3,5233.64
"08/11/2001",5216.3,5294.6,5208.4,5278.1,5295.25
"09/11/2001",5278.1,5278.1,5222.8,5244.2,5255.56
"12/11/2001",5244.2,5251.8,5065.3,5146.2,5158.22
"13/11/2001",5146.2,5284.3,5146.2,5277.1,5291.92666666667
"14/11/2001",5277.1,5366.4,5214.3,5240.7,5252.66333333333
"15/11/2001",5240.7,5297.1,5193.4,5238.2,5245.6
"16/11/2001",5238.2,5313.8,5226.1,5291,5299.5
"19/11/2001",5291,5383.2,5285.6,5338,5348.17666666667
"20/11/2001",5338,5344.3,5283.5,5298.7,5308.33
"21/11/2001",5298.7,5367.6,5272.1,5313.8,5319.15666666667
"22/11/2001",5313.8,5362.6,5313.8,5345.9,5351.93333333333
"23/11/2001",5345.9,5358.5,5220.8,5293.2,5298.12333333333
"26/11/2001",5293.2,5346,5273,5302.5,5310.34
"27/11/2001",5302.5,5332.5,5232.8,5266,5272.11333333333
"28/11/2001",5266,5283.3,5182.2,5205.2,5205.26
"29/11/2001",5205.2,5213.2,5152.1,5208.5,5211.58333333333
"30/11/2001",5208.5,5216.9,5146.5,5203.6,5209.79666666667
"03/12/2001",5203.6,5203.6,5152.3,5164.6,5167.74
"04/12/2001",5164.6,5218.6,5164.6,5212.1,5212.72666666667
"05/12/2001",5212.1,5338.2,5212.1,5333.5,5339.03
"06/12/2001",5333.5,5411.2,5327.3,5369.8,5379.24
"07/12/2001",5369.8,5388.8,5258.7,5264.7,5267.23666666667
"10/12/2001",5264.7,5276.2,5172.2,5185,5188.30333333333
"11/12/2001",5185,5194.4,5143.8,5160.8,5166.04
"12/12/2001",5160.8,5181.7,5106,5120,5122.67666666667
"13/12/2001",5120,5134.1,5035.8,5074.9,5075.02333333333
"14/12/2001",5074.9,5092.3,5032.3,5061,5058.71666666667
"17/12/2001",5061,5151,5038.2,5136.3,5133.87333333333
"18/12/2001",5136.3,5181.9,5124.9,5151.1,5149
"19/12/2001",5151.1,5157.8,5091.4,5120.6,5117.41
"20/12/2001",5120.6,5151,5080.1,5080.2,5073.60333333333
"21/12/2001",5080.2,5182.2,5044.3,5159.2,5156.36666666667
"24/12/2001",5159.2,5177.4,5147.2,5177.4,5178.44
"27/12/2001",5177.4,5213.2,5160.8,5213.2,5211.07
"28/12/2001",5213.2,5243.7,5196,5242.4,5242.45666666667
"31/12/2001",5242.4,5258,5203.6,5217.4,5216.70666666667
"02/01/2002",5217.4,5261.9,5195.2,5218.3,5215.87666666667
"03/01/2002",5218.3,5328.4,5218.3,5318.8,5318.16
"04/01/2002",5318.8,5362.3,5313.9,5323.8,5324.63666666667
"07/01/2002",5323.8,5354.2,5277.7,5293.6,5292.92666666667
"08/01/2002",5293.6,5307.3,5238.7,5250.4,5247.21666666667
"09/01/2002",5250.4,5250.4,5200.7,5228.5,5226.34333333333
"10/01/2002",5228.5,5228.5,5177.6,5190.7,5186.97333333333
"11/01/2002",5190.7,5229.5,5171.7,5198.6,5196.35333333333
"14/01/2002",5198.6,5198.6,5095.6,5113.5,5110.44333333333
"15/01/2002",5113.5,5175.4,5081.9,5166,5164.58333333333
"16/01/2002",5166,5168.1,5106,5127.6,5125.06666666667
"17/01/2002",5127.6,5180.3,5114.8,5138.4,5137.52666666667
"18/01/2002",5138.4,5150.8,5103.2,5126.8,5123.95666666667
"21/01/2002",5126.8,5146.5,5086,5138.5,5132
"22/01/2002",5138.5,5207.2,5124.1,5149.2,5141.84666666667
"23/01/2002",5149.2,5201,5123.4,5180.6,5177.79666666667
"24/01/2002",5180.6,5263.4,5180.6,5233.1,5234.70333333333
"25/01/2002",5233.1,5233.1,5162.6,5193,5194.07333333333
"28/01/2002",5193,5249.9,5193,5223.6,5227.05333333333
"29/01/2002",5223.6,5243.2,5131.4,5131.4,5133.28333333333
"30/01/2002",5131.4,5131.4,5052.8,5089.3,5090.24333333333
"31/01/2002",5089.3,5176.4,5088.7,5164.8,5165.75
"01/02/2002",5164.8,5227.4,5164.8,5189.7,5190.98666666667
"04/02/2002",5189.7,5189.7,5139.7,5167.3,5168.85666666667
"05/02/2002",5167.3,5167.3,5056.8,5093.4,5093.84
"06/02/2002",5093.4,5106.9,5038.3,5073.8,5070.95333333333
"07/02/2002",5073.8,5127,5038.3,5127,5125.32
"08/02/2002",5127,5147.7,5105,5128.1,5125.26333333333
"11/02/2002",5128.1,5173.6,5128.1,5161.8,5159.11333333333
"12/02/2002",5161.8,5216.9,5130.1,5135.7,5132.97666666667
"13/02/2002",5135.7,5164.6,5097.7,5153.9,5151.75333333333
"14/02/2002",5153.9,5238,5151.9,5208.7,5205.03
"15/02/2002",5208.7,5235.4,5174.8,5182.5,5177.79
"18/02/2002",5182.5,5195.7,5152.3,5154.3,5149.65666666667
"19/02/2002",5154.3,5154.3,5089,5092.5,5087.23666666667
"20/02/2002",5092.5,5092.5,5015.5,5024.1,5017.28666666667
"21/02/2002",5024.1,5096.6,5024.1,5073.3,5069.38666666667
"22/02/2002",5073.3,5074.1,5016,5050.8,5045.87333333333
"25/02/2002",5050.8,5105.7,5047.9,5100.7,5100.27333333333
"26/02/2002",5100.8,5157.4,5100.8,5139,5138.1
"27/02/2002",5139,5196.9,5129.6,5178.4,5180.09333333333
"28/02/2002",5178.4,5178.4,5093.7,5101,5099.75333333333
"01/03/2002",5101,5172.3,5101,5169,5170.40666666667
"04/03/2002",5169,5270.7,5169,5242,5245.45
"05/03/2002",5242,5269.4,5208,5214,5216.16
"06/03/2002",5214,5251,5188.5,5245.5,5247.66333333333
"07/03/2002",5245.5,5317.6,5245.5,5282.1,5283.73333333333
"08/03/2002",5282.1,5328.6,5252.7,5285.7,5288.79
"11/03/2002",5285.7,5313.6,5257.3,5258.9,5260.07666666667
"12/03/2002",5258.9,5258.9,5200.6,5252.5,5256.53666666667
"13/03/2002",5252.5,5307.3,5237.6,5272,5278.09
"14/03/2002",5272,5272,5237.2,5261.4,5264.62
"15/03/2002",5261.4,5297.2,5243.5,5292.7,5296.13333333333
"18/03/2002",5292.7,5320.8,5278.7,5299.9,5304.32
"19/03/2002",5299.9,5331.6,5299.9,5316.1,5323.52333333333
"20/03/2002",5316.1,5316.1,5253.5,5266.9,5273.33666666667
"21/03/2002",5266.9,5279.7,5240.1,5253.3,5257.51
"22/03/2002",5253.3,5268.4,5235.3,5250.5,5254.58
"25/03/2002",5250.5,5298.4,5203.6,5203.6,5204.99333333333
"26/03/2002",5203.6,5222.2,5170.5,5195.5,5197.49333333333
"27/03/2002",5195.5,5225.4,5189.4,5214.7,5216.72666666667
"28/03/2002",5214.7,5286.4,5214.7,5271.8,5273.90333333333
"02/04/2002",5271.8,5271.8,5231.5,5251.4,5253.69666666667
"03/04/2002",5251.4,5268.4,5235.4,5247.8,5250.91666666667
"04/04/2002",5247.8,5247.8,5187.7,5209.5,5213.4
"05/04/2002",5209.5,5261.1,5207,5233.6,5240.58333333333
"08/04/2002",5233.6,5238.8,5149.3,5178.6,5182.11
"09/04/2002",5178.6,5213.2,5164.6,5179.6,5183.89333333333
"10/04/2002",5179.6,5236.1,5155.1,5229.1,5233.38
"11/04/2002",5229.1,5243.7,5136.3,5137.4,5137.34666666667
"12/04/2002",5137.4,5179.9,5137.4,5161,5160.42
"15/04/2002",5161,5209,5153.2,5201.4,5204.74666666667
"16/04/2002",5201.4,5259.9,5201.4,5259.9,5262.93
"17/04/2002",5259.9,5292.3,5256.6,5263.9,5264.63
"18/04/2002",5263.9,5291.6,5229.4,5229.4,5229.91333333333
"19/04/2002",5229.4,5248.9,5210.4,5243.6,5243.53666666667
"22/04/2002",5243.6,5243.6,5209.5,5221.5,5219.48
"23/04/2002",5221.5,5241.6,5171.5,5191,5187.84333333333
"24/04/2002",5191,5225.3,5169,5218.2,5216.84333333333
"25/04/2002",5218.2,5218.2,5116,5197.5,5195.66666666667
"26/04/2002",5197.5,5218,5141.9,5159,5155.23333333333
"29/04/2002",5159,5171.4,5123.7,5153.9,5150.31666666667
"30/04/2002",5153.9,5168.8,5131.9,5165.6,5161.36333333333
"01/05/2002",5165.6,5177.7,5125,5125.5,5119.68666666667
"02/05/2002",5125.5,5192.7,5125.5,5174.1,5169.36666666667
"03/05/2002",5174.1,5236,5146.5,5203.1,5200.97333333333
"07/05/2002",5203.1,5203.1,5082.7,5119.9,5115.45333333333
"08/05/2002",5119.9,5209.1,5119.9,5209.1,5207.72
"09/05/2002",5209.1,5216.6,5178.3,5197.6,5197.4
"10/05/2002",5197.6,5204.3,5160.2,5171.2,5170.39
"13/05/2002",5171.2,5208.2,5147.5,5204.8,5204.47
"14/05/2002",5204.8,5260.9,5181.9,5239.5,5238.42333333333
"15/05/2002",5239.5,5272.2,5236.7,5259.1,5259.35666666667
"16/05/2002",5259.1,5278.9,5241.9,5248.5,5248.52333333333
"17/05/2002",5248.5,5282.2,5211.9,5218,5218.28333333333
"20/05/2002",5218,5246.5,5200.3,5208.1,5207.25
"21/05/2002",5208.1,5242.4,5187.6,5197.2,5197.82
"22/05/2002",5197.2,5200.5,5137,5151.9,5150.97666666667
"23/05/2002",5151.9,5195.9,5129.4,5175.3,5173.50666666667
"24/05/2002",5175.3,5197.1,5166.8,5169.1,5170.15666666667
"27/05/2002",5169.1,5187.9,5136,5136.3,5135.47666666667
"28/05/2002",5136.3,5169.1,5062.4,5074.2,5069.96
"29/05/2002",5074.2,5085.1,5056.4,5083,5077.10333333333
"30/05/2002",5083,5083,5016.9,5040.8,5033.36333333333
"31/05/2002",5040.8,5085.1,5036.3,5085.1,5080.29
"05/06/2002",5085.1,5085.1,4971.4,4989.1,4980.61666666667
