"Date","Open","High","Low","Close","a"
"01/08/2001",5529.1,5549,5499.5,5546.9,5510.75483870968
"02/08/2001",5546.9,5644.2,5533.8,5584.5,5507.04193548387
"03/08/2001",5584.5,5590.2,5511.1,5547.6,5504.01612903226
"06/08/2001",5547.6,5561.2,5516,5526.4,5499.52258064516
"07/08/2001",5526.4,5546.6,5448.2,5536.8,5495.48709677419
"08/08/2001",5536.8,5536.8,5434.3,5476.5,5492.93225806452
"09/08/2001",5476.5,5476.5,5376.7,5402.9,5486.31935483871
"10/08/2001",5402.9,5469,5398.5,5427.2,5479.5064516129
"13/08/2001",5427.2,5465,5410.9,5431.1,5472.68709677419
"14/08/2001",5431.1,5525.6,5430.6,5507.8,5465.94838709677
"15/08/2001",5507.8,5533.2,5456.6,5461.6,5460.19677419355
"16/08/2001",5461.6,5462.4,5389.8,5389.8,5453.4
"17/08/2001",5389.8,5428.9,5299.6,5342.1,5446.7064516129
"20/08/2001",5342.1,5372.1,5286.7,5357.4,5442.77741935484
"21/08/2001",5357.4,5435.3,5353.2,5430.3,5441.53225806452
"22/08/2001",5430.3,5471.6,5373,5408.7,5439.62258064516
"23/08/2001",5408.7,5433.4,5371,5396.5,5439.77096774194
"24/08/2001",5396.5,5471.9,5385.3,5471.9,5439.45806451613
"28/08/2001",5471.9,5475.5,5395.9,5434.7,5436.15806451613
"29/08/2001",5434.7,5460.2,5384.3,5417.6,5432.94838709677
"30/08/2001",5417.6,5435.7,5332.7,5332.7,5429.88064516129
"31/08/2001",5332.7,5378,5298.3,5345,5427.95806451613
"03/09/2001",5345,5366.9,5278.2,5312.1,5423.91612903226
"04/09/2001",5312.1,5379.6,5291.3,5379.6,5423.67419354839
"05/09/2001",5379.6,5379.6,5306.6,5316,5420.7935483871
"06/09/2001",5316,5333,5189.8,5204.3,5417.05483870968
"07/09/2001",5204.3,5206.8,5068.1,5070.3,5410.42903225806
"10/09/2001",5070.3,5070.3,4895.9,5033.7,5402.28709677419
"12/09/2001",4746,4882.1,4651.8,4882.1,5385.48064516129
"13/09/2001",4882.1,4946.6,4847.5,4943.6,5369.25161290323
"14/09/2001",4943.6,4970.1,4743,4755.7,5344.30322580645
"17/09/2001",4755.7,4898.9,4670.5,4898.9,5323.4
"18/09/2001",4898.9,4899.4,4772.2,4848.7,5299.66451612903
"19/09/2001",4848.7,4874,4697.4,4721.7,5273.02258064516
"20/09/2001",4721.7,4743.8,4523.5,4556.9,5241.74838709677
"21/09/2001",4556.9,4556.9,4219.8,4433.7,5206.16451612903
"24/09/2001",4433.7,4615.5,4433.7,4613.9,5178.33870967742
"25/09/2001",4613.9,4679.6,4515.3,4663.4,5154.48387096774
"26/09/2001",4663.4,4715,4606.6,4696.1,5130.9
"27/09/2001",4696.1,4763.6,4651,4763.6,5109.36774193548
"28/09/2001",4763.6,4920.5,4763.6,4903.4,5089.87096774194
"01/10/2001",4903.4,4903.4,4768.1,4785.6,5068.06451612903
"02/10/2001",4785.6,4833,4730.7,4832.3,5050.08064516129
"03/10/2001",4832.3,4884.6,4758.5,4881.8,5035.23225806452
"04/10/2001",4881.8,5034.3,4881.8,5016.2,5024.22580645161
"05/10/2001",5016.2,5082.9,4962.1,5036,5011.5064516129
"08/10/2001",5036,5051,4902.7,5032.7,4999.37741935484
"09/10/2001",5032.7,5079.2,4997,5009.8,4986.90322580645
"10/10/2001",5009.8,5153.1,4978.2,5153.1,4976.61935483871
"11/10/2001",5153.1,5279.8,5136.9,5164.9,4967.91612903226
"12/10/2001",5164.9,5187.5,5081.2,5145.5,4959.13870967742
"15/10/2001",5145.5,5148.4,5046,5067.3,4950.57741935484
"16/10/2001",5067.3,5158.7,5060.8,5082.6,4942.11290322581
"17/10/2001",5082.6,5229.6,5082.6,5203.4,4938.6064516129
"18/10/2001",5203.4,5203.4,5090.2,5116,4930.10322580645
"19/10/2001",5116,5116,5003.9,5017.7,4920.48064516129
"22/10/2001",5017.7,5078.2,5017.7,5070.4,4916.16129032258
"23/10/2001",5070.4,5193.3,5070.4,5193.3,4920.12903225806
"24/10/2001",5193.3,5265.5,5133,5167.6,4924.44838709677
"25/10/2001",5167.6,5217,5043.2,5086.6,4931.04516129032
"26/10/2001",5086.6,5188.6,5086.6,5188.6,4938.94838709677
"29/10/2001",5188.6,5188.6,5083.3,5085.9,4949.6
"30/10/2001",5085.9,5085.9,4977.3,5003.6,4952.97741935484
"31/10/2001",5003.6,5101.1,4954.9,5039.7,4959.13870967742
"01/11/2001",5039.7,5071.2,4988.3,5071.2,4970.41290322581
"02/11/2001",5071.2,5129.5,5071.2,5129.5,4988.88387096774
"05/11/2001",5129.5,5213.8,5124,5209.1,5013.89677419355
"06/11/2001",5209.1,5272.5,5184.8,5214.1,5033.25806451613
"07/11/2001",5214.1,5246.4,5153.3,5216.3,5051.0935483871
"08/11/2001",5216.3,5294.6,5208.4,5278.1,5069.86774193548
"09/11/2001",5278.1,5278.1,5222.8,5244.2,5085.37096774194
"12/11/2001",5244.2,5251.8,5065.3,5146.2,5093.20322580645
"13/11/2001",5146.2,5284.3,5146.2,5277.1,5109.05806451613
"14/11/2001",5277.1,5366.4,5214.3,5240.7,5122.23225806452
"15/11/2001",5240.7,5297.1,5193.4,5238.2,5133.72903225806
"16/11/2001",5238.2,5313.8,5226.1,5291,5142.5935483871
"19/11/2001",5291,5383.2,5285.6,5338,5152.33548387097
"20/11/2001",5338,5344.3,5283.5,5298.7,5160.91612903226
"21/11/2001",5298.7,5367.6,5272.1,5313.8,5170.72258064516
"22/11/2001",5313.8,5362.6,5313.8,5345.9,5176.94193548387
"23/11/2001",5345.9,5358.5,5220.8,5293.2,5181.08064516129
"26/11/2001",5293.2,5346,5273,5302.5,5186.14516129032
"27/11/2001",5302.5,5332.5,5232.8,5266,5192.55483870968
"28/11/2001",5266,5283.3,5182.2,5205.2,5196.50967741936
"29/11/2001",5205.2,5213.2,5152.1,5208.5,5196.67419354839
"30/11/2001",5208.5,5216.9,5146.5,5203.6,5199.5
"03/12/2001",5203.6,5203.6,5152.3,5164.6,5204.23870967742
"04/12/2001",5164.6,5218.6,5164.6,5212.1,5208.80967741935
"05/12/2001",5212.1,5338.2,5212.1,5333.5,5213.33225806452
"06/12/2001",5333.5,5411.2,5327.3,5369.8,5219.85483870968
"07/12/2001",5369.8,5388.8,5258.7,5264.7,5225.6
"10/12/2001",5264.7,5276.2,5172.2,5185,5225.48387096774
"11/12/2001",5185,5194.4,5143.8,5160.8,5227.9
"12/12/2001",5160.8,5181.7,5106,5120,5231.65483870968
"13/12/2001",5120,5134.1,5035.8,5074.9,5232.79032258064
"14/12/2001",5074.9,5092.3,5032.3,5061,5232.46129032258
"17/12/2001",5061,5151,5038.2,5136.3,5232.68064516129
"18/12/2001",5136.3,5181.9,5124.9,5151.1,5230.80967741935
"19/12/2001",5151.1,5157.8,5091.4,5120.6,5227.7935483871
"20/12/2001",5120.6,5151,5080.1,5080.2,5223.40322580645
"21/12/2001",5080.2,5182.2,5044.3,5159.2,5219.56774193548
"24/12/2001",5159.2,5177.4,5147.2,5177.4,5217.41290322581
"27/12/2001",5177.4,5213.2,5160.8,5213.2,5219.57419354839
"28/12/2001",5213.2,5243.7,5196,5242.4,5218.45483870968
"31/12/2001",5242.4,5258,5203.6,5217.4,5217.70322580645
"02/01/2002",5217.4,5261.9,5195.2,5218.3,5217.06129032258
"03/01/2002",5218.3,5328.4,5218.3,5318.8,5217.95806451613
"04/01/2002",5318.8,5362.3,5313.9,5323.8,5217.5
"07/01/2002",5323.8,5354.2,5277.7,5293.6,5217.33548387097
"08/01/2002",5293.6,5307.3,5238.7,5250.4,5215.29032258064
"09/01/2002",5250.4,5250.4,5200.7,5228.5,5211.50322580645
"10/01/2002",5228.5,5228.5,5177.6,5190.7,5208.19677419355
"11/01/2002",5190.7,5229.5,5171.7,5198.6,5204.84516129032
"14/01/2002",5198.6,5198.6,5095.6,5113.5,5199.92580645161
"15/01/2002",5113.5,5175.4,5081.9,5166,5198.66129032258
"16/01/2002",5166,5168.1,5106,5127.6,5196.05161290323
"17/01/2002",5127.6,5180.3,5114.8,5138.4,5193.94838709677
"18/01/2002",5138.4,5150.8,5103.2,5126.8,5192.72903225806
"21/01/2002",5126.8,5146.5,5086,5138.5,5190.35483870968
"22/01/2002",5138.5,5207.2,5124.1,5149.2,5184.40967741935
"23/01/2002",5149.2,5201,5123.4,5180.6,5178.3064516129
"24/01/2002",5180.6,5263.4,5180.6,5233.1,5177.28709677419
"25/01/2002",5233.1,5233.1,5162.6,5193,5177.54516129032
"28/01/2002",5193,5249.9,5193,5223.6,5179.57096774194
"29/01/2002",5223.6,5243.2,5131.4,5131.4,5179.93870967742
"30/01/2002",5131.4,5131.4,5052.8,5089.3,5180.40322580645
"31/01/2002",5089.3,5176.4,5088.7,5164.8,5183.75161290323
"01/02/2002",5164.8,5227.4,5164.8,5189.7,5185.47419354839
"04/02/2002",5189.7,5189.7,5139.7,5167.3,5185.99677419355
"05/02/2002",5167.3,5167.3,5056.8,5093.4,5185.11935483871
"06/02/2002",5093.4,5106.9,5038.3,5073.8,5184.91290322581
"07/02/2002",5073.8,5127,5038.3,5127,5183.87419354839
"08/02/2002",5127,5147.7,5105,5128.1,5182.28387096774
"11/02/2002",5128.1,5173.6,5128.1,5161.8,5180.62580645161
"12/02/2002",5161.8,5216.9,5130.1,5135.7,5177.18387096774
