"Date","Open","High","Low","Close","a","b"
"15/08/2001",11812,11823.92,11648.86,11755.4,11771.7077373938,"ETS(A,N,N)"
"16/08/2001",11645.3,11645.3,11450.77,11515.02,11562.0290728353,"ETS(A,N,N)"
"17/08/2001",11537.69,11581.25,11412.36,11445.54,11466.2019771635,"ETS(A,N,N)"
"20/08/2001",11347.24,11358.09,11239.45,11257.94,11293.2239828559,"ETS(A,N,N)"
"21/08/2001",11317.13,11370.61,11159.27,11280.38,11282.5128800069,"ETS(A,N,N)"
"22/08/2001",11220.25,11504.06,11202.67,11396.43,11377.0409477662,"ETS(A,N,N)"
"23/08/2001",11414.99,11414.99,11104.18,11126.92,11159.2652236978,"ETS(A,N,N)"
"24/08/2001",11190.54,11230.14,11075.42,11166.31,11165.0821549903,"ETS(A,N,N)"
"27/08/2001",11273.96,11366.18,11273.96,11275.01,11262.5036602345,"ETS(A,N,N)"
"28/08/2001",11255.68,11267.95,11049.86,11189.4,11199.2555970276,"ETS(M,N,N)"
"29/08/2001",11087.15,11142.31,10973.27,10979.76,11018.9176825816,"ETS(M,N,N)"
"30/08/2001",10918.54,10969.06,10807.75,10938.45,10952.0633734103,"ETS(M,N,N)"
"31/08/2001",10811.37,10860.7,10684.16,10713.51,10749.1207304117,"ETS(M,N,N)"
"03/09/2001",10729.6,10758.9,10409.68,10409.68,10418.567627823,"ETS(A,N,N)"
"04/09/2001",10413.71,10772.59,10325.83,10772.59,10734.8962272001,"ETS(A,N,N)"
"05/09/2001",10679.53,10679.53,10452.98,10598.79,10617.1078708383,"ETS(A,N,N)"
"06/09/2001",10575.26,10812.89,10509.68,10650.33,10645.5223385727,"ETS(A,N,N)"
"07/09/2001",10541.86,10566.65,10405.8,10516.79,10538.9027744686,"ETS(M,N,N)"
"10/09/2001",10395.1,10457.09,10195.69,10195.69,10225.8690424639,"ETS(A,N,N)"
"11/09/2001",10244.55,10344.58,10207.03,10292.95,10271.99855186,"ETS(M,A,N)"
"12/09/2001",10140.42,10140.42,9600.84,9610.1,10124.3080623569,"ETS(A,A,N)"
"13/09/2001",9663.93,9682.63,9476.87,9613.09,9671.07287416472,"ETS(A,A,N)"
"14/09/2001",9625.26,10009.45,9580.34,10008.89,9828.75653282998,"ETS(A,A,N)"
"17/09/2001",9881.06,9881.06,9447.76,9504.41,9611.01383581608,"ETS(A,A,N)"
"18/09/2001",9623.98,9945.8,9623.98,9679.88,9653.13630830729,"ETS(A,A,N)"
"19/09/2001",9682.52,10061.1,9681.79,9939.6,9638.33536424623,"ETS(A,A,N)"
"20/09/2001",9837.17,9842.16,9688.12,9785.16,9559.65567758467,"ETS(A,A,N)"
"21/09/2001",9658.19,9658.19,9382.95,9554.99,9525.6631597923,"ETS(A,A,N)"
"25/09/2001",9637.6,9867.86,9593.07,9693.97,9421.52524964294,"ETS(A,A,N)"
"26/09/2001",9687.51,9697.12,9551.73,9641.7,9487.43966610794,"ETS(A,A,N)"
"27/09/2001",9601.07,9727.3,9585.81,9696.53,9520.66839067777,"ETS(A,A,N)"
