"Date","Open","High","Low","Close","a"
"15/08/2001",11812,11823.92,11648.86,11755.4,12077.1048387097
"16/08/2001",11645.3,11645.3,11450.77,11515.02,12035.0922580645
"17/08/2001",11537.69,11581.25,11412.36,11445.54,11996.915483871
"20/08/2001",11347.24,11358.09,11239.45,11257.94,11953.3877419355
"21/08/2001",11317.13,11370.61,11159.27,11280.38,11920.3006451613
"22/08/2001",11220.25,11504.06,11202.67,11396.43,11893.0990322581
"23/08/2001",11414.99,11414.99,11104.18,11126.92,11855.244516129
"24/08/2001",11190.54,11230.14,11075.42,11166.31,11828.1864516129
"27/08/2001",11273.96,11366.18,11273.96,11275.01,11791.64
"28/08/2001",11255.68,11267.95,11049.86,11189.4,11754.0351612903
"29/08/2001",11087.15,11142.31,10973.27,10979.76,11710.0477419355
"30/08/2001",10918.54,10969.06,10807.75,10938.45,11671.6567741935
"31/08/2001",10811.37,10860.7,10684.16,10713.51,11633.6222580645
"03/09/2001",10729.6,10758.9,10409.68,10409.68,11585.2767741935
"04/09/2001",10413.71,10772.59,10325.83,10772.59,11558.275483871
"05/09/2001",10679.53,10679.53,10452.98,10598.79,11516.8412903226
"06/09/2001",10575.26,10812.89,10509.68,10650.33,11476.8
"07/09/2001",10541.86,10566.65,10405.8,10516.79,11433.5170967742
"10/09/2001",10395.1,10457.09,10195.69,10195.69,11381.8270967742
"11/09/2001",10244.55,10344.58,10207.03,10292.95,11340.3329032258
"12/09/2001",10140.42,10140.42,9600.84,9610.1,11267.7306451613
"13/09/2001",9663.93,9682.63,9476.87,9613.09,11192.045483871
"14/09/2001",9625.26,10009.45,9580.34,10008.89,11114.9387096774
"17/09/2001",9881.06,9881.06,9447.76,9504.41,11026.6303225806
"18/09/2001",9623.98,9945.8,9623.98,9679.88,10943.92
"19/09/2001",9682.52,10061.1,9681.79,9939.6,10867.1503225806
"20/09/2001",9837.17,9842.16,9688.12,9785.16,10790.4241935484
"21/09/2001",9658.19,9658.19,9382.95,9554.99,10719.4703225806
"25/09/2001",9637.6,9867.86,9593.07,9693.97,10653.6287096774
"26/09/2001",9687.51,9697.12,9551.73,9641.7,10594.4074193548
"27/09/2001",9601.07,9727.3,9585.81,9696.53,10522.7487096774
"28/09/2001",9783.8,9933.69,9737.42,9774.68,10458.854516129
"01/10/2001",9766.75,9972.28,9604.09,9972.28,10409.0887096774
"02/10/2001",9937.81,10136.56,9871.94,10136.56,10366.8635483871
"03/10/2001",10194.73,10221.82,9924.23,9924.23,10323.8406451613
"04/10/2001",10038.61,10215.89,10038.61,10205.48,10289.1664516129
"05/10/2001",10165.45,10261.86,10039.51,10205.87,10250.7612903226
"09/10/2001",10143.39,10143.39,10011.77,10011.77,10214.7887096774
"10/10/2001",9995.43,10030.22,9934,9964.88,10176.0329032258
"11/10/2001",10074.51,10347.01,10052.08,10347.01,10146.0974193548
"12/10/2001",10474.35,10632.35,10421.57,10632.35,10128.1280645161
"15/10/2001",10545.25,10545.25,10447.99,10452.54,10111.1209677419
"16/10/2001",10433.9,10694.06,10412.25,10637.82,10101.4232258065
"17/10/2001",10672,10790.03,10563.52,10755.45,10102.7761290323
"18/10/2001",10654.53,10668.69,10474.85,10474.85,10104.8783870968
"19/10/2001",10472.44,10595.97,10437.8,10538.79,10097.3364516129
"23/10/2001",10685.35,10861.56,10649.59,10861.56,10105.8129032258
"24/10/2001",10811.68,10960.91,10771.63,10802.15,10110.7103225806
"25/10/2001",10847.1,11052.01,10838.6,10880.1,10122.43
"26/10/2001",10951.88,11020.5,10774.29,10795.16,10141.7677419355
"29/10/2001",10779.19,10798.08,10612.31,10612.31,10152.0696774194
"30/10/2001",10522.82,10538.79,10416.44,10512.82,10181.1896774194
"31/10/2001",10443.65,10478.51,10366.34,10366.34,10205.4880645161
"01/11/2001",10430.59,10498.39,10318.17,10347.28,10216.4038709677
"02/11/2001",10460.61,10538.45,10322.28,10383.78,10244.7706451613
"05/11/2001",10427.35,10447.54,10345.28,10447.54,10269.5338709677
"06/11/2001",10518.02,10633.72,10494.89,10633.72,10291.9248387097
"07/11/2001",10607.35,10632.49,10284.98,10284.98,10308.0480645161
"08/11/2001",10345.49,10431.79,10269.97,10431.79,10336.3319354839
"09/11/2001",10412.62,10412.62,10213.01,10215.71,10353.1622580645
"12/11/2001",10225.59,10260.7,10081.56,10081.56,10367.3512903226
"13/11/2001",10035.65,10057.74,9955.09,10030.56,10378.1264516129
"14/11/2001",10120.16,10231.16,10076.59,10086.76,10388.1935483871
"15/11/2001",10159.38,10489.89,10142.42,10489.89,10404.8906451613
"16/11/2001",10488.7,10850.48,10454.2,10649.09,10421.4238709677
"19/11/2001",10643.33,10849.19,10618.69,10727.94,10447.35
"20/11/2001",10779.58,10779.58,10555.44,10575.62,10459.29
"21/11/2001",10530.29,10789.18,10490.6,10661.08,10473.9741935484
"22/11/2001",10617.44,10702.34,10529.21,10696.82,10496.0725806452
"26/11/2001",10797.12,11067.92,10797.12,11064.3,10531.5377419355
"27/11/2001",11012.85,11186.75,10948.89,10948.89,10550.9532258065
"28/11/2001",10862.24,10900.31,10624.81,10624.81,10550.71
"29/11/2001",10607.45,10668.73,10512.66,10655.96,10557.2719354839
"30/11/2001",10659.87,10697.9,10550.66,10697.44,10559.1951612903
"03/12/2001",10694.65,10695.04,10370.62,10370.62,10546.7812903226
"04/12/2001",10414.94,10478.47,10326.52,10452.65,10546.0651612903
"05/12/2001",10549.39,10724.64,10523.22,10713.81,10551.7109677419
"06/12/2001",10830.86,11052.51,10813.79,10857.28,10551.5729032258
"07/12/2001",10833.3,10918.19,10762.97,10796.89,10551.4032258065
"10/12/2001",10736.12,10738.39,10571.01,10571.01,10541.4325806452
"11/12/2001",10523.86,10606.92,10467.61,10473.91,10531.0696774194
"12/12/2001",10490.07,10821.13,10490.07,10801.52,10537.1732258065
"13/12/2001",10721.61,10731.81,10433.45,10433.45,10534.6129032258
"14/12/2001",10465.23,10603.71,10379.59,10511.65,10539.3003225806
"17/12/2001",10482.4,10484.38,10302.97,10323.35,10538.5283870968
"18/12/2001",10422.16,10582.07,10330.58,10432.17,10540.0893548387
"19/12/2001",10393.04,10500.44,10347.18,10471.93,10540.8761290323
"20/12/2001",10485.8,10501.98,10346.4,10434.52,10534.4503225806
"21/12/2001",10394.73,10418.59,10253.72,10335.45,10536.0783870968
"25/12/2001",10359.22,10359.22,10178.87,10254.81,10530.3693548387
"26/12/2001",10273.05,10300.63,10170.9,10192.57,10529.6229032258
"27/12/2001",10213.32,10457.61,10176.31,10457.61,10541.7535483871
"28/12/2001",10498.8,10571.75,10427.62,10542.62,10558.2716129032
"04/01/2002",10631,10871.49,10617.08,10871.49,10583.585483871
"07/01/2002",10803.45,10979.92,10803.45,10942.36,10598.1812903226
"08/01/2002",10841.97,10843.26,10662.25,10695.6,10599.6816129032
"09/01/2002",10661.25,10747.6,10638.43,10663.98,10597.6183870968
"10/01/2002",10652.17,10710.48,10494.35,10538.43,10596.4187096774
"11/01/2002",10536.25,10571.5,10441.59,10441.59,10589.3383870968
"15/01/2002",10359.44,10359.44,10208.05,10208.05,10573.5716129032
"16/01/2002",10172.16,10269.03,10096.34,10177.58,10544.9677419355
"17/01/2002",10184.95,10257.45,10074.45,10128.18,10518.4932258065
"18/01/2002",10165.16,10296.79,10151.43,10293.32,10507.8
"21/01/2002",10252.43,10393.56,10169.8,10280.25,10495.6803225806
"22/01/2002",10225.52,10280.3,10050.98,10050.98,10474.8267741935
"23/01/2002",10063.92,10154.82,10040.91,10040.91,10464.1909677419
"24/01/2002",10089.25,10240.39,10012.8,10074.05,10451.9780645161
"25/01/2002",10133.59,10149.87,10017.48,10144.14,10433.6016129032
"28/01/2002",10190.28,10303.74,10156.19,10220.85,10413.0716129032
"29/01/2002",10191.75,10191.75,10026.03,10026.03,10388.2051612903
"30/01/2002",9921.73,9938.33,9843.12,9919.48,10367.1880645161
"31/01/2002",9962.35,10012.15,9896.84,9997.8,10351.8296774194
"01/02/2002",10026.96,10032.25,9735.05,9791.43,10319.2461290323
"04/02/2002",9808.82,9808.82,9623.99,9631.93,10293.3906451613
"05/02/2002",9577.17,9683.93,9473.46,9475.6,10259.9696774194
"06/02/2002",9494.62,9602.52,9420.85,9420.85,10230.8567741935
