EUR/GBP,Close,High,Low
01/01/2010,0.8857,0.8857,0.8857
04/01/2010,0.895,0.8967,0.8856
05/01/2010,0.8981,0.9015,0.8945
06/01/2010,0.8994,0.9012,0.8926
07/01/2010,0.8984,0.9026,0.898
08/01/2010,0.8991,0.9007,0.8922
11/01/2010,0.9014,0.9027,0.8973
12/01/2010,0.896,0.9027,0.8957
13/01/2010,0.8908,0.8968,0.8893
14/01/2010,0.8879,0.8936,0.8866
15/01/2010,0.884,0.888,0.881
18/01/2010,0.881,0.8833,0.8783
19/01/2010,0.8733,0.8811,0.8713
20/01/2010,0.8657,0.8738,0.8649
21/01/2010,0.8696,0.8724,0.8655
22/01/2010,0.8776,0.8785,0.8688
25/01/2010,0.8719,0.8797,0.8704
26/01/2010,0.8718,0.8753,0.8668
27/01/2010,0.8672,0.8731,0.8658
28/01/2010,0.8663,0.8676,0.8602
29/01/2010,0.8664,0.8693,0.863
01/02/2010,0.8725,0.8769,0.8684
02/02/2010,0.8735,0.8763,0.8707
03/02/2010,0.874,0.877,0.8711
04/02/2010,0.872,0.8759,0.8713
05/02/2010,0.8737,0.8756,0.8688
08/02/2010,0.8754,0.8802,0.873
09/02/2010,0.8777,0.8818,0.8753
10/02/2010,0.8811,0.882,0.8744
11/02/2010,0.8716,0.8844,0.8701
12/02/2010,0.8684,0.8726,0.8656
15/02/2010,0.8676,0.8703,0.867
16/02/2010,0.8717,0.8745,0.8678
17/02/2010,0.8676,0.8741,0.867
18/02/2010,0.8715,0.8723,0.8662
19/02/2010,0.8792,0.8798,0.8702
22/02/2010,0.8781,0.8817,0.8762
23/02/2010,0.8761,0.8836,0.8751
24/02/2010,0.879,0.8813,0.8751
25/02/2010,0.8876,0.8893,0.8773
26/02/2010,0.8927,0.8974,0.8869
01/03/2010,0.9045,0.915,0.8968
02/03/2010,0.9095,0.9102,0.902
03/03/2010,0.9069,0.9102,0.9051
04/03/2010,0.9036,0.9084,0.9017
05/03/2010,0.8993,0.9048,0.8982
08/03/2010,0.9049,0.9073,0.8997
09/03/2010,0.9068,0.9097,0.9047
10/03/2010,0.9118,0.9134,0.9062
11/03/2010,0.9082,0.9121,0.9064
12/03/2010,0.9061,0.9111,0.9045
15/03/2010,0.9083,0.9128,0.9047
16/03/2010,0.903,0.9121,0.9012
17/03/2010,0.8963,0.9066,0.8953
18/03/2010,0.8927,0.8973,0.8917
19/03/2010,0.9012,0.9019,0.8922
22/03/2010,0.8977,0.9045,0.8971
23/03/2010,0.8971,0.9018,0.8966
24/03/2010,0.8953,0.8981,0.8908
25/03/2010,0.8962,0.8994,0.8898
26/03/2010,0.9006,0.9025,0.8957
29/03/2010,0.8995,0.9021,0.8972
30/03/2010,0.8902,0.9,0.888
31/03/2010,0.8901,0.8945,0.8871
01/04/2010,0.8886,0.8903,0.8842
02/04/2010,0.8875,0.8898,0.8873
05/04/2010,0.882,0.8861,0.8815
06/04/2010,0.8772,0.8859,0.8766
07/04/2010,0.8756,0.8819,0.8752
08/04/2010,0.8742,0.8784,0.8738
09/04/2010,0.8777,0.8782,0.8707
12/04/2010,0.8838,0.8849,0.8805
13/04/2010,0.8841,0.8862,0.8805
14/04/2010,0.8828,0.8864,0.8807
15/04/2010,0.8758,0.8831,0.875
16/04/2010,0.8774,0.8801,0.8745
19/04/2010,0.8791,0.8843,0.8788
20/04/2010,0.8745,0.8803,0.8741
