Date,Open,High,Low,Close
04/01/2000,18937.45,19187.61,18937.45,19002.86
05/01/2000,19003.51,19003.51,18221.82,18542.55
06/01/2000,18574.01,18582.74,18168.27,18168.27
07/01/2000,18194.05,18285.73,18068.1,18193.41
11/01/2000,18246.1,18887.56,18246.1,18850.92
12/01/2000,18780.17,18811.87,18626.92,18677.42
13/01/2000,18667.18,18845.03,18667.18,18833.29
14/01/2000,18882.99,19058.02,18733.83,18956.55
17/01/2000,19025.62,19442.58,19025.62,19437.23
18/01/2000,19412.47,19412.47,19145.17,19196.57
19/01/2000,19181.87,19181.87,18897.75,18897.75
20/01/2000,18930.26,19167.03,18921.11,19008.01
21/01/2000,18994.89,18994.89,18713.17,18878.09
24/01/2000,18878.46,19124.57,18877.13,19056.71
25/01/2000,19004.39,19131.19,18815.37,18895.53
26/01/2000,18982.84,19145.9,18982.84,19111.19
27/01/2000,19125.62,19238.08,18971.68,19209.72
28/01/2000,19261.01,19595.83,19237.49,19434.78
31/01/2000,19375.11,19539.7,19224.47,19539.7
01/02/2000,19536.68,19553.68,19266.96,19423.38
02/02/2000,19522.33,19860.26,19522.33,19578.91
03/02/2000,19648.35,19878.83,19648.35,19786.42
04/02/2000,19866.19,20011.91,19752.12,19763.13
07/02/2000,19832.76,19948.6,19780.56,19945.43
08/02/2000,19955.3,19983.44,19834.81,19868.88
09/02/2000,19930.41,20046.14,19925.64,20007.77
10/02/2000,19915.53,19915.56,19710.02,19710.02
14/02/2000,19698.57,19748.42,19556.46,19556.46
15/02/2000,19587.82,19689.16,19331.05,19367.83
16/02/2000,19418.56,19612.6,19300.14,19599.18
17/02/2000,19646.37,19803.69,19518.08,19791.4
18/02/2000,19852.18,19862.94,19670.05,19789.03
21/02/2000,19736.15,19763.51,19543.75,19543.75
22/02/2000,19553.62,19712.37,19353.4,19390.58
23/02/2000,19439.17,19527.79,19373.04,19519.55
24/02/2000,19616.26,19698.95,19558.04,19571.44
25/02/2000,19623.38,19817.88,19539,19817.88
28/02/2000,19783.44,19904.86,19713.86,19720.1
29/02/2000,19761.52,19978.75,19747.02,19959.52
01/03/2000,20030.08,20165.51,20007.64,20081.67
02/03/2000,20097.59,20202.96,19903.29,20065.11
03/03/2000,20023.04,20034.6,19859.42,19927.54
06/03/2000,20041.48,20160.03,19742.58,19796.35
07/03/2000,19802.54,19944.24,19704.23,19944.24
08/03/2000,19856.37,19856.37,19692.04,19766.8
09/03/2000,19751.72,19885.54,19614.82,19662.33
10/03/2000,19734.84,19982.44,19686.5,19750.4
13/03/2000,19731.5,19760.35,19060.08,19189.93
14/03/2000,19139.57,19335.22,18956.25,19141.84
15/03/2000,19120.06,19120.06,18765.88,19078.6
16/03/2000,19095.63,19313.18,18892.26,19253.23
17/03/2000,19335.6,19573.48,19335.6,19566.32
21/03/2000,19598.53,19602.36,19455.11,19602.36
22/03/2000,19612.23,19734.43,19602.88,19733.59
23/03/2000,19749.51,19762.3,19568.77,19704.6
24/03/2000,19752.16,20012.41,19697.57,19958.08
27/03/2000,19976.14,20295.69,19880.11,20281.03
28/03/2000,20273.68,20388.18,20014.08,20374.34
29/03/2000,20406.56,20809.18,20406.56,20706.65
30/03/2000,20706.45,20809.79,20439.44,20441.5
31/03/2000,20371.07,20550.1,20259.35,20337.32
03/04/2000,20327.79,20726.99,20271.92,20726.99
04/04/2000,20747.82,20747.82,20536.33,20594.93
05/04/2000,20546.6,20654.63,20311.79,20462.77
06/04/2000,20476.23,20556.97,20171.62,20223.61
07/04/2000,20269.59,20463.67,20252.81,20252.81
10/04/2000,20368.81,20640.11,20368.81,20619.06
11/04/2000,20544.4,20656.87,20516.94,20522.52
12/04/2000,20475.96,20833.21,20436.74,20833.21
13/04/2000,20736.4,20736.4,20385.16,20526.42
14/04/2000,20456.48,20604.37,20330.89,20434.68
17/04/2000,20341.5,20341.5,18603.87,19008.64
18/04/2000,19089,19330.4,18547.38,18969.52
19/04/2000,18998.06,19192.63,18794.48,19086.62
20/04/2000,19041.53,19382.44,18959.32,18959.32
21/04/2000,19050.68,19269.06,18091.1,18252.68
24/04/2000,18247.48,18987.34,18247.48,18480.15
25/04/2000,18433.3,18630.3,18176.83,18272.33
26/04/2000,18326.9,18439.18,17948.36,18134.31
27/04/2000,18122.7,18245.44,18012.41,18019.17
28/04/2000,18035.54,18137.01,17926.43,17973.7
01/05/2000,17979.25,18403.08,17979.25,18403.08
02/05/2000,18497.52,18586.16,18428.92,18439.36
08/05/2000,18465.71,18475.45,18189.8,18199.96
09/05/2000,18152.37,18152.37,17804.04,17844.54
10/05/2000,17799.21,17803.44,17393.59,17701.47
11/05/2000,17605.65,17605.65,16779.42,16882.46
12/05/2000,16963.87,17362.2,16963.87,17357.86
15/05/2000,17396.45,17396.45,17192.71,17313.69
16/05/2000,17342.84,17558.51,17283.52,17551.25
17/05/2000,17588.81,17691.39,17348.88,17404.03
18/05/2000,17365.09,17365.09,16971.82,17031.63
19/05/2000,16960.29,16960.29,16572.05,16858.17
22/05/2000,16802.66,16802.66,16174.4,16386.01
23/05/2000,16345.26,16493.7,16169.93,16318.73
24/05/2000,16237.88,16261.33,15876.34,16044.44
25/05/2000,16090.36,16374.06,16090.36,16247.82
26/05/2000,16219.02,16219.02,15870.25,16008.14
29/05/2000,16028.76,16245.44,16028.76,16245.44
30/05/2000,16275.96,16485.54,16210.04,16228.9
31/05/2000,16274.14,16538.67,16224.06,16332.45
01/06/2000,16320.08,16694.3,16320.08,16694.3
02/06/2000,16682.25,16941.42,16682.25,16800.06
05/06/2000,16842.04,17261.87,16842.04,17201.79
06/06/2000,17163.39,17207.15,17064.92,17170.08
