,Date,Open,High,Low,Close,Volume,Adj.Close,sma.value,Long,LongMR,Short,ShortMR,,Sum,SumMR,,Av Sum,,
1,03/01/2000,6961.72,7159.33,6720.87,6750.76,0,6750.76,NA,NA,NA,NA,NA,,,,,,,
2,04/01/2000,6747.24,6755.36,6510.46,6586.95,0,6586.95,NA,NA,NA,NA,NA,,,,,,,
3,05/01/2000,6585.85,6585.85,6388.91,6502.07,0,6502.07,NA,NA,NA,NA,NA,,,,,,,
4,06/01/2000,6501.45,6539.31,6402.63,6474.92,0,6474.92,NA,NA,NA,NA,NA,,,,,,,
5,07/01/2000,6489.94,6791.53,6470.14,6780.96,0,6780.96,NA,NA,NA,NA,NA,,,,,,,
6,10/01/2000,6785.47,6975.26,6785.47,6925.52,0,6925.52,NA,NA,NA,NA,NA,,,,,,,
7,11/01/2000,6926.04,6943.83,6821.26,6891.25,0,6891.25,NA,NA,NA,NA,NA,,,,,,,
8,12/01/2000,6878.92,6913.5,6783.22,6912.81,0,6912.81,NA,NA,NA,NA,NA,,,,,,,
9,13/01/2000,6913.13,7106.45,6898.69,6955.98,0,6955.98,NA,NA,NA,NA,NA,,,,,,,
10,14/01/2000,6960.29,7207.45,6960.29,7173.22,0,7173.22,6775.005,212.93,NA,NA,-50,,212.93,-50,,,,
11,17/01/2000,7177.48,7297.04,7112.97,7258.9,0,7258.9,6796.581,81.42,NA,NA,-50,,81.42,-50,,,,
12,18/01/2000,7262.21,7306.48,7053.86,7072.12,0,7072.12,6848.078,-50,NA,NA,190.09,,-50,190.09,,,,
13,19/01/2000,7065.31,7110.19,6987.12,7091.04,0,7091.04,6896.024,25.73,NA,NA,-25.73,,25.73,-25.73,,,,
14,20/01/2000,7095.98,7230.75,7076.81,7112.66,0,7112.66,6955.477,16.68,NA,NA,-16.68,,16.68,-16.68,,,,
15,21/01/2000,7103.7,7103.7,6939.94,6992.75,0,6992.75,7016.853,-50,NA,NA,110.95,,-50,110.95,,,,
16,24/01/2000,6987.59,7092.5,6921.97,6931.99,0,6931.99,7037.065,NA,-50,55.6,NA,,55.6,-50,,,,
17,25/01/2000,6928.08,6928.08,6809.64,6809.64,0,6809.64,7037.269,NA,-50,118.44,NA,,118.44,-50,,,,
18,26/01/2000,6838.05,6980.93,6838.05,6969.37,0,6969.37,7033.182,NA,131.32,-50,NA,,-50,131.32,,,,
19,27/01/2000,6983.42,7169.87,6944.65,7126.13,0,7126.13,7040.211,NA,142.71,-50,NA,,-50,142.71,,90.72,,-50
20,28/01/2000,7128.01,7214.58,7040.49,7066.6,0,7066.6,7056.983,-50,NA,NA,61.41,,-50,61.41,,24.04,,-50
21,31/01/2000,7054.24,7054.24,6816.54,6835.6,0,6835.6,7044.659,-50,NA,NA,218.64,,-50,218.64,,24.04,,-50
22,01/02/2000,6841.12,7052.22,6841.12,7050.46,0,7050.46,7002.55,NA,209.34,-50,NA,,-50,209.34,,-81.56,,209.34
23,02/02/2000,7063.57,7172.05,7038.71,7171.95,0,7171.95,7002.376,108.38,NA,NA,-50,,108.38,-50,,-250,,-50
24,03/02/2000,7175.87,7354.56,7134.42,7354.26,0,7354.26,7010.365,178.39,NA,NA,-50,,178.39,-50,,-91.62,,-50
