"","Date","Open","High","Low","Close","Volume","Adj.Close","prevHigh","prevLow","Long","Short"
"1","03/01/2000",6961.72,7159.33,6720.87,6750.76,0,6750.76,NA,NA,NA,NA
"2","04/01/2000",6747.24,6755.36,6510.46,6586.95,0,6586.95,7159.33,6720.87,NA,133.92
"3","05/01/2000",6585.85,6585.85,6388.91,6502.07,0,6502.07,6755.36,6510.46,NA,8.39000000000033
"4","06/01/2000",6501.45,6539.31,6402.63,6474.92,0,6474.92,6585.85,6388.91,NA,NA
"5","07/01/2000",6489.94,6791.53,6470.14,6780.96,0,6780.96,6539.31,6402.63,241.65,NA
"6","10/01/2000",6785.47,6975.26,6785.47,6925.52,0,6925.52,6791.53,6470.14,133.990000000001,NA
"7","11/01/2000",6926.04,6943.83,6821.26,6891.25,0,6891.25,6975.26,6785.47,NA,NA
"8","12/01/2000",6878.92,6913.5,6783.22,6912.81,0,6912.81,6943.83,6821.26,NA,-50
"9","13/01/2000",6913.13,7106.45,6898.69,6955.98,0,6955.98,6913.5,6783.22,42.4799999999996,NA
"10","14/01/2000",6960.29,7207.45,6960.29,7173.22,0,7173.22,7106.45,6898.69,66.7700000000004,NA
"11","17/01/2000",7177.48,7297.04,7112.97,7258.9,0,7258.9,7207.45,6960.29,51.4499999999998,NA
"12","18/01/2000",7262.21,7306.48,7053.86,7072.12,0,7072.12,7297.04,7112.97,-50,40.8500000000004
"13","19/01/2000",7065.31,7110.19,6987.12,7091.04,0,7091.04,7306.48,7053.86,NA,-37.1800000000003
"14","20/01/2000",7095.98,7230.75,7076.81,7112.66,0,7112.66,7110.19,6987.12,2.47000000000025,NA
"15","21/01/2000",7103.7,7103.7,6939.94,6992.75,0,6992.75,7230.75,7076.81,NA,84.0600000000004
"16","24/01/2000",6987.59,7092.5,6921.97,6931.99,0,6931.99,7103.7,6939.94,NA,7.94999999999982
"17","25/01/2000",6928.08,6928.08,6809.64,6809.64,0,6809.64,7092.5,6921.97,NA,112.33
"18","26/01/2000",6838.05,6980.93,6838.05,6969.37,0,6969.37,6928.08,6809.64,41.29,NA
"19","27/01/2000",6983.42,7169.87,6944.65,7126.13,0,7126.13,6980.93,6838.05,145.2,NA
"20","28/01/2000",7128.01,7214.58,7040.49,7066.6,0,7066.6,7169.87,6944.65,-50,NA
"21","31/01/2000",7054.24,7054.24,6816.54,6835.6,0,6835.6,7214.58,7040.49,NA,204.889999999999
"22","01/02/2000",6841.12,7052.22,6841.12,7050.46,0,7050.46,7054.24,6816.54,NA,NA
"23","02/02/2000",7063.57,7172.05,7038.71,7171.95,0,7171.95,7052.22,6841.12,119.73,NA
"24","03/02/2000",7175.87,7354.56,7134.42,7354.26,0,7354.26,7172.05,7038.71,182.21,NA
"25","04/02/2000",7355.69,7491.79,7338.15,7444.61,0,7444.61,7354.56,7134.42,90.0499999999993,NA
"26","07/02/2000",7450.79,7450.79,7270.4,7296.32,0,7296.32,7491.79,7338.15,NA,41.8299999999999
"27","08/02/2000",7295.61,7570.55,7263.19,7549.88,0,7549.88,7450.79,7270.4,99.0900000000001,-50
"28","09/02/2000",7566.68,7676.56,7526.08,7629.11,0,7629.11,7570.55,7263.19,58.5599999999995,NA
"29","10/02/2000",7617.07,7709.27,7496.42,7709.27,0,7709.27,7676.56,7526.08,32.71,-50
"30","11/02/2000",7724.36,7812.09,7586.26,7611.55,0,7611.55,7709.27,7496.42,-50,NA
"31","14/02/2000",7569.01,7660.39,7542.3,7644.8,0,7644.8,7812.09,7586.26,NA,-50
"32","15/02/2000",7636.41,7699.97,7396.13,7396.13,0,7396.13,7660.39,7542.3,-50,146.17
"33","16/02/2000",7401.26,7596.9,7342.65,7490.32,0,7490.32,7699.97,7396.13,NA,-50
"34","17/02/2000",7478.32,7637.46,7394.02,7580.53,0,7580.53,7596.9,7342.65,-16.3699999999999,NA
