"","Date","Open","High","Low","Close","prevHigh","prevLow","Long","Short"
"1","03/01/2000",11501.85,11641.07,11180.98,11357.51,NA,NA,NA,NA
"2","04/01/2000",11349.75,11358.44,10907.03,10997.93,11641.07,11180.98,NA,183.049999999999
"3","05/01/2000",10989.37,11337.65,10862.66,11122.65,11358.44,10907.03,NA,-50
"4","06/01/2000",11113.37,11447.79,10963.18,11253.26,11337.65,10862.66,-50,NA
"5","07/01/2000",11247.06,11655.65,11168.26,11522.56,11447.79,10963.18,74.7699999999986,NA
"6","10/01/2000",11532.48,11765.17,11427,11572.2,11655.65,11168.26,-50,NA
"7","11/01/2000",11568.47,11748.11,11398.3,11511.08,11765.17,11427,NA,-50
"8","12/01/2000",11506.73,11751.83,11385.74,11551.1,11748.11,11398.3,-50,-50
"9","13/01/2000",11558.24,11761.14,11421.42,11582.43,11751.83,11385.74,-50,NA
"10","14/01/2000",11619.35,11908.5,11506.42,11722.98,11761.14,11421.42,-38.1599999999999,NA
"11","18/01/2000",11719.19,11834.67,11397.22,11560.72,11908.5,11506.42,NA,-50
"12","19/01/2000",11535.24,11710.57,11320.28,11489.36,11834.67,11397.22,NA,-50
"13","20/01/2000",11490.29,11654.72,11194.32,11351.3,11710.57,11320.28,NA,-31.0199999999986
"14","21/01/2000",11356.26,11513.87,11113.65,11251.71,11654.72,11194.32,NA,-50
"15","24/01/2000",11251.94,11501.15,10849.01,11008.17,11513.87,11113.65,NA,105.48
"16","25/01/2000",11010.96,11228.75,10779.83,11029.89,11501.15,10849.01,NA,-50
"17","26/01/2000",11025.85,11280.87,10870.73,11032.99,11228.75,10779.83,-50,NA
"18","27/01/2000",11035.55,11274.36,10818.3,11028.02,11280.87,10870.73,NA,-50
"19","28/01/2000",11024.92,11115.2,10649.21,10738.87,11274.36,10818.3,NA,79.4299999999985
"20","31/01/2000",10735.77,11059.67,10610.43,10940.53,11115.2,10649.21,NA,-50
"21","01/02/2000",10937.74,11187.18,10798.44,11041.05,11059.67,10610.43,-18.6200000000008,NA
"22","02/02/2000",11037.64,11228.44,10876,11003.2,11187.18,10798.44,-50,NA
"23","03/02/2000",11010.48,11207.97,10799.68,11013.44,11228.44,10876,NA,-50
"24","04/02/2000",11014.37,11200.83,10847.54,10963.8,11207.97,10799.68,NA,NA
"25","07/02/2000",10965.97,11097.52,10732.67,10905.79,11200.83,10847.54,NA,-50
"26","08/02/2000",10904.26,11139.4,10826.67,10957.6,11097.52,10732.67,-50,NA
"27","09/02/2000",10948.82,11016.54,10647.97,10699.16,11139.4,10826.67,NA,127.51
"28","10/02/2000",10697.92,10853.67,10491.3,10643.63,11016.54,10647.97,NA,4.34000000000015
"29","11/02/2000",10638.64,10763.38,10301.12,10425.21,10853.67,10491.3,NA,66.0900000000001
"30","14/02/2000",10431.65,10674.96,10327.56,10519.84,10763.38,10301.12,NA,NA
"31","15/02/2000",10520.15,10821.09,10377.44,10718.09,10674.96,10327.56,43.130000000001,NA
"32","16/02/2000",10711.82,10831.64,10468.65,10561.41,10821.09,10377.44,-50,NA
"33","17/02/2000",10565.76,10768.66,10348.66,10514.57,10831.64,10468.65,NA,-45.9200000000001
"34","18/02/2000",10514.57,10562.34,10129.24,10219.52,10768.66,10348.66,NA,129.139999999999
"35","22/02/2000",10219.83,10446.62,10011.66,10304.84,10562.34,10129.24,NA,-50
