"","Date","X.x","Open.x","High.x","Low.x","Close.x","Volume.x","Adj.Close.x","prevHigh.x","prevLow.x","Long.x","Short.x","X.y","Open.y","High.y","Low.y","Close.y","Volume.y","Adj.Close.y","prevHigh.y","prevLow.y","Long.y","Short.y"
"1","01/02/2000",22,6841.12,7052.22,6841.12,7050.46,0,7050.46,7054.24,6816.54,NA,NA,21,6268.5,6367.1,6231.9,6290.9,0,6290.9,6375.6,6246.8,NA,-44.0999999999995
"2","01/02/2001",277,6788.57,6788.57,6704.68,6704.68,0,6704.68,6795.14,6720.57,NA,15.8899999999994,275,6297.5,6309.9,6233.4,6251.8,0,6251.8,6360.3,6264.9,NA,13.0999999999995
"3","01/02/2002",529,5109.48,5165.97,5082.43,5097.06,0,5097.06,5119.51,5054.42,-22.4499999999998,NA,527,5164.8,5227.4,5164.8,5189.7,0,5189.7,5176.4,5088.7,13.3000000000002,NA
"4","01/02/2005",1291,4256.65,4281.05,4249.69,4279.97,0,4279.97,4258.41,4211.86,21.5600000000004,NA,1284,4852.3,4906.2,4852.3,4906.2,1771418600,4906.2,4879.5,4832.8,26.6999999999998,NA
"5","01/02/2006",1549,5662.05,5733.56,5643.4,5726.53,0,5726.53,5697.01,5635.81,29.5199999999995,NA,1537,5760.3,5816,5746.2,5801.6,2144570400,5801.6,5792.5,5760.3,9.10000000000036,-41.3000000000002
"6","01/02/2007",1804,6821.31,6874.77,6820.58,6851.28,0,6851.28,6805.09,6758.85,46.1899999999996,NA,1790,6203.1,6300.3,6203.1,6282.2,2143964400,6282.2,6257.3,6197.5,24.8999999999996,NA
"7","01/02/2008",2056,6896.19,7037.16,6896.19,6968.67,0,6968.67,6887.75,6691.25,80.9200000000001,NA,2043,5879.8,6044.9,5879.8,6029.2,1791834000,6029.2,5899.5,5689.4,129.7,NA
"8","01/02/2010",2564,5587.5,5674.21,5567.72,5654.48,30622000,5654.48,5657.87,5556.19,-3.39000000000033,NA,2547,5188.5,5250.1,5163.6,5247.4,935810900,5247.4,5230.2,5145.7,17.1999999999998,NA
"9","01/02/2011",2823,7133.34,7190.75,7105.31,7184.27,38952900,7184.27,7107.37,7033.09,76.9000000000005,NA,2800,5862.9,5963.7,5862.9,5957.8,966826600,5957.8,5881.7,5815.4,76.1000000000004,NA
"10","01/02/2012",3081,6482.95,6630.48,6482.56,6616.64,41433900,6616.64,6533.22,6450.1,83.4200000000001,NA,3052,5681.6,5790.7,5680.7,5790.7,989847000,5790.7,5730.3,5671.1,60.3999999999996,NA
"11","01/02/2013",3338,7792.59,7853.37,7784.97,7833.39,30495400,7833.39,7812.34,7765.2,21.0500000000002,NA,3305,6276.9,6354,6275.5,6347.2,686175200,6347.2,6323.1,6276.9,24.0999999999995,-50
"12","01/03/2000",43,7645.3,7769.01,7618.6,7727.93,0,7727.93,7700.36,7590.9,27.5700000000006,NA,42,6232.6,6387.3,6232.6,6364.9,0,6364.9,6245.5,6099.6,119.4,NA
"13","01/03/2001",297,6212.66,6212.66,6094.76,6123.38,0,6123.38,6284.81,6170,NA,46.6199999999999,295,5917.9,5949.2,5868.1,5908.6,0,5908.6,5997,5901.7,NA,-6.90000000000055
"14","01/03/2002",549,5025.96,5116.14,5003.06,5097.41,0,5097.41,5072.43,4926.62,24.9799999999996,NA,547,5101,5172.3,5101,5169,0,5169,5178.4,5093.7,NA,NA
"15","01/03/2004",1054,4026.19,4061.1,4026.19,4054.43,0,4054.43,4052.58,4017.91,1.84999999999991,NA,1051,4492.2,4540.7,4492.2,4537,1736490400,4537,4556.9,4492.2,NA,NA
